retrans,scenario,n_rdma,n_tcp,cls,flow,gbps,seq_err_run
gbn,noecn,1,1,rdma,0,0.86,58468
gbn,noecn,1,1,tcp,0,0.373,58468
gbn,noecn,1,2,rdma,0,0.9,57601
gbn,noecn,1,2,tcp,0,0.2,57601
gbn,noecn,1,2,tcp,1,0.206,57601
gbn,noecn,1,3,rdma,0,0.91,57495
gbn,noecn,1,3,tcp,0,0.118,57495
gbn,noecn,1,3,tcp,1,0.144,57495
gbn,noecn,1,3,tcp,2,0.124,57495
gbn,noecn,1,4,rdma,0,0.9,57734
gbn,noecn,1,4,tcp,0,0.085,57734
gbn,noecn,1,4,tcp,1,0.103,57734
gbn,noecn,1,4,tcp,2,0.079,57734
gbn,noecn,1,4,tcp,3,0.099,57734
gbn,noecn,2,1,rdma,0,0.0,58495
gbn,noecn,2,1,rdma,1,0.86,58495
gbn,noecn,2,1,tcp,0,0.318,58495
gbn,noecn,3,1,rdma,0,0.000542,58603
gbn,noecn,3,1,rdma,1,0.000664,58603
gbn,noecn,3,1,rdma,2,0.85,58603
gbn,noecn,3,1,tcp,0,0.354,58603
gbn,noecn,4,1,rdma,0,0.0,58698
gbn,noecn,4,1,rdma,1,0.0,58698
gbn,noecn,4,1,rdma,2,0.86,58698
gbn,noecn,4,1,rdma,3,0.001555,58698
gbn,noecn,4,1,tcp,0,0.333,58698
gbn,shared,1,1,rdma,0,17.28,8
gbn,shared,1,1,tcp,0,5.892,8
gbn,shared,1,2,rdma,0,13.73,63
gbn,shared,1,2,tcp,0,4.731,63
gbn,shared,1,2,tcp,1,4.762,63
gbn,shared,1,3,rdma,0,11.37,56
gbn,shared,1,3,tcp,0,4.061,56
gbn,shared,1,3,tcp,1,4.061,56
gbn,shared,1,3,tcp,2,4.052,56
gbn,shared,1,4,rdma,0,9.73,101
gbn,shared,1,4,tcp,0,3.456,101
gbn,shared,1,4,tcp,1,3.446,101
gbn,shared,1,4,tcp,2,3.461,101
gbn,shared,1,4,tcp,3,3.45,101
gbn,shared,2,1,rdma,0,9.87,80
gbn,shared,2,1,rdma,1,9.87,80
gbn,shared,2,1,tcp,0,3.429,80
gbn,shared,3,1,rdma,0,6.93,137
gbn,shared,3,1,rdma,1,6.93,137
gbn,shared,3,1,rdma,2,6.93,137
gbn,shared,3,1,tcp,0,2.625,137
gbn,shared,4,1,rdma,0,5.34,131
gbn,shared,4,1,rdma,1,5.34,131
gbn,shared,4,1,rdma,2,5.34,131
gbn,shared,4,1,rdma,3,5.34,131
gbn,shared,4,1,tcp,0,2.181,131
gbn,split,1,1,rdma,0,13.88,18
gbn,split,1,1,tcp,0,9.638,18
gbn,split,1,2,rdma,0,13.88,43
gbn,split,1,2,tcp,0,4.791,43
gbn,split,1,2,tcp,1,4.867,43
gbn,split,1,3,rdma,0,13.88,8
gbn,split,1,3,tcp,0,3.225,8
gbn,split,1,3,tcp,1,3.229,8
gbn,split,1,3,tcp,2,3.224,8
gbn,split,1,4,rdma,0,13.88,26
gbn,split,1,4,tcp,0,2.413,26
gbn,split,1,4,tcp,1,2.415,26
gbn,split,1,4,tcp,2,2.418,26
gbn,split,1,4,tcp,3,2.421,26
gbn,split,2,1,rdma,0,6.94,8
gbn,split,2,1,rdma,1,6.94,8
gbn,split,2,1,tcp,0,9.607,8
gbn,split,3,1,rdma,0,4.63,93
gbn,split,3,1,rdma,1,4.63,93
gbn,split,3,1,rdma,2,4.63,93
gbn,split,3,1,tcp,0,9.58,93
gbn,split,4,1,rdma,0,1.16,19381
gbn,split,4,1,rdma,1,1.14,19381
gbn,split,4,1,rdma,2,1.18,19381
gbn,split,4,1,rdma,3,1.2,19381
gbn,split,4,1,tcp,0,3.458,19381
sr,noecn,1,1,rdma,0,0.45,66438
sr,noecn,1,1,tcp,0,0.35,66438
sr,noecn,1,2,rdma,0,0.45,66741
sr,noecn,1,2,tcp,0,0.175,66741
sr,noecn,1,2,tcp,1,0.161,66741
sr,noecn,1,3,rdma,0,0.45,66763
sr,noecn,1,3,tcp,0,0.121,66763
sr,noecn,1,3,tcp,1,0.117,66763
sr,noecn,1,3,tcp,2,0.145,66763
sr,noecn,1,4,rdma,0,0.44,66973
sr,noecn,1,4,tcp,0,0.102,66973
sr,noecn,1,4,tcp,1,0.094,66973
sr,noecn,1,4,tcp,2,0.11,66973
sr,noecn,1,4,tcp,3,0.094,66973
sr,noecn,2,1,rdma,0,0.0,67123
sr,noecn,2,1,rdma,1,0.44,67123
sr,noecn,2,1,tcp,0,0.267,67123
sr,noecn,3,1,rdma,0,0.0,66780
sr,noecn,3,1,rdma,1,0.0,66780
sr,noecn,3,1,rdma,2,0.44,66780
sr,noecn,3,1,tcp,0,0.28,66780
sr,noecn,4,1,rdma,0,0.0,66655
sr,noecn,4,1,rdma,1,0.45,66655
sr,noecn,4,1,rdma,2,0.0,66655
sr,noecn,4,1,rdma,3,0.0,66655
sr,noecn,4,1,tcp,0,0.274,66655
sr,shared,1,1,rdma,0,17.1,0
sr,shared,1,1,tcp,0,6.43,0
sr,shared,1,2,rdma,0,13.52,0
sr,shared,1,2,tcp,0,4.904,0
sr,shared,1,2,tcp,1,4.916,0
sr,shared,1,3,rdma,0,11.2,0
sr,shared,1,3,tcp,0,4.118,0
sr,shared,1,3,tcp,1,4.116,0
sr,shared,1,3,tcp,2,4.11,0
sr,shared,1,4,rdma,0,9.73,0
sr,shared,1,4,tcp,0,3.571,0
sr,shared,1,4,tcp,1,3.574,0
sr,shared,1,4,tcp,2,3.246,0
sr,shared,1,4,tcp,3,3.405,0
sr,shared,2,1,rdma,0,9.8,0
sr,shared,2,1,rdma,1,9.8,0
sr,shared,2,1,tcp,0,3.801,0
sr,shared,3,1,rdma,0,6.89,0
sr,shared,3,1,rdma,1,6.88,0
sr,shared,3,1,rdma,2,6.88,0
sr,shared,3,1,tcp,0,2.77,0
sr,shared,4,1,rdma,0,2.22,13116
sr,shared,4,1,rdma,1,2.2,13116
sr,shared,4,1,rdma,2,2.19,13116
sr,shared,4,1,rdma,3,2.15,13116
sr,shared,4,1,tcp,0,0.547,13116
sr,split,1,1,rdma,0,13.88,0
sr,split,1,1,tcp,0,9.619,0
sr,split,1,2,rdma,0,13.88,0
sr,split,1,2,tcp,0,4.841,0
sr,split,1,2,tcp,1,4.818,0
sr,split,1,3,rdma,0,13.88,0
sr,split,1,3,tcp,0,3.227,0
sr,split,1,3,tcp,1,3.22,0
sr,split,1,3,tcp,2,3.216,0
sr,split,1,4,rdma,0,13.88,0
sr,split,1,4,tcp,0,2.419,0
sr,split,1,4,tcp,1,2.419,0
sr,split,1,4,tcp,2,2.42,0
sr,split,1,4,tcp,3,2.411,0
sr,split,2,1,rdma,0,6.94,0
sr,split,2,1,rdma,1,6.94,0
sr,split,2,1,tcp,0,9.644,0
sr,split,3,1,rdma,0,4.63,0
sr,split,3,1,rdma,1,4.63,0
sr,split,3,1,rdma,2,4.63,0
sr,split,3,1,tcp,0,9.64,0
sr,split,4,1,rdma,0,3.47,0
sr,split,4,1,rdma,1,3.47,0
sr,split,4,1,rdma,2,3.47,0
sr,split,4,1,rdma,3,3.47,0
sr,split,4,1,tcp,0,9.642,0
