config,arm,run,cls,vf,flow,gbps,tcp_retrans
band03-12,gbn,1,rdma,0,0,0.021,
band03-12,gbn,1,rdma,0,1,0.021,
band03-12,gbn,1,rdma,0,2,0.021,
band03-12,gbn,1,rdma,0,3,0.01,
band03-12,gbn,1,tcp,0,0,5.935,9084
band03-12,gbn,1,tcp,0,1,5.614,9177
band03-12,gbn,1,tcp,0,2,5.987,6328
band03-12,gbn,1,tcp,0,3,6.699,10282
band03-12,gbn,1,rdma,1,0,0.017,
band03-12,gbn,1,rdma,1,1,0.017,
band03-12,gbn,1,rdma,1,2,0.017,
band03-12,gbn,1,rdma,1,3,0.017,
band03-12,gbn,1,tcp,1,0,5.338,4527
band03-12,gbn,1,tcp,1,1,4.865,4184
band03-12,gbn,1,tcp,1,2,5.963,5440
band03-12,gbn,1,tcp,1,3,6.192,5700
band03-12,gbn,1,rdma,2,0,0.022,
band03-12,gbn,1,rdma,2,1,0.022,
band03-12,gbn,1,rdma,2,2,0.008,
band03-12,gbn,1,rdma,2,3,0.022,
band03-12,gbn,1,tcp,2,0,7.187,5485
band03-12,gbn,1,tcp,2,1,5.909,3934
band03-12,gbn,1,tcp,2,2,7.048,7529
band03-12,gbn,1,tcp,2,3,5.894,9894
band03-12,gbn,1,rdma,3,0,0.018,
band03-12,gbn,1,rdma,3,1,0.018,
band03-12,gbn,1,rdma,3,2,0.018,
band03-12,gbn,1,rdma,3,3,0.018,
band03-12,gbn,1,tcp,3,0,4.118,4926
band03-12,gbn,1,tcp,3,1,4.301,5075
band03-12,gbn,1,tcp,3,2,6.096,6303
band03-12,gbn,1,tcp,3,3,6.464,5425
band03-12,gbn,2,rdma,0,0,0.016,
band03-12,gbn,2,rdma,0,1,0.016,
band03-12,gbn,2,rdma,0,2,0.016,
band03-12,gbn,2,rdma,0,3,0.017,
band03-12,gbn,2,tcp,0,0,4.769,5599
band03-12,gbn,2,tcp,0,1,5.436,7414
band03-12,gbn,2,tcp,0,2,6.981,7275
band03-12,gbn,2,tcp,0,3,4.445,4565
band03-12,gbn,2,rdma,1,0,0.019,
band03-12,gbn,2,rdma,1,1,0.019,
band03-12,gbn,2,rdma,1,2,0.019,
band03-12,gbn,2,rdma,1,3,0.019,
band03-12,gbn,2,tcp,1,0,6.775,4936
band03-12,gbn,2,tcp,1,1,6.357,4390
band03-12,gbn,2,tcp,1,2,5.526,2509
band03-12,gbn,2,tcp,1,3,5.165,3693
band03-12,gbn,2,rdma,2,0,0.017,
band03-12,gbn,2,rdma,2,1,0.017,
band03-12,gbn,2,rdma,2,2,0.017,
band03-12,gbn,2,rdma,2,3,0.017,
band03-12,gbn,2,tcp,2,0,5.986,4145
band03-12,gbn,2,tcp,2,1,5.637,5357
band03-12,gbn,2,tcp,2,2,5.093,5128
band03-12,gbn,2,tcp,2,3,7.17,6921
band03-12,gbn,2,rdma,3,0,0.019,
band03-12,gbn,2,rdma,3,1,0.019,
band03-12,gbn,2,rdma,3,2,0.019,
band03-12,gbn,2,rdma,3,3,0.019,
band03-12,gbn,2,tcp,3,0,5.933,6253
band03-12,gbn,2,tcp,3,1,6.4,5184
band03-12,gbn,2,tcp,3,2,5.793,5005
band03-12,gbn,2,tcp,3,3,5.87,4819
band03-12,gbn,3,rdma,0,0,0.016,
band03-12,gbn,3,rdma,0,1,0.016,
band03-12,gbn,3,rdma,0,2,0.016,
band03-12,gbn,3,rdma,0,3,0.016,
band03-12,gbn,3,tcp,0,0,5.846,6355
