config,arm,run,rdma_gbps,tcp_gbps,total_gbps,wire_ib_gbps,wire_eth_gbps,rtt_ms,seq_err,cnp,ecn_marked,tcp_retrans,dead_rdma_flows
band03-12,gbn,1,0.29,93.61,93.9,,,2.448,221,414499,3936762,103293,0
band03-12,gbn,2,0.29,93.34,93.62,0.49,92.87,2.53,0,404573,2385524,83193,0
band03-12,gbn,3,0.27,93.87,94.14,0.51,94.89,2.485,36,371531,2374818,84060,0
band03-12,sr,1,0.28,93.92,94.2,,,2.627,0,387005,2171927,81643,0
band03-12,sr,2,0.31,93.86,94.17,0.5,93.4,1.796,0,388384,2349813,138791,0
band03-12,sr,3,0.26,93.84,94.1,0.45,93.36,2.583,0,363178,2056001,70614,0
band25-47,gbn,1,0.32,93.84,94.16,,,2.641,33,436758,2668805,72347,0
band25-47,gbn,2,0.28,93.44,93.72,0.89,92.96,2.163,33,464525,2955820,110831,0
band25-47,gbn,3,0.27,93.9,94.17,0.55,94.93,2.262,16,373460,2308722,104691,0
band25-47,sr,1,0.5,93.67,94.17,,,1.776,0,396001,1580343,110548,0
band25-47,sr,2,0.68,93.45,94.13,1.11,92.98,1.58,0,388722,919935,128175,0
band25-47,sr,3,0.26,93.87,94.13,0.45,93.4,2.354,0,359454,2058537,127310,0
band47-96,gbn,1,1.04,83.92,84.96,,,2.359,14496,631062,50643448,103273,0
band47-96,gbn,2,0.95,90.71,91.66,4.22,88.84,2.504,104,424348,1088376,106431,0
band47-96,gbn,3,0.91,92.66,93.57,1.98,92.19,2.615,295,419460,1890877,105864,0
band47-96,sr,1,0.74,93.31,94.05,,,2.894,0,376719,584032,62469,0
band47-96,sr,2,0.85,93.29,94.14,1.32,91.37,2.693,0,382352,579992,79800,0
band47-96,sr,3,2.08,92.05,94.13,2.65,91.59,2.203,0,352102,463421,112760,0
band71-120,gbn,1,2.0,90.68,92.68,,,2.993,338,379758,697247,76401,0
band71-120,gbn,2,4.64,87.02,91.66,8.17,86.58,2.821,690,252330,632654,85415,0
band71-120,gbn,3,9.46,82.33,91.79,13.24,80.63,2.76,486,351089,750281,95851,0
band71-120,sr,1,4.97,88.23,93.2,,,2.824,0,354699,444191,65277,0
band71-120,sr,2,5.32,88.71,94.03,6.89,88.26,2.843,0,345787,433792,72893,0
band71-120,sr,3,9.72,84.69,94.41,10.82,84.26,2.789,0,362598,455111,77296,0
band96-143,gbn,1,22.42,64.48,86.9,31.26,63.14,3.56,6694,331412,649094,37850,0
band96-143,gbn,2,22.57,60.67,83.24,35.89,58.49,3.583,8512,345979,738194,32437,0
band96-143,gbn,3,24.28,60.62,84.9,35.37,57.56,3.579,9537,353650,791510,27347,0
band96-143,sr,1,20.04,73.95,93.99,21.85,73.57,3.432,1195,33680,46348,26094,0
band96-143,sr,2,19.94,73.84,93.78,21.92,73.46,3.439,600,19975,27348,27897,0
band96-143,sr,3,20.08,73.89,93.97,21.94,73.51,3.456,1348,32501,44976,27525,0
