PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.36 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=2.44 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=2.35 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.38 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=2.44 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=2.27 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=2.48 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=2.67 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=2.72 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=2.80 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=2.69 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=2.74 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=2.64 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=2.69 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=2.46 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=2.47 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=2.49 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=2.48 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=2.39 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=2.45 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=2.31 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=2.37 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=2.88 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=2.68 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=2.62 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=1.72 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=1.85 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=2.05 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=2.26 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=2.62 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=2.55 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=2.19 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=2.61 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=2.86 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=3.21 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=2.73 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=2.68 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=2.79 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=3.07 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39061ms
rtt min/avg/max/mdev = 1.720/2.530/3.207/0.285 ms
