ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,26089931889831,1738317358952,7124544642488
0.00,1,26089932002307,1376616092218,7231371438703
0.00,2,26089932115407,1433683815390,7345654410541
0.00,3,26089932228127,1200135327084,6824895898802
1.00,0,26090933526152,1738317358952,7125662395574
1.00,1,26090932641451,1376616092218,7233797883129
1.00,2,26090932755774,1433683815390,7348738810161
1.00,3,26090932869993,1200135327084,6827975248794
2.00,0,26091934480583,1738356830954,7127563296552
2.00,1,26091934594632,1376667587320,7236834796841
2.00,2,26091933707599,1433733334092,7352340740895
2.00,3,26091933821204,1200176357148,6831584408384
3.00,0,26092935475357,1738368794762,7130068641174
3.00,1,26092935588422,1376679208552,7239482065271
3.00,2,26092935701382,1433742790068,7355922965237
3.00,3,26092935814344,1200187273464,6835141240202
4.00,0,26093936130051,1738377683072,7132981937506
4.00,1,26093936241506,1376687878360,7242437680931
4.00,2,26093936353107,1433751490620,7359242451163
4.00,3,26093936464432,1200195831276,6838242054224
5.01,0,26094938153110,1738385571104,7135987318346
5.01,1,26094937264411,1376695663180,7245519950261
5.01,2,26094937376582,1433759286420,7362509625933
5.01,3,26094937488500,1200203688564,6841187528026
6.01,0,26095938753439,1738392837668,7139084458354
6.01,1,26095938866572,1376704048606,7248681299721
6.01,2,26095938979869,1433766671568,7365779307713
6.01,3,26095939093973,1200211027596,6843961944276
7.01,0,26096940012251,1738399976864,7142151208006
7.01,1,26096940126236,1376715661054,7251714581057
7.01,2,26096940239622,1433777772348,7368953969969
7.01,3,26096940352821,1200221910972,6846978405624
8.01,0,26097941496052,1738407313700,7145116132432
8.01,1,26097941609460,1376727544708,7254941891455
8.01,2,26097940724529,1433790247824,7372137559273
8.01,3,26097940838069,1200234089988,6849887472940
9.01,0,26098942838009,1738415037032,7148260790678
9.01,1,26098941956667,1376738862892,7257897520857
9.01,2,26098942071566,1433800918188,7375023512663
9.01,3,26098942186149,1200246191046,6853188429866
10.01,0,26099943645748,1738423089764,7151278826698
10.01,1,26099943759536,1376750909050,7260514492661
10.01,2,26099943873475,1433812732668,7378305404059
10.01,3,26099943987329,1200258819144,6856562880982
11.01,0,26100944248392,1738431205082,7154238331860
11.01,1,26100944360294,1376763153946,7263153348645
11.01,2,26100944472035,1433824989642,7381690993349
11.01,3,26100944586971,1200271400028,6859856432284
12.01,0,26101945649413,1738438735166,7157151665602
12.01,1,26101945760620,1376774398564,7265935464411
12.01,2,26101945871698,1433836400058,7384932762709
12.01,3,26101945983233,1200282713820,6863211339556
13.02,0,26102946698035,1738450310282,7159693460882
13.02,1,26102946809274,1376785726630,7269051755517
13.02,2,26102946920587,1433847916980,7387908981037
13.02,3,26102947031792,1200294786330,6866860005576
14.02,0,26103948017321,1738462398164,7162314049482
14.02,1,26103948132134,1376797732162,7272001696005
14.02,2,26103948246598,1433857545342,7391090335567
14.02,3,26103948360523,1200305682882,6870395377016
15.02,0,26104948930411,1738470750650,7164997769608
15.02,1,26104949044228,1376808594676,7274842972399
15.02,2,26104949158733,1433865790224,7394592275925
15.02,3,26104949272663,1200314594250,6873659499386
16.02,0,26105950867904,1738479542336,7168098985816
16.02,1,26105950981499,1376820473938,7277214134635
16.02,2,26105950095495,1433874454542,7398276347713
16.02,3,26105950209098,1200323168532,6876798875430
17.02,0,26106951374199,1738488496526,7171451830688
17.02,1,26106951487947,1376829526948,7279929460393
17.02,2,26106951601627,1433883349440,7401691612541
17.02,3,26106951715211,1200332064528,6879608154062
18.02,0,26107952623641,1738496940146,7174775117572
18.02,1,26107952736576,1376837903590,7282823890903
18.02,2,26107952849477,1433891876508,7405078198123
18.02,3,26107952962858,1200340390662,6882301985760
19.02,0,26108953867090,1738505451842,7178350686814
19.02,1,26108953978874,1376846196784,7285844300035
19.02,2,26108954090691,1433900298168,7408064169649
19.02,3,26108954201950,1200348839772,6885017481416
20.02,0,26109955338401,1738513501280,7181719667142
20.02,1,26109955472950,1376854255006,7288903858779
20.02,2,26109955613428,1433908216944,7411137163369
20.02,3,26109954688704,1200356730000,6887815763234
21.02,0,26110955766861,1738521174104,7185143165396
21.02,1,26110955879040,1376861574274,7291700279553
21.02,2,26110955991309,1433915728362,7414330746803
21.02,3,26110955106373,1200364195302,6890694046086
22.02,0,26111956993676,1738528618544,7188631572652
22.02,1,26111957108822,1376868783742,7294152311795
22.02,2,26111957224230,1433923210134,7417700149617
22.02,3,26111956329183,1200371596920,6893685534722
23.03,0,26112957452769,1738536590024,7191572430800
23.03,1,26112957564641,1376876809024,7297084781935
23.03,2,26112957676394,1433931226632,7420995542711
23.03,3,26112957789586,1200379560714,6896809694890
24.03,0,26113958625244,1738544771222,7194751234366
24.03,1,26113958736628,1376884807954,7299888825087
24.03,2,26113958848025,1433939365008,7424128942455
24.03,3,26113958959885,1200387789126,6899991699408
25.03,0,26114959891597,1738552642784,7197562740476
25.03,1,26114960006825,1376892782728,7302869876691
25.03,2,26114960121901,1433947234374,7427180322185
25.03,3,26114960235446,1200395759508,6903447910476
