PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.69 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=2.41 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=2.23 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.12 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=2.39 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=2.41 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=2.50 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=2.29 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=2.34 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=2.62 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=2.24 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=2.37 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=2.18 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=2.36 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=2.50 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=2.48 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=2.05 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=2.53 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=2.41 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=2.54 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=2.44 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=2.23 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=2.28 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=2.28 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=2.19 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=2.27 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=2.37 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=2.21 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=2.24 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=2.45 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=2.48 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=2.02 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=2.00 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=2.09 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=2.44 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=2.37 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=2.32 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=2.34 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39056ms
rtt min/avg/max/mdev = 2.003/2.354/2.762/0.180 ms
