ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,27047772582303,1838464498012,8646001253168
0.00,1,27047772696419,1477493280358,8828410430851
0.00,2,27047772808579,1535473907978,8989644732357
0.00,3,27047772920562,1301796167066,8350078924021
1.00,0,27048774073761,1838464498012,8648058853996
1.00,1,27048774187191,1477493280358,8830827141673
1.00,2,27048774300401,1535473907978,8992257099587
1.00,3,27048774413559,1301796167066,8353510775989
2.00,0,27049775042755,1842238899784,8648758387034
2.00,1,27049775154304,1479492934346,8831711891049
2.00,2,27049775265661,1537916217626,8993131745539
2.00,3,27049775377018,1302230944374,8354674183115
3.00,0,27050776149714,1845772066988,8648758429426
3.00,1,27050776262658,1483659974814,8831711929151
3.00,2,27050776375900,1538914898598,8993131773109
3.00,3,27050776489206,1305786465188,8354674227513
4.00,0,27051777126250,1846589826304,8648762462722
4.00,1,27051777237651,1485652030992,8831717883713
4.00,2,27051777349619,1544544044252,8993135893117
4.00,3,27051777461515,1309578387650,8354681643085
5.01,0,27052778506637,1846918454094,8648973384288
5.01,1,27052778617346,1486100955170,8832362623479
5.01,2,27052778728486,1552344629204,8993247164547
5.01,3,27052778839843,1311541486130,8355441176913
6.01,0,27053779612976,1847544476294,8649547929120
6.01,1,27053779729186,1487132691588,8833246920599
6.01,2,27053779843623,1557001487062,8994277925401
6.01,3,27053779957872,1314068332450,8356385142287
7.01,0,27054780495337,1849317022218,8650214779504
7.01,1,27054780607675,1488301735270,8834314470765
7.01,2,27054780719460,1560311242544,8995291814865
7.01,3,27054780831136,1316231577570,8357496339559
8.01,0,27055782007736,1852090394976,8651131235498
8.01,1,27055782125600,1489204507162,8835631125407
8.01,2,27055782243470,1562702999892,8996579751955
8.01,3,27055782361314,1317576488720,8358851352905
9.01,0,27056783421203,1853668837620,8652241866534
9.01,1,27056783535145,1490657486414,8837090064255
9.01,2,27056783649051,1565217393456,8998124455875
9.01,3,27056782763205,1318688021370,8360369766215
10.01,0,27057784715929,1854494208530,8653586601432
10.01,1,27057783827648,1492051056502,8838763209879
10.01,2,27057783939776,1567598157320,8999913328631
10.01,3,27057784052946,1319826395896,8362114030475
11.01,0,27058785664137,1855418070572,8655165686876
11.01,1,27058785777913,1493265446176,8840685225309
11.01,2,27058785890251,1569363390394,9001935979283
11.01,3,27058784999297,1320716776376,8364101723225
12.01,0,27059786954216,1856226980134,8656959420764
12.01,1,27059786065380,1494258077312,8842824897771
12.01,2,27059786176540,1570898134548,9003576424975
12.01,3,27059786287393,1321894102044,8366311985327
13.01,0,27060787341907,1857146928832,8658738735736
13.01,1,27060787454395,1495344366584,8844642823285
13.01,2,27060787566055,1572476810472,9005081789119
13.01,3,27060787677515,1323165550250,8368653386287
14.02,0,27061789030019,1857931616792,8660723317314
14.02,1,27061789141666,1496348653644,8846627927095
14.02,2,27061789253341,1573723602506,9006806363809
14.02,3,27061788364920,1324166730152,8371230788985
15.02,0,27062789453419,1858595933024,8662882220918
15.02,1,27062789567085,1497156618252,8848849937083
15.02,2,27062789680506,1574604982674,9008731843337
15.02,3,27062789793792,1325025004244,8374017623273
16.02,0,27063790946675,1859026675154,8664957885506
16.02,1,27063791059923,1498140073984,8851257051689
16.02,2,27063791173002,1575363367210,9010666763953
16.02,3,27063791286118,1325823213544,8376945149999
17.02,0,27064791786630,1859724484258,8667135978340
17.02,1,27064791901031,1499074272160,8853726896277
17.02,2,27064792017586,1576094339752,9012557416873
17.02,3,27064792133757,1326625357844,8379548662585
18.02,0,27065792927173,1860589154410,8669562102412
18.02,1,27065793040363,1499736039226,8856203868703
18.02,2,27065793153499,1576880432132,9014696706443
18.02,3,27065793266707,1327367080292,8381763344913
19.02,0,27066794591943,1861719666270,8671441249852
19.02,1,27066794705098,1500490505488,8858439017047
19.02,2,27066794818100,1577976704950,9016665787409
19.02,3,27066794931484,1328470474446,8383906598099
20.02,0,27067795987028,1862700282194,8673409872356
20.02,1,27067796101877,1501142782320,8860828498145
20.02,2,27067796216325,1578985616292,9018779725049
20.02,3,27067795327173,1329353727034,8386217826863
21.02,0,27068797461481,1863477424274,8675608781830
21.02,1,27068797574327,1501717632948,8863441413777
21.02,2,27068796692920,1579789193384,9021126697569
21.02,3,27068796806456,1329903289778,8388669212443
22.03,0,27069798344528,1864144887868,8678041141020
22.03,1,27069798462975,1502274395966,8866268663379
22.03,2,27069798580568,1580527138548,9023561398535
22.03,3,27069798697702,1330418700072,8390814674611
23.03,0,27070799323274,1865023498478,8680320541606
23.03,1,27070799435109,1502798409686,8868878290173
23.03,2,27070799547303,1581330265448,9025784111585
23.03,3,27070799660034,1331034843898,8393192178455
24.03,0,27071800352144,1865825807210,8682628220192
24.03,1,27071800466255,1503163999134,8871199585121
24.03,2,27071800580014,1582154666150,9028241671485
24.03,3,27071800693415,1331678201126,8395782712417
25.03,0,27072801794329,1866625221304,8684994474312
25.03,1,27072801905836,1503775954724,8873137611101
25.03,2,27072802017296,1583395141062,9030940552597
25.03,3,27072802128552,1332386683682,8397732252367
26.03,0,27073803342035,1867468971900,8687211028724
26.03,1,27073803454303,1504537672700,8875241160879
26.03,2,27073802565755,1584421287238,9033695311255
26.03,3,27073802677443,1333000788034,8399721239719
27.03,0,27074804122229,1868485716726,8689331061646
27.03,1,27074804234047,1505276388030,8877423044429
27.03,2,27074804345929,1585669723230,9035931748611
27.03,3,27074804458044,1334012014318,8401474169583
28.03,0,27075805106529,1869645498172,8691588818426
28.03,1,27075805218426,1505993411538,8879369586659
28.03,2,27075805330244,1587069932876,9037936808457
28.03,3,27075805442127,1334987609868,8403314565333
29.03,0,27076806402928,1870737434360,8693884362070
29.03,1,27076806517278,1506748590742,8881489813007
29.03,2,27076806629252,1588281542060,9039803749109
29.03,3,27076806740757,1335865378602,8405403499263
30.03,0,27077807510876,1871645417218,8696089297623
30.03,1,27077807622385,1507372970716,8883751049396
30.03,2,27077807733589,1589529657700,9041829978328
30.03,3,27077807845422,1336568948648,8407735053264
31.04,0,27078809115963,1872368934198,8698421559247
31.04,1,27078809227969,1508109709274,8886153050578
31.04,2,27078809339967,1590416372182,9043750292074
31.04,3,27078808453311,1337473966170,8410141155072
32.04,0,27079809693613,1873157626374,8700739277797
32.04,1,27079809805098,1508845191950,8888306462718
32.04,2,27079809917039,1591770859982,9045561430994
32.04,3,27079810028470,1338556611372,8412199753822
33.04,0,27080810814571,1874038800978,8703034631003
33.04,1,27080810926549,1509563814734,8890695474772
33.04,2,27080811038355,1592716979460,9047605337438
33.04,3,27080811150030,1339444007882,8414346810250
34.04,0,27081811943349,1874883128040,8705496023851
34.04,1,27081812061518,1510127643000,8893197457220
34.04,2,27081812175199,1593631991540,9049770797286
34.04,3,27081812288748,1340063897198,8416587080508
35.04,0,27082813259155,1875854357554,8707804098129
35.04,1,27082813370758,1510890657644,8895593665980
35.04,2,27082813482603,1594597520896,9051907587774
35.04,3,27082813595727,1340973453924,8418446546182
36.04,0,27083814862391,1876787276726,8709671328469
36.04,1,27083814976019,1511535330110,8897966090754
36.04,2,27083815093401,1595865788128,9054004910416
36.04,3,27083815211671,1342257816644,8420290097586
37.04,0,27084815537509,1877654260040,8711552212473
37.04,1,27084815649304,1512318846914,8899979467098
37.04,2,27084815760620,1597101034986,9056236994582
37.04,3,27084815872096,1343469878408,8422365037296
38.04,0,27085816948284,1878724130610,8713462521201
38.04,1,27085817059799,1513113153104,8901759699226
38.04,2,27085817171238,1598817931654,9058263843684
38.04,3,27085817282653,1344637234772,8424203389086
39.05,0,27086818167198,1879657669896,8715554089929
39.05,1,27086818279265,1513774091710,8903749036122
39.05,2,27086818391558,1600063849512,9060504950386
39.05,3,27086818504243,1345793549820,8426191119686
40.05,0,27087819331940,1880550373814,8717735099029
40.05,1,27087819444402,1514585980738,8905825467994
40.05,2,27087819555975,1600912025142,9062954566050
40.05,3,27087819667309,1346709455872,8428324678766
41.05,0,27088821062800,1881268793230,8720074969691
41.05,1,27088821176559,1515271810384,8908029747922
41.05,2,27088820293631,1601732386924,9065376280922
41.05,3,27088820410853,1347460243232,8430696169790
42.05,0,27089821517647,1882008388940,8722428822437
42.05,1,27089821629585,1515902498648,8910398739924
42.05,2,27089821741415,1602433910348,9067599888104
42.05,3,27089821853273,1348273419142,8433174949530
43.05,0,27090822918737,1882986259254,8724517558197
43.05,1,27090823030339,1516527102804,8912608861504
43.05,2,27090823142005,1603338437724,9069587826540
43.05,3,27090823253585,1349315871556,8435650311544
44.05,0,27091823791143,1883943960664,8726703423173
44.05,1,27091823904645,1517152681954,8914908868630
44.05,2,27091824019071,1604090394172,9071604751734
44.05,3,27091824132916,1350308826178,8438125609052
45.05,0,27092825269296,1884951890424,8728905724653
45.05,1,27092825380856,1517777288988,8917247269166
