config,arm,run,cls,vf,flow,gbps,tcp_retrans
default,gbn,1,rdma,0,0,0.074,
default,gbn,1,rdma,0,1,0.074,
default,gbn,1,rdma,0,2,0.074,
default,gbn,1,rdma,0,3,0.074,
default,gbn,1,tcp,0,0,6.266,6506
default,gbn,1,tcp,0,1,4.052,7985
default,gbn,1,tcp,0,2,5.829,3903
default,gbn,1,tcp,0,3,3.987,7117
default,gbn,1,rdma,1,0,0.61,
default,gbn,1,rdma,1,1,0.48,
default,gbn,1,rdma,1,2,0.61,
default,gbn,1,rdma,1,3,0.43,
default,gbn,1,tcp,1,0,6.2,3457
default,gbn,1,tcp,1,1,6.395,5166
default,gbn,1,tcp,1,2,6.146,9162
default,gbn,1,tcp,1,3,6.237,4098
default,gbn,1,rdma,2,0,0.81,
default,gbn,1,rdma,2,1,0.81,
default,gbn,1,rdma,2,2,0.81,
default,gbn,1,rdma,2,3,0.81,
default,gbn,1,tcp,2,0,5.648,7389
default,gbn,1,tcp,2,1,4.053,5687
default,gbn,1,tcp,2,2,4.327,6547
default,gbn,1,tcp,2,3,5.57,6900
default,gbn,1,rdma,3,0,0.73,
default,gbn,1,rdma,3,1,0.73,
default,gbn,1,rdma,3,2,0.49,
default,gbn,1,rdma,3,3,0.73,
default,gbn,1,tcp,3,0,4.071,3435
default,gbn,1,tcp,3,1,4.61,3968
default,gbn,1,tcp,3,2,4.393,4222
default,gbn,1,tcp,3,3,5.061,3568
default,gbn,2,rdma,0,0,0.47,
default,gbn,2,rdma,0,1,0.56,
default,gbn,2,rdma,0,2,0.56,
default,gbn,2,rdma,0,3,0.56,
default,gbn,2,tcp,0,0,5.985,5613
default,gbn,2,tcp,0,1,5.922,6130
default,gbn,2,tcp,0,2,6.114,5693
default,gbn,2,tcp,0,3,6.327,6521
default,gbn,2,rdma,1,0,0.58,
default,gbn,2,rdma,1,1,0.58,
default,gbn,2,rdma,1,2,0.57,
default,gbn,2,rdma,1,3,0.53,
default,gbn,2,tcp,1,0,6.264,4814
default,gbn,2,tcp,1,1,3.52,6236
default,gbn,2,tcp,1,2,5.689,7520
default,gbn,2,tcp,1,3,3.742,7000
default,gbn,2,rdma,2,0,0.58,
default,gbn,2,rdma,2,1,0.58,
default,gbn,2,rdma,2,2,0.58,
default,gbn,2,rdma,2,3,0.58,
default,gbn,2,tcp,2,0,3.572,6539
default,gbn,2,tcp,2,1,5.705,5342
default,gbn,2,tcp,2,2,4.166,7669
default,gbn,2,tcp,2,3,5.259,5436
default,gbn,2,rdma,3,0,0.56,
default,gbn,2,rdma,3,1,0.56,
default,gbn,2,rdma,3,2,0.56,
default,gbn,2,rdma,3,3,0.49,
default,gbn,2,tcp,3,0,4.15,4639
default,gbn,2,tcp,3,1,5.914,2860
default,gbn,2,tcp,3,2,5.364,3740
default,gbn,2,tcp,3,3,4.627,4924
default,gbn,3,rdma,0,0,0.051,
default,gbn,3,rdma,0,1,0.14,
default,gbn,3,rdma,0,2,0.051,
default,gbn,3,rdma,0,3,0.051,
default,gbn,3,tcp,0,0,5.915,2989
default,gbn,3,tcp,0,1,3.455,5527
default,gbn,3,tcp,0,2,5.117,5618
default,gbn,3,tcp,0,3,4.543,5101
default,gbn,3,rdma,1,0,0.16,
default,gbn,3,rdma,1,1,0.17,
default,gbn,3,rdma,1,2,0.062,
default,gbn,3,rdma,1,3,0.17,
default,gbn,3,tcp,1,0,5.483,4914
default,gbn,3,tcp,1,1,5.579,5418
default,gbn,3,tcp,1,2,6.222,4679
default,gbn,3,tcp,1,3,6.405,5059
default,gbn,3,rdma,2,0,0.17,
default,gbn,3,rdma,2,1,0.073,
default,gbn,3,rdma,2,2,0.17,
default,gbn,3,rdma,2,3,0.17,
default,gbn,3,tcp,2,0,5.999,6700
default,gbn,3,tcp,2,1,5.625,4615
default,gbn,3,tcp,2,2,5.826,7732
default,gbn,3,tcp,2,3,5.124,3357
default,gbn,3,rdma,3,0,0.057,
default,gbn,3,rdma,3,1,0.15,
default,gbn,3,rdma,3,2,0.057,
default,gbn,3,rdma,3,3,0.15,
default,gbn,3,tcp,3,0,6.179,4533
default,gbn,3,tcp,3,1,6.738,6489
default,gbn,3,tcp,3,2,5.072,4607
default,gbn,3,tcp,3,3,5.808,5074
default,sr,1,rdma,0,0,0.28,
default,sr,1,rdma,0,1,0.28,
default,sr,1,rdma,0,2,0.28,
default,sr,1,rdma,0,3,0.28,
default,sr,1,tcp,0,0,5.476,2840
default,sr,1,tcp,0,1,5.827,4910
default,sr,1,tcp,0,2,5.595,2816
default,sr,1,tcp,0,3,6.116,3842
default,sr,1,rdma,1,0,0.27,
default,sr,1,rdma,1,1,0.27,
default,sr,1,rdma,1,2,0.27,
default,sr,1,rdma,1,3,0.27,
default,sr,1,tcp,1,0,5.9,4776
default,sr,1,tcp,1,1,5.322,3621
default,sr,1,tcp,1,2,6.136,5121
default,sr,1,tcp,1,3,5.741,8139
default,sr,1,rdma,2,0,0.27,
default,sr,1,rdma,2,1,0.27,
default,sr,1,rdma,2,2,0.27,
default,sr,1,rdma,2,3,0.27,
default,sr,1,tcp,2,0,5.716,4485
default,sr,1,tcp,2,1,6.122,5925
default,sr,1,tcp,2,2,5.969,4845
default,sr,1,tcp,2,3,5.144,5520
default,sr,1,rdma,3,0,0.27,
default,sr,1,rdma,3,1,0.27,
default,sr,1,rdma,3,2,0.27,
default,sr,1,rdma,3,3,0.27,
default,sr,1,tcp,3,0,3.997,4801
default,sr,1,tcp,3,1,6.191,4788
default,sr,1,tcp,3,2,3.755,4249
default,sr,1,tcp,3,3,6.441,5103
default,sr,2,rdma,0,0,0.21,
default,sr,2,rdma,0,1,0.21,
default,sr,2,rdma,0,2,0.21,
default,sr,2,rdma,0,3,0.21,
default,sr,2,tcp,0,0,4.193,4045
default,sr,2,tcp,0,1,4.178,3434
default,sr,2,tcp,0,2,5.85,2186
default,sr,2,tcp,0,3,5.485,3863
default,sr,2,rdma,1,0,0.21,
default,sr,2,rdma,1,1,0.21,
default,sr,2,rdma,1,2,0.21,
default,sr,2,rdma,1,3,0.21,
default,sr,2,tcp,1,0,6.103,3296
default,sr,2,tcp,1,1,6.464,3987
default,sr,2,tcp,1,2,4.353,5983
default,sr,2,tcp,1,3,3.948,5395
default,sr,2,rdma,2,0,0.21,
default,sr,2,rdma,2,1,0.21,
default,sr,2,rdma,2,2,0.21,
default,sr,2,rdma,2,3,0.21,
default,sr,2,tcp,2,0,6.064,5032
default,sr,2,tcp,2,1,5.626,3743
default,sr,2,tcp,2,2,5.182,2521
default,sr,2,tcp,2,3,6.18,4583
default,sr,2,rdma,3,0,0.21,
default,sr,2,rdma,3,1,0.21,
default,sr,2,rdma,3,2,0.21,
default,sr,2,rdma,3,3,0.21,
default,sr,2,tcp,3,0,6.19,2728
default,sr,2,tcp,3,1,6.718,4532
default,sr,2,tcp,3,2,6.648,4892
default,sr,2,tcp,3,3,6.779,1561
default,sr,3,rdma,0,0,0.62,
default,sr,3,rdma,0,1,0.62,
default,sr,3,rdma,0,2,0.62,
default,sr,3,rdma,0,3,0.62,
default,sr,3,tcp,0,0,4.41,4866
default,sr,3,tcp,0,1,4.104,4637
default,sr,3,tcp,0,2,5.886,5104
default,sr,3,tcp,0,3,5.923,4774
default,sr,3,rdma,1,0,0.62,
default,sr,3,rdma,1,1,0.62,
default,sr,3,rdma,1,2,0.62,
default,sr,3,rdma,1,3,0.62,
default,sr,3,tcp,1,0,6.03,4054
default,sr,3,tcp,1,1,6.225,4361
default,sr,3,tcp,1,2,4.085,4051
default,sr,3,tcp,1,3,3.746,4239
default,sr,3,rdma,2,0,0.61,
default,sr,3,rdma,2,1,0.61,
default,sr,3,rdma,2,2,0.61,
default,sr,3,rdma,2,3,0.61,
default,sr,3,tcp,2,0,6.239,5834
default,sr,3,tcp,2,1,6.087,4395
default,sr,3,tcp,2,2,4.11,7118
default,sr,3,tcp,2,3,4.033,7314
default,sr,3,rdma,3,0,0.63,
default,sr,3,rdma,3,1,0.63,
default,sr,3,rdma,3,2,0.63,
default,sr,3,rdma,3,3,0.63,
default,sr,3,tcp,3,0,6.652,2508
default,sr,3,tcp,3,1,5.352,5652
default,sr,3,tcp,3,2,6.358,1966
default,sr,3,tcp,3,3,5.16,2154
rdma-fast,gbn,1,rdma,0,0,0.51,
rdma-fast,gbn,1,rdma,0,1,0.04,
rdma-fast,gbn,1,rdma,0,2,,
rdma-fast,gbn,1,rdma,0,3,0.54,
rdma-fast,gbn,1,tcp,0,0,0.367,1377
rdma-fast,gbn,1,tcp,0,1,0.345,2150
rdma-fast,gbn,1,tcp,0,2,0.152,1225
rdma-fast,gbn,1,tcp,0,3,0.513,2334
rdma-fast,gbn,1,rdma,1,0,0.13,
rdma-fast,gbn,1,rdma,1,1,0.18,
rdma-fast,gbn,1,rdma,1,2,0.45,
rdma-fast,gbn,1,rdma,1,3,0.11,
rdma-fast,gbn,1,tcp,1,0,0.412,1385
rdma-fast,gbn,1,tcp,1,1,0.063,891
rdma-fast,gbn,1,tcp,1,2,0.428,1375
rdma-fast,gbn,1,tcp,1,3,0.328,961
rdma-fast,gbn,1,rdma,2,0,0.28,
rdma-fast,gbn,1,rdma,2,1,0.41,
rdma-fast,gbn,1,rdma,2,2,0.2,
rdma-fast,gbn,1,rdma,2,3,0.2,
rdma-fast,gbn,1,tcp,2,0,0.164,1192
rdma-fast,gbn,1,tcp,2,1,0.578,1659
rdma-fast,gbn,1,tcp,2,2,0.285,1438
rdma-fast,gbn,1,tcp,2,3,0.104,1375
rdma-fast,gbn,1,rdma,3,0,0.078,
rdma-fast,gbn,1,rdma,3,1,0.37,
rdma-fast,gbn,1,rdma,3,2,0.059,
rdma-fast,gbn,1,rdma,3,3,27.57,
rdma-fast,gbn,1,tcp,3,0,0.372,2286
rdma-fast,gbn,1,tcp,3,1,0.113,1290
rdma-fast,gbn,1,tcp,3,2,0.407,1822
rdma-fast,gbn,1,tcp,3,3,0.126,1346
rdma-fast,gbn,2,rdma,0,0,0.13,
rdma-fast,gbn,2,rdma,0,1,0.35,
rdma-fast,gbn,2,rdma,0,2,0.15,
rdma-fast,gbn,2,rdma,0,3,0.06,
rdma-fast,gbn,2,tcp,0,0,0.092,1394
rdma-fast,gbn,2,tcp,0,1,0.1,1339
rdma-fast,gbn,2,tcp,0,2,0.123,1051
rdma-fast,gbn,2,tcp,0,3,0.097,1401
rdma-fast,gbn,2,rdma,1,0,0.24,
rdma-fast,gbn,2,rdma,1,1,0.1,
rdma-fast,gbn,2,rdma,1,2,0.078,
rdma-fast,gbn,2,rdma,1,3,0.11,
rdma-fast,gbn,2,tcp,1,0,0.09,1356
rdma-fast,gbn,2,tcp,1,1,0.097,1418
rdma-fast,gbn,2,tcp,1,2,0.11,1279
rdma-fast,gbn,2,tcp,1,3,0.088,1101
rdma-fast,gbn,2,rdma,2,0,0.19,
rdma-fast,gbn,2,rdma,2,1,0.12,
rdma-fast,gbn,2,rdma,2,2,,
rdma-fast,gbn,2,rdma,2,3,0.19,
rdma-fast,gbn,2,tcp,2,0,0.077,1153
rdma-fast,gbn,2,tcp,2,1,0.085,1087
rdma-fast,gbn,2,tcp,2,2,0.072,1411
rdma-fast,gbn,2,tcp,2,3,0.234,2174
rdma-fast,gbn,2,rdma,3,0,0.24,
rdma-fast,gbn,2,rdma,3,1,0.31,
rdma-fast,gbn,2,rdma,3,2,0.22,
rdma-fast,gbn,2,rdma,3,3,0.34,
rdma-fast,gbn,2,tcp,3,0,0.126,1469
rdma-fast,gbn,2,tcp,3,1,0.147,2729
rdma-fast,gbn,2,tcp,3,2,0.086,1102
rdma-fast,gbn,2,tcp,3,3,0.189,2185
rdma-fast,gbn,3,rdma,0,0,0.51,
rdma-fast,gbn,3,rdma,0,1,,
rdma-fast,gbn,3,rdma,0,2,0.25,
rdma-fast,gbn,3,rdma,0,3,0.14,
rdma-fast,gbn,3,tcp,0,0,0.099,1654
rdma-fast,gbn,3,tcp,0,1,0.116,758
rdma-fast,gbn,3,tcp,0,2,0.117,1284
rdma-fast,gbn,3,tcp,0,3,0.066,1022
rdma-fast,gbn,3,rdma,1,0,0.45,
rdma-fast,gbn,3,rdma,1,1,0.2,
rdma-fast,gbn,3,rdma,1,2,0.14,
rdma-fast,gbn,3,rdma,1,3,0.47,
rdma-fast,gbn,3,tcp,1,0,0.129,2253
rdma-fast,gbn,3,tcp,1,1,0.108,1093
rdma-fast,gbn,3,tcp,1,2,0.076,1363
rdma-fast,gbn,3,tcp,1,3,0.104,1484
rdma-fast,gbn,3,rdma,2,0,0.18,
rdma-fast,gbn,3,rdma,2,1,0.18,
rdma-fast,gbn,3,rdma,2,2,0.28,
rdma-fast,gbn,3,rdma,2,3,,
rdma-fast,gbn,3,tcp,2,0,0.086,1108
rdma-fast,gbn,3,tcp,2,1,0.093,1897
rdma-fast,gbn,3,tcp,2,2,0.082,1851
rdma-fast,gbn,3,tcp,2,3,0.147,1915
rdma-fast,gbn,3,rdma,3,0,0.13,
rdma-fast,gbn,3,rdma,3,1,,
rdma-fast,gbn,3,rdma,3,2,0.2,
rdma-fast,gbn,3,rdma,3,3,,
rdma-fast,gbn,3,tcp,3,0,0.096,1194
rdma-fast,gbn,3,tcp,3,1,0.077,1352
rdma-fast,gbn,3,tcp,3,2,0.154,1775
rdma-fast,gbn,3,tcp,3,3,0.24,2961
rdma-fast,sr,1,rdma,0,0,0.6,
rdma-fast,sr,1,rdma,0,1,0.6,
rdma-fast,sr,1,rdma,0,2,0.6,
rdma-fast,sr,1,rdma,0,3,0.6,
rdma-fast,sr,1,tcp,0,0,3.697,2987
rdma-fast,sr,1,tcp,0,1,5.526,2317
rdma-fast,sr,1,tcp,0,2,5.709,2405
rdma-fast,sr,1,tcp,0,3,4.23,2299
rdma-fast,sr,1,rdma,1,0,0.6,
rdma-fast,sr,1,rdma,1,1,0.6,
rdma-fast,sr,1,rdma,1,2,0.6,
rdma-fast,sr,1,rdma,1,3,0.6,
rdma-fast,sr,1,tcp,1,0,5.277,3129
rdma-fast,sr,1,tcp,1,1,5.361,896
rdma-fast,sr,1,tcp,1,2,5.305,2551
rdma-fast,sr,1,tcp,1,3,5.649,1389
rdma-fast,sr,1,rdma,2,0,0.59,
rdma-fast,sr,1,rdma,2,1,0.59,
rdma-fast,sr,1,rdma,2,2,0.59,
rdma-fast,sr,1,rdma,2,3,0.59,
rdma-fast,sr,1,tcp,2,0,5.752,2356
rdma-fast,sr,1,tcp,2,1,5.693,2474
rdma-fast,sr,1,tcp,2,2,5.328,3633
rdma-fast,sr,1,tcp,2,3,5.88,4137
rdma-fast,sr,1,rdma,3,0,0.6,
rdma-fast,sr,1,rdma,3,1,0.6,
rdma-fast,sr,1,rdma,3,2,0.6,
rdma-fast,sr,1,rdma,3,3,0.6,
rdma-fast,sr,1,tcp,3,0,5.256,2208
rdma-fast,sr,1,tcp,3,1,5.564,2035
rdma-fast,sr,1,tcp,3,2,4.585,1990
rdma-fast,sr,1,tcp,3,3,5.942,2653
rdma-fast,sr,2,rdma,0,0,0.8,
rdma-fast,sr,2,rdma,0,1,0.8,
rdma-fast,sr,2,rdma,0,2,0.8,
rdma-fast,sr,2,rdma,0,3,0.8,
