config,arm,run,rdma_gbps,tcp_gbps,total_gbps,wire_ib_gbps,wire_eth_gbps,rtt_ms,seq_err,cnp,ecn_marked,tcp_retrans,dead_rdma_flows
default,gbn,1,8.35,82.84,91.19,12.25,82.5,2.764,2168,302040,1313735,89110,0
default,gbn,2,8.9,82.32,91.22,13.06,80.65,2.784,960,406288,979018,90676,0
default,gbn,3,1.85,89.09,90.94,7.18,87.25,2.982,1848,291801,1165659,82412,0
default,sr,1,4.36,89.45,93.81,5.74,88.99,2.866,0,347387,435469,75781,0
default,sr,2,3.36,89.96,93.32,5.62,89.5,2.9,0,347324,431295,61781,0
default,sr,3,9.92,84.4,94.32,11.35,83.97,2.781,0,359015,452698,73027,0
rdma-fast,gbn,1,31.13,4.76,35.88,93.33,4.45,3.364,123010,1000532,66784255,24106,1
rdma-fast,gbn,2,2.83,1.81,4.64,93.31,1.79,3.466,141636,672113,72470201,23649,1
rdma-fast,gbn,3,3.13,1.79,4.92,92.86,1.74,3.447,134508,740233,71788160,24964,4
rdma-fast,sr,1,9.56,84.75,94.31,11.18,84.32,3.37,15,2777570,4435922,39459,0
rdma-fast,sr,2,12.8,81.46,94.26,14.4,81.04,3.194,0,2841937,4306397,45995,0
rdma-fast,sr,3,10.4,83.08,93.48,12.96,83.98,3.263,0,2721971,4233668,41440,0
rdma-slow,gbn,1,4.23,87.55,91.78,6.58,85.75,2.559,245,70841,185706,94306,0
rdma-slow,gbn,2,4.4,84.64,89.04,9.35,82.89,2.581,85,75163,157474,103297,0
rdma-slow,gbn,3,0.76,88.93,89.7,8.6,89.58,2.809,55,90348,152178,79911,0
rdma-slow,sr,1,0.7,93.19,93.9,1.01,94.21,2.769,0,51073,64628,71660,0
rdma-slow,sr,2,4.32,90.27,94.59,3.94,89.81,2.552,0,41269,51220,83250,0
rdma-slow,sr,3,2.04,91.34,93.38,2.77,89.45,2.526,0,39548,49012,76200,0
tcp-fast,gbn,1,0.71,90.79,91.5,4.18,88.94,3.279,2134,289827,1157151,189198,0
tcp-fast,gbn,2,0.63,79.14,79.77,15.58,77.52,3.235,10929,475272,3810675,181333,0
tcp-fast,gbn,3,1.01,91.03,92.04,3.94,89.17,3.157,709,327765,836751,219967,0
tcp-fast,sr,1,2.4,91.58,93.98,3.45,92.6,2.998,0,350470,442988,196145,0
tcp-fast,sr,2,4.8,89.52,94.32,5.93,90.53,2.855,0,348975,436280,217242,0
tcp-fast,sr,3,0.92,93.16,94.08,1.49,92.69,3.438,884,379876,521980,94998,0
tcp-slow,gbn,1,15.84,76.51,92.35,19.47,77.35,2.729,233,464450,721070,50305,0
tcp-slow,gbn,2,16.15,74.41,90.56,21.33,74.02,2.727,597,464213,898275,57949,0
tcp-slow,gbn,3,11.85,63.73,75.58,31.46,62.41,2.757,33116,849800,12354189,34481,0
tcp-slow,sr,1,25.04,68.83,93.87,26.85,68.47,2.598,0,210130,272595,40071,0
tcp-slow,sr,2,9.12,84.37,93.49,11.03,83.94,2.794,0,354822,448328,39904,0
tcp-slow,sr,3,10.8,82.44,93.24,13.29,82.01,2.753,0,356795,451985,38960,0
