ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,28899687358509,1962860509784,8885640927230
0.00,1,28899687472461,1589237945304,9064634850170
0.00,2,28899687585867,1723307119230,9231300619198
0.00,3,28899687698846,1461931570992,8583828764053
1.00,0,28900689230911,1962860509784,8888152219994
1.00,1,28900688354550,1589237945304,9066042496402
1.00,2,28900688468305,1723307119230,9233782091930
1.00,3,28900688581659,1461931570992,8585812401053
2.00,0,28901690108756,1966804112920,8889043079026
2.00,1,28901690221941,1591095225526,9066671897878
2.00,2,28901690334823,1725524212204,9234646278000
2.00,3,28901690447470,1463019059994,8586572951133
3.00,0,28902690674751,1967072031874,8890575566044
3.00,1,28902690786110,1591865438936,9068209241098
3.00,2,28902690897586,1729157992902,9235923496598
3.00,3,28902691008575,1465360102134,8587493818607
4.00,0,28903692799087,1967233989828,8893073630162
4.00,1,28903691912880,1592445362844,9071556430976
4.00,2,28903692103231,1730137649950,9238100157420
4.00,3,28903692293801,1466146757474,8589281486919
5.01,0,28904693749221,1967395908436,8895321889692
5.01,1,28904693860497,1593101654392,9075046623308
5.01,2,28904692971851,1730853059380,9240365898668
5.01,3,28904693083321,1466783804450,8591423703051
6.01,0,28905694616259,1967545288890,8897494373712
6.01,1,28905694731893,1593639414662,9078332987544
6.01,2,28905694845352,1731366793714,9243002361000
6.01,3,28905694959008,1467283538816,8593951206511
7.01,0,28906696068883,1967675277038,8900071245750
7.01,1,28906696180543,1593970351594,9081924068464
7.01,2,28906696292131,1731710481682,9245474511006
7.01,3,28906695403303,1467602313384,8596511874141
8.01,0,28907697356413,1967843533422,8902573747014
8.01,1,28907696471304,1594467872710,9084946362926
8.01,2,28907696584252,1732190035322,9247741400522
8.01,3,28907696696979,1468089280420,8599403609193
9.01,0,28908697853349,1967997746062,8905227047457
9.01,1,28908697965129,1594877352838,9088316414799
9.01,2,28908698076636,1732627239428,9250016058583
9.01,3,28908698189158,1468535929332,8601980747104
10.01,0,28909698183336,1968121242120,8907692670793
10.01,1,28909698296548,1595262213918,9091827211113
10.01,2,28909698409792,1733019088598,9252641206409
10.01,3,28909698522598,1468927268752,8604400029982
11.01,0,28910700018215,1968207160660,8910450218821
11.01,1,28910700132477,1595491584760,9095378167679
11.01,2,28910700247157,1733370333916,9255129990131
11.01,3,28910699353085,1469262626646,8606930964232
12.01,0,28911700934687,1968290579604,8913533873663
12.01,1,28911701046409,1595706860770,9098586837655
12.01,2,28911701160489,1733751595448,9257604349229
12.01,3,28911701274395,1469619980212,8609451090036
13.01,0,28912701727776,1968379772836,8916402430101
13.01,1,28912701839380,1596110998168,9101556018453
13.01,2,28912701951256,1734390970350,9260112591713
13.01,3,28912702065379,1470172575962,8611734771564
14.02,0,28913703227913,1968468803832,8919467996197
14.02,1,28913703344014,1596434181450,9104609130261
14.02,2,28913703458583,1734714359638,9262700491859
14.02,3,28913703576587,1470502917618,8614290677240
15.02,0,28914704959439,1968556572816,8922435430215
15.02,1,28914704070187,1596678979658,9107787220631
15.02,2,28914704182549,1735092789986,9265231053023
15.02,3,28914704294173,1470898774378,8616828810916
16.02,0,28915705835407,1968639457646,8925472636345
16.02,1,28915705948536,1596847329332,9111253702597
16.02,2,28915706061862,1735328326554,9267706544889
16.02,3,28915706175236,1471136472820,8619457677276
17.02,0,28916707321618,1968730224900,8928135918913
17.02,1,28916706433370,1597161124664,9114713440953
17.02,2,28916706545223,1735836869350,9270385738791
17.02,3,28916706656609,1471550925448,8621644598800
18.02,0,28917708215876,1968823727536,8930677499577
18.02,1,28917708329399,1597811759302,9117520126497
18.02,2,28917708442942,1736530705216,9272856322845
18.02,3,28917707562402,1472164452166,8624095791278
19.02,0,28918709183719,1968913156996,8933629277411
19.02,1,28918709296038,1598334587794,9120345827463
19.02,2,28918709407970,1737033316178,9275437259841
19.02,3,28918709520263,1472710139942,8626397513392
20.02,0,28919710833434,1969002775998,8936161794405
20.02,1,28919709947256,1598863712786,9123434640019
20.02,2,28919710060539,1737523453144,9278175647689
20.02,3,28919710173846,1473219587482,8628736766026
21.02,0,28920711411843,1969087942404,8938944355891
21.02,1,28920711547847,1599160861844,9126450458753
21.02,2,28920711679346,1737829837046,9281045609163
21.02,3,28920711806385,1473518490222,8631408347716
22.03,0,28921713055777,1969162170854,8941965099909
22.03,1,28921713169554,1599267763104,9129698957363
22.03,2,28921712456311,1737961526304,9283710727857
22.03,3,28921712570346,1473642836596,8634365081664
23.03,0,28922714330753,1969226110910,8945080171685
23.03,1,28922713441954,1599335865496,9133242552617
23.03,2,28922713553815,1738052269734,9286343164537
23.03,3,28922713665639,1473724136548,8637095337346
24.03,0,28923715148193,1969307687250,8947934990351
24.03,1,28923715262703,1599540421400,9136916265707
24.03,2,28923715376202,1738428724968,9288722978411
