ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,32000227731080,2842910579658,12512727568493
0.00,1,32000226841788,2676337399954,12874584913082
0.00,2,32000226952586,2784923933586,12908763002390
0.00,3,32000227063285,2837286629252,12095753618122
1.00,0,32001228877378,2842910579658,12515023332025
1.00,1,32001228994708,2676337399954,12876570135460
1.00,2,32001228105916,2784923933586,12911832844768
1.00,3,32001228219627,2837286629252,12099123350956
2.00,0,32002229555443,2843542951896,12517079228951
2.00,1,32002229667263,2676949545934,12878540359470
2.00,2,32002229779133,2785480698642,12914606121596
2.00,3,32002229891373,2837844870020,12102281868800
3.00,0,32003231150371,2843894807094,12519209040881
3.00,1,32003231262636,2677516224832,12880651196504
3.00,2,32003231374016,2786104486716,12917326579564
3.00,3,32003230481589,2838562543682,12105380066924
4.00,0,32004231643210,2844234179130,12521717835975
4.00,1,32004231757433,2677876027354,12883143278354
4.00,2,32004231870547,2786458978212,12919982150956
4.00,3,32004231984432,2838914894078,12108635380430
5.01,0,32005233082463,2844454901286,12524543493287
5.01,1,32005233196535,2678109532426,12885719367132
5.01,2,32005233310199,2786700372414,12922742506066
5.01,3,32005233423366,2839137414758,12111883463060
6.01,0,32006234859444,2844630022404,12527278889583
6.01,1,32006233969622,2678303979442,12888311006336
6.01,2,32006234081551,2786872202826,12925494729586
6.01,3,32006234194020,2839308706052,12115416638382
7.01,0,32007235225469,2844826756554,12529899543029
7.01,1,32007235339117,2678493223036,12891019687796
7.01,2,32007235452722,2787061000632,12927963520264
7.01,3,32007235565973,2839500609002,12119177671880
8.01,0,32008237044214,2845076277054,12532697026583
8.01,1,32008237155360,2678731350688,12893669589204
8.01,2,32008236269790,2787305035524,12930438586186
8.01,3,32008236380830,2839743920312,12122606557138
9.01,0,32009238144980,2845445664018,12535518567269
9.01,1,32009238262780,2679092498260,12896433534502
9.01,2,32009238381810,2787694724508,12932786270408
9.01,3,32009237483298,2840126210972,12125494864814
10.01,0,32010239415322,2845726358934,12538479097865
10.01,1,32010239528499,2679391219042,12899175216780
10.01,2,32010238641890,2787996003630,12935346585118
10.01,3,32010238754645,2840434571096,12128365314290
11.01,0,32011240466814,2846026257870,12541344684491
11.01,1,32011240578603,2679702280246,12902159910652
11.01,2,32011240689677,2788289258568,12937781407628
11.01,3,32011239800861,2840746932332,12131188827658
12.01,0,32012241639724,2846365968090,12543799847775
12.01,1,32012241751076,2680045606180,12904831768346
12.01,2,32012241862672,2788643377842,12940342920422
12.01,3,32012240974461,2841106834772,12134425703116
13.02,0,32013242240662,2846604235188,12546334470293
13.02,1,32013242352060,2680274821366,12907313500354
13.02,2,32013242468256,2788884407508,12943217800542
13.02,3,32013242584525,2841338911346,12137916125484
14.02,0,32014243406336,2846861643720,12548823966329
14.02,1,32014243517711,2680548478102,12909797248698
14.02,2,32014243629157,2789136467682,12946029208634
14.02,3,32014243740470,2841577857008,12141433709972
15.02,0,32015245318931,2847211132728,12551511871875
15.02,1,32015244433179,2680898025304,12912604835168
15.02,2,32015244546080,2789475676116,12948508206606
15.02,3,32015244658990,2841935929082,12144385129056
16.02,0,32016246495692,2847467033706,12554370222917
16.02,1,32016245608535,2681154398422,12915638287084
16.02,2,32016245720945,2789729197728,12950889821436
16.02,3,32016245833031,2842198546526,12147408192992
17.02,0,32017247652481,2847669978144,12557492504953
17.02,1,32017246767359,2681366090626,12918595442588
17.02,2,32017246881563,2789924492400,12953264362514
17.02,3,32017246995319,2842395066566,12150473705962
18.02,0,32018248202931,2847912530736,12560419820571
18.02,1,32018248319262,2681614622926,12921207471034
18.02,2,32018248436666,2790180951162,12955611866890
18.02,3,32018248554495,2842656828668,12153904218058
19.02,0,32019249645638,2848209616596,12563289238245
19.02,1,32019249760452,2681924594914,12923571611086
19.02,2,32019249874763,2790506236956,12958006192724
19.02,3,32019249987003,2842976158910,12157351199556
20.02,0,32020250710104,2848439188632,12566481728405
20.02,1,32020250822672,2682154317376,12925954168794
20.02,2,32020250935757,2790742141158,12960589778110
20.02,3,32020251049337,2843209575044,12160587514162
21.02,0,32021251562766,2848730069694,12569546668897
21.02,1,32021251677192,2682427463542,12928261216646
