ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,31174984599498,2515989781286,11368023638000
0.00,1,31174983711002,2293750172434,11676458116104
0.00,2,31174983822788,2493261633888,11792220015857
0.00,3,31174983934225,2477702553134,10910119189776
1.00,0,31175985661334,2515989781286,11370380054122
1.00,1,31175985774466,2293750172434,11678969901426
1.00,2,31175984888870,2493261633888,11794899950851
1.00,3,31175985002180,2477702553134,10913489697006
2.00,0,31176986582625,2520201614770,11371157095928
2.00,1,31176986695684,2297554616718,11679747317238
2.00,2,31176986809170,2493978306444,11795463605435
2.00,3,31176986922939,2477970723216,10914568488812
3.00,0,31177987626762,2524523723782,11371157139834
3.00,1,31177987738902,2304142226532,11679747364412
3.00,2,31177987851088,2495175977520,11795463646727
3.00,3,31177987964269,2478116293806,10914568538852
4.00,0,31178988713441,2528837924950,11371157171628
4.00,1,31178988825982,2311446528198,11679747391904
4.00,2,31178988938762,2495619930294,11795463745215
4.00,3,31178989051506,2478307374164,10914568566104
5.01,0,31179990393675,2532728376146,11371157214020
5.01,1,31179989505051,2318614054758,11679747511510
5.01,2,31179989616297,2496524800028,11795463828485
5.01,3,31179989727469,2478598544952,10914568596558
6.01,0,31180990736434,2537700643718,11371157220076
6.01,1,31180990847787,2322363644280,11679747511510
6.01,2,31180990959672,2498526750188,11795463839083
6.01,3,31180991071381,2480126087664,10914568598150
7.01,0,31181991557271,2541551033932,11371157247328
7.01,1,31181991669945,2325790975894,11679747513024
7.01,2,31181991782954,2499505241166,11795463902671
7.01,3,31181991895775,2484122220362,10914568620860
8.01,0,31182992966601,2544348333400,11371157277608
8.01,1,31182993078148,2328123431142,11679747514538
8.01,2,31182993189360,2500167590172,11795463969287
8.01,3,31182993300437,2490586447146,10914568648112
9.01,0,31183994519122,2548802376976,11371157294262
9.01,1,31183994632053,2328224949758,11679747555416
9.01,2,31183994745054,2500278151874,11795464063155
9.01,3,31183993857838,2498168098766,10914568657196
10.01,0,31184995475723,2553430289148,11371157304860
10.01,1,31184995587548,2328381947218,11679747623546
10.01,2,31184995699563,2500466101782,11795464126743
10.01,3,31184995811133,2505457142834,10914568657196
11.01,0,31185997084377,2558851191340,11371157344224
11.01,1,31185996197232,2329295866046,11679747652312
11.01,2,31185996310377,2500946071064,11795464128257
11.01,3,31185996423602,2510894390302,10914568675364
12.01,0,31186998197939,2562540909952,11371157356336
12.01,1,31186998311051,2330825883794,11679747678050
12.01,2,31186997423741,2502710596626,11795464157023
12.01,3,31186997536748,2516162483440,10914568710186
13.01,0,31187998715988,2565796803728,11371157359462
13.01,1,31187998828875,2332941387550,11679747694704
13.01,2,31187998942230,2503889499136,11795464169135
13.01,3,31187999055211,2521868190048,10914568710186
14.02,0,31188999898558,2569071963668,11371157365951
14.02,1,31189000012464,2335159806256,11679747694941
14.02,2,31189000126614,2506465162794,11795464189054
14.02,3,31189000239775,2526052783328,10914568713451
15.02,0,31190001265332,2574915381116,11371157385633
15.02,1,31190001378473,2338119725830,11679747704025
15.02,2,31190001491938,2507039405220,11795464205708
15.02,3,31190001605554,2528930391854,10914568740703
16.02,0,31191002601398,2579155603598,11371157408343
16.02,1,31191002713969,2342226876384,11679747710081
16.02,2,31191002826720,2508585040174,11795464208736
16.02,3,31191002939453,2531295501738,10914568749787
17.02,0,31192003980332,2582028058438,11371157469001
17.02,1,31192004094204,2345997808598,11679747710081
17.02,2,31192003205550,2510472442120,11795464219334
17.02,3,31192003318642,2535015195700,10914568784609
18.02,0,31193004617868,2585020977608,11371157534201
18.02,1,31193004731790,2349561007616,11679747719165
18.02,2,31193004845199,2513308422190,11795464228418
18.02,3,31193004958600,2537877689502,10914568814889
19.02,0,31194005699133,2587463534502,11371157541771
19.02,1,31194005811854,2354628299744,11679747720679
19.02,2,31194005927220,2515190681422,11795464228418
19.02,3,31194006044335,2540739496918,10914568817917
20.02,0,31195007259394,2590776455054,11371157556911
20.02,1,31195007380980,2358175734210,11679747720679
20.02,2,31195007503156,2516497174164,11795464266334
20.02,3,31195007623132,2544831599054,10914568843655
21.02,0,31196008162003,2594650806514,11371157572051
21.02,1,31196008273436,2361034356698,11679747720679
21.02,2,31196008385136,2517872655132,11795464267914
21.02,3,31196008496491,2548973135408,10914568858795
22.03,0,31197009793755,2598649387698,11371157838515
22.03,1,31197009905268,2368544783634,11679747782753
22.03,2,31197010016552,2518007237174,11795464398118
22.03,3,31197009127585,2549586515714,10914568890589
23.03,0,31198010807072,2602201021406,11371158182193
23.03,1,31198010920154,2373113900004,11679748064357
23.03,2,31198011033028,2519938345824,11795464749366
23.03,3,31198011146397,2551789777010,10914568942065
24.03,0,31199011432017,2605417263766,11371158183707
24.03,1,31199011548989,2377366683156,11679748064357
24.03,2,31199011665959,2521456635202,11795464820524
24.03,3,31199011783002,2555050546144,10914569001111
25.03,0,31200013013350,2607857363746,11371158189921
25.03,1,31200013125124,2382163724766,11679748067385
25.03,2,31200013236844,2523993799842,11795464897738
25.03,3,31200013348777,2557535416846,10914569060157
26.03,0,31201014014072,2611633235490,11371158233925
26.03,1,31201014125974,2385765287272,11679748067385
26.03,2,31201014237680,2527932569732,11795464938616
26.03,3,31201014349172,2558471649938,10914569116175
27.03,0,31202015823510,2615538408896,11371158276415
27.03,1,31202014935112,2389822971084,11679748087067
27.03,2,31202015047420,2530663385350,11795465056708
27.03,3,31202015160087,2560030574216,10914569184305
28.03,0,31203016849791,2619976717734,11371158282569
28.03,1,31203016962907,2393565832390,11679748135515
28.03,2,31203016077245,2532245911504,11795465108184
28.03,3,31203016190385,2562527587238,10914569253949
29.03,0,31204016481755,2624382570374,11371158294747
29.03,1,31204016595145,2398077735128,11679748144599
29.03,2,31204016708094,2532991117192,11795465124838
29.03,3,31204016820512,2565101609200,10914569297855
30.03,0,31205018080332,2628144545646,11371158314593
30.03,1,31205018193103,2401335660958,11679748179421
30.03,2,31205018305876,2535492139546,11795465139978
30.03,3,31205018418707,2567840624834,10914569325239
31.04,0,31206018816222,2630560460694,11371158316205
31.04,1,31206018929362,2405386758460,11679748196075
31.04,2,31206019042791,2536305616572,11795465150576
31.04,3,31206019156107,2572809429096,10914569373687
32.04,0,31207019938033,2633204399898,11371158319233
32.04,1,31207020051934,2410890693738,11679748203645
32.04,2,31207020165993,2536461124368,11795465150576
32.04,3,31207020278678,2576759614534,10914569399425
33.04,0,31208020279619,2634906591864,11371158319233
33.04,1,31208020392817,2414513502418,11679748209701
33.04,2,31208020505903,2538627084982,11795465194482
33.04,3,31208020618986,2581513254488,10914569405481
34.04,0,31209021612766,2636058832232,11371158340527
34.04,1,31209021726414,2420439347652,11679748221813
34.04,2,31209021839962,2539289275428,11795465227790
34.04,3,31209021953247,2586030740282,10914569429705
35.04,0,31210023027345,2636371108142,11371158342139
35.04,1,31210023138287,2425756293040,11679748232411
35.04,2,31210023299365,2541547546006,11795465245958
35.04,3,31210023461118,2590399728702,10914569444845
36.04,0,31211024000953,2636725568994,11371158352835
36.04,1,31211024113158,2431177821744,11679748232411
36.04,2,31211024225231,2543822097348,11795465282294
36.04,3,31211024337469,2594600527928,10914569479667
37.04,0,31212025743948,2636893371286,11371158377059
37.04,1,31212025856745,2437324438098,11679748232411
37.04,2,31212024969521,2544864213388,11795465300462
37.04,3,31212025082370,2599499487330,10914569543255
38.04,0,31213026930128,2637039892026,11371158387755
38.04,1,31213027043540,2444303230856,11679748262691
38.04,2,31213026156179,2546694761012,11795465327714
38.04,3,31213026269684,2602803314438,10914569582619
39.04,0,31214027860574,2637978494300,11371158399867
39.04,1,31214027985950,2450929316222,11679748274803
39.04,2,31214028119209,2550620531284,11795465348910
39.04,3,31214027199299,2603564521544,10914569599273
40.04,0,31215027956440,2638519232282,11371158416521
40.04,1,31215028073248,2456131809384,11679748279345
40.04,2,31215028189614,2556502381818,11795465386760
40.04,3,31215028304282,2604180534938,10914569626525
41.05,0,31216028715117,2641080219688,11371158458913
41.05,1,31216028830952,2460713085228,11679748286915
41.05,2,31216028945581,2559435472548,11795465400386
41.05,3,31216029060469,2606355883112,10914569626525
42.05,0,31217030829464,2643762477932,11371158496763
42.05,1,31217029944679,2462687570362,11679748294485
42.05,2,31217030059947,2562684750578,11795465400386
42.05,3,31217030173610,2610704043384,10914569646207
43.05,0,31218031444736,2647082252384,11371158512001
43.05,1,31218031561687,2465876056568,11679748303569
43.05,2,31218031676775,2565844007320,11795465415526
43.05,3,31218031792778,2613296244682,10914569659833
44.05,0,31219032906024,2651663543238,11371158530406
44.05,1,31219033021513,2467684669246,11679748305320
44.05,2,31219033136417,2569839952356,11795465417277
44.05,3,31219032246503,2615164935520,10914569663098
45.05,0,31220034110548,2657294174216,11371158580368
45.05,1,31220034224583,2469726106044,11679748329544
45.05,2,31220033339515,2572786315396,11795465424847
45.05,3,31220033453265,2616799127598,10914569673696
46.05,0,31221035039151,2661165826048,11371158589550
46.05,1,31221035151945,2473020198084,11679748373450
46.05,2,31221035264971,2577173218352,11795465444529
46.05,3,31221035377133,2617502579962,10914569675210
47.05,0,31222035663881,2665018333968,11371158589648
