ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,31695439270333,2782010615754,12027303273108
0.00,1,31695439385288,2614799647378,12368496747588
0.00,2,31695439499685,2722785777042,12399496901971
0.00,3,31695439613850,2775293233028,11593399338202
1.00,0,31696441139734,2782010615754,12029700078556
1.00,1,31696441252712,2614799647378,12370756498874
1.00,2,31696441366049,2722785777042,12402597214249
1.00,3,31696441479139,2775293233028,11596543869528
2.00,0,31697442237446,2782721768394,12031968699854
2.00,1,31697442349357,2615494496914,12372939286970
2.00,2,31697442461378,2723406559890,12405133860419
2.00,3,31697442573320,2775917248388,11599219533524
3.00,0,31698443363458,2783532179136,12034162485854
3.00,1,31698443476417,2616304723192,12374929394550
3.00,2,31698443589177,2724214199280,12407524746509
3.00,3,31698443701073,2776728769208,11601715765244
4.00,0,31699444476603,2784141187032,12036563659943
4.00,1,31699444590338,2616948414712,12377152204167
4.00,2,31699444704323,2724794518632,12410116616336
4.00,3,31699444817661,2777293565036,11604418016995
5.01,0,31700445734365,2784557369658,12039194091245
5.01,1,31700445848053,2617368808168,12379538206183
5.01,2,31700445961578,2725209658158,12412938267286
5.01,3,31700446075047,2777702400944,11607241624629
6.01,0,31701446402533,2784943857972,12041928619301
6.01,1,31701446513999,2617756580044,12382117040233
6.01,2,31701446625452,2725590970500,12416006102700
6.01,3,31701446736387,2778089830244,11609632539679
7.01,0,31702448222032,2785288030464,12044543225079
7.01,1,31702447335042,2618093706670,12384916245173
7.01,2,31702447448844,2725938888270,12419188239314
7.01,3,31702447562964,2778437425202,11611980883083
8.01,0,31703448872871,2785567292490,12047239533365
8.01,1,31703448981808,2618377800994,12387659268859
8.01,2,31703449091027,2726220137676,12422394460334
8.01,3,31703449200082,2778723433340,11614532311153
9.01,0,31704450519515,2785871537310,12049854609875
9.01,1,31704449630847,2618679781738,12390249218603
9.01,2,31704449745247,2726519423928,12425679986142
9.01,3,31704449858701,2779022032244,11617158050705
10.01,0,31705451130711,2786292208560,12052387285311
10.01,1,31705451247355,2619100628668,12393160411163
10.01,2,31705451362965,2726948431194,12428546596558
10.01,3,31705451477593,2779451585216,11619470497121
11.01,0,31706452526665,2786838211020,12054689231243
11.01,1,31706452638167,2619640993996,12395873406677
11.01,2,31706452749269,2727492523134,12431182755916
11.01,3,31706452860455,2780001881954,11621959161175
12.01,0,31707453327859,2787319640100,12056987473011
12.01,1,31707453438900,2620120837564,12398410693407
12.01,2,31707453550049,2727972703788,12434001085462
12.01,3,31707453661041,2780496731888,11624683760433
13.01,0,31708453848054,2787695142924,12059498890293
13.01,1,31708453961187,2620501324210,12400787685945
13.01,2,31708454074256,2728353560460,12437003753662
13.01,3,31708454188463,2780883481526,11627583335605
14.02,0,31709455393507,2788075868934,12062311662093
14.02,1,31709455508318,2620871793802,12403240517045
14.02,2,31709455626907,2728727971872,12439905848942
14.02,3,31709455745320,2781260680760,11630239124697
15.02,0,31710456330262,2788424015088,12065073893783
15.02,1,31710456444950,2621219641300,12405912803923
15.02,2,31710456558755,2729085163350,12442728058412
15.02,3,31710456672234,2781601961120,11632907459187
16.02,0,31711457792529,2788813037586,12067662832365
16.02,1,31711457903825,2621619195814,12408855528403
16.02,2,31711458015644,2729483250936,12445516485820
16.02,3,31711458127635,2782001290544,11635326348431
17.02,0,31712459334209,2789103606816,12070349101631
17.02,1,31712459445124,2621919249568,12411975208143
17.02,2,31712458738387,2729789043936,12448333563160
17.02,3,31712458849809,2782297549610,11637834200821
18.02,0,31713459672422,2789368902282,12073009084931
18.02,1,31713459785788,2622186596098,12415242150317
18.02,2,31713459899102,2730054512886,12451316066582
18.02,3,31713460012902,2782569489074,11640174052151
19.02,0,31714460845434,2789737590918,12075445406097
19.02,1,31714460958733,2622560277340,12417753661443
19.02,2,31714461071900,2730435291600,12454556211238
19.02,3,31714461186273,2782948526360,11642805694749
20.02,0,31715462468036,2790208406730,12078043274259
20.02,1,31715462581093,2623031676190,12420052234411
20.02,2,31715462694643,2730893938278,12457814420002
20.02,3,31715462806117,2783421197792,11645102505355
21.02,0,31716463801878,2790683469606,12080678594321
21.02,1,31716463912870,2623517335864,12422650527485
21.02,2,31716464024616,2731385652324,12460879028178
21.02,3,31716464136343,2783918964014,11647175221383
22.03,0,31717465131135,2791043644350,12083332046195
22.03,1,31717465244800,2623882751362,12425462700485
22.03,2,31717464357933,2731742971170,12464008337778
22.03,3,31717464476848,2784274398692,11649460100353
