ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,28997088449428,1974761500340,9043706170004
0.00,1,28997088560733,1613330181840,9260664620655
0.00,2,28997088671796,1755628552978,9385202370930
0.00,3,28997088782576,1490213612682,8726252961815
1.00,0,28998089663616,1974761500340,9046153942843
1.00,1,28998089776515,1613330181840,9263695783082
1.00,2,28998089889695,1755628552978,9388912334871
1.00,3,28998090003063,1490213612682,8728148267190
2.00,0,28999091303432,1976247924046,9047202431219
2.00,1,28999090417388,1615016194018,9264855073304
2.00,2,28999090530860,1758300896722,9390170567849
2.00,3,28999090644183,1492209021776,8729120163492
3.00,0,29000092319716,1976854002424,9049369992179
3.00,1,29000092433218,1615922249386,9266896580138
3.00,2,29000091647894,1760377305898,9391777478317
3.00,3,29000091760984,1493812090530,8730413036186
4.00,0,29001093372486,1977507493132,9051819242857
4.00,1,29001093483776,1616828216030,9269246572532
4.00,2,29001093595633,1761847385608,9393676343095
4.00,3,29001092710951,1495088774316,8731714935384
5.01,0,29002094576369,1978131423244,9054328634497
5.01,1,29002094687958,1617639891616,9271918266158
5.01,2,29002094799340,1762850997164,9395776267717
5.01,3,29002093910329,1496067894548,8733324461214
6.01,0,29003095322351,1978660305820,9056879748757
6.01,1,29003095438302,1618280705914,9274867770824
6.01,2,29003095554768,1763600902230,9398077426463
6.01,3,29003095669483,1496805499868,8735177203574
7.01,0,29004096256431,1979103448236,9059657640717
7.01,1,29004096368698,1618747885086,9278004818378
7.01,2,29004096480319,1764066381228,9400419602631
7.01,3,29004096591732,1497284548086,8737381604228
8.01,0,29005097522053,1979550270300,9062100114669
8.01,1,29005097635153,1619222691986,9281129745998
8.01,2,29005097748727,1764513088584,9403166985759
8.01,3,29005097862518,1497749268410,8739554220032
9.01,0,29006098707983,1979893788362,9064795166275
9.01,1,29006098821391,1619594372332,9283935353288
9.01,2,29006098935249,1764843924826,9406200137741
9.01,3,29006099048999,1498119467162,8741926535464
10.01,0,29007100466721,1980121151762,9067836029239
10.01,1,29007100579242,1619822790954,9286596470606
10.01,2,29007099687948,1765052025260,9409353242649
10.01,3,29007099799680,1498359683370,8744494032682
11.01,0,29008101767543,1980186043490,9070996011845
11.01,1,29008100879243,1619888922894,9289460616284
11.01,2,29008100990966,1765113250308,9412668858307
11.01,3,29008101103201,1498425928968,8747223070506
12.01,0,29009102801301,1980235570496,9074151647825
12.01,1,29009102914325,1619937196672,9292311623376
12.01,2,29009102037328,1765158348746,9416536974591
12.01,3,29009102150826,1498476451670,8749485744462
13.02,0,29010103264290,1980291238178,9077151454689
13.02,1,29010103378128,1619991642504,9295010818912
13.02,2,29010103491642,1765209608434,9420580625223
13.02,3,29010103605296,1498533159394,8751851878166
14.02,0,29011105115819,1980353171014,9079999357115
14.02,1,29011105229066,1620052292866,9297906136692
14.02,2,29011104343942,1765266882204,9424455245111
14.02,3,29011104457091,1498596095484,8754322953266
15.02,0,29012105746076,1980422313798,9082859963833
15.02,1,29012105857936,1620119879382,9300876348846
15.02,2,29012105970098,1765330587756,9428503602863
15.02,3,29012106085043,1498666619220,8756501560034
16.02,0,29013107180798,1980499162214,9085712096745
16.02,1,29013107292700,1620195295976,9303995211928
16.02,2,29013107404689,1765401886380,9432522390589
16.02,3,29013107516520,1498744868048,8758541882452
17.02,0,29014107672997,1980583839626,9088420785489
17.02,1,29014107788069,1620278575124,9307169370596
17.02,2,29014107901778,1765480804060,9436313881213
17.02,3,29014108015908,1498831095252,8760854929260
18.02,0,29015109375756,1980678651222,9091365839103
18.02,1,29015109488437,1620370434336,9310135309000
18.02,2,29015109601067,1765567831022,9440126367211
18.02,3,29015109715440,1498931191470,8763092454786
19.02,0,29016110689146,1980805936814,9094219007129
19.02,1,29016110802404,1620491038124,9313180572208
19.02,2,29016110914957,1765661750842,9443674544049
19.02,3,29016111027778,1499062904532,8765501966104
20.02,0,29017111468756,1980978058920,9097007824191
20.02,1,29017111580727,1620659397252,9316286670754
20.02,2,29017111692327,1765790745296,9447312309509
20.02,3,29017111803853,1499227468222,8767657223832
21.02,0,29018112648569,1981134015480,9099962931581
21.02,1,29018112762863,1620819519390,9319231469454
21.02,2,29018112876932,1765926978912,9451207310319
21.02,3,29018112990583,1499389255942,8769575669316
22.03,0,29019113807974,1981229103034,9102711213487
22.03,1,29019113919184,1620914240050,9322375098152
22.03,2,29019114031092,1766016544854,9455099990173
22.03,3,29019114143213,1499486275330,8771742818000
23.03,0,29020115629811,1981314765306,9105694571941
23.03,1,29020115753251,1620999114434,9325564845880
23.03,2,29020114848868,1766098874880,9458695603485
23.03,3,29020114961036,1499569886700,8773968493382
24.03,0,29021116897204,1981389691642,9108559555731
24.03,1,29021116012694,1621073317834,9328927246340
24.03,2,29021116127493,1766169779576,9462244751977
24.03,3,29021116242167,1499642029508,8776226354956
25.03,0,29022117405726,1981454910182,9111232147309
25.03,1,29022117517376,1621139363230,9332711329914
25.03,2,29022117628707,1766232458070,9465861443859
25.03,3,29022117740088,1499706719904,8778224957656
26.03,0,29023119230855,1981527731532,9114377562997
26.03,1,29023118345098,1621212993010,9336097737120
26.03,2,29023118459141,1766302329200,9469291969131
26.03,3,29023118572684,1499778916812,8780302205020
27.03,0,29024120041632,1981608175184,9117358555335
27.03,1,29024120153468,1621294502688,9339383137818
27.03,2,29024120265725,1766379917864,9472571679227
27.03,3,29024120377937,1499858839878,8782769339178
28.03,0,29025120844112,1981695144784,9120505700255
28.03,1,29025120955961,1621382699548,9342804385454
28.03,2,29025121067316,1766463532512,9475966377053
28.03,3,29025121178552,1499945867938,8784784618588
29.03,0,29026122319824,1981783062440,9123779881261
29.03,1,29026122431266,1621472702714,9346332669464
29.03,2,29026122542604,1766549283492,9479063441251
29.03,3,29026122653639,1500035537752,8786864286838
30.04,0,29027123084530,1981869759328,9126806635601
30.04,1,29027123196357,1621566841146,9349886318008
30.04,2,29027123307851,1766633808294,9482466985571
30.04,3,29027123419005,1500126557156,8788847366430
31.04,0,29028124667358,1981971651000,9129745914854
31.04,1,29028124818850,1621707435148,9353285353673
31.04,2,29028124946280,1766728228110,9485735513478
31.04,3,29028125067157,1500253682564,8791110593791
32.04,0,29029125965509,1982128871640,9132441355086
32.04,1,29029126077134,1621912634084,9356499094219
32.04,2,29029126188407,1766869107872,9489083475248
32.04,3,29029126300318,1500444983240,8793485809981
33.04,0,29030127405110,1982306485094,9135212309832
33.04,1,29030127519674,1622125327598,9359693207213
33.04,2,29030126532321,1767039034088,9492428407582
33.04,3,29030126646235,1500655806610,8795727393027
34.04,0,29031127877274,1982517692670,9137879349340
34.04,1,29031127989966,1622362131476,9363041295773
34.04,2,29031128102494,1767247273066,9495601035592
34.04,3,29031128214567,1500894429778,8797968143505
35.04,0,29032129592648,1982782135048,9140746325634
35.04,1,29032129704545,1622646442868,9366278630457
35.04,2,29032129816274,1767510656992,9498404700222
35.04,3,29032128929682,1501183773622,8800287075231
36.04,0,29033130269919,1982938868660,9143553426784
36.04,1,29033130381529,1622806873440,9369837925249
36.04,2,29033130493083,1767678176312,9501412997678
36.04,3,29033130604839,1501356124110,8802536168813
37.04,0,29034131766621,1983117707210,9145800763062
37.04,1,29034131879984,1622986815934,9373456988831
37.04,2,29034131993894,1767860604704,9504726356190
37.04,3,29034132107307,1501542759212,8804958774717
38.04,0,29035132401413,1983357942910,9148386473798
38.04,1,29035131516335,1623224316764,9376973652453
38.04,2,29035131630579,1768100027614,9507983767044
38.04,3,29035131744264,1501790777366,8806942367687
39.04,0,29036132518195,1983637775962,9150907986458
39.04,1,29036132630695,1623489011280,9380506394831
39.04,2,29036132742687,1768372008964,9511160455226
39.04,3,29036132854291,1502076181834,8808929971171
40.05,0,29037133785063,1983848253028,9153514874900
40.05,1,29037133898526,1623696817362,9383958274051
40.05,2,29037134015220,1768605667814,9514305112378
40.05,3,29037134132507,1502321728108,8811155630389
41.05,0,29038134805384,1984037266910,9156348007030
41.05,1,29038134921103,1623881427578,9387496051801
41.05,2,29038135034729,1768804284506,9517460336984
41.05,3,29038135148287,1502501004980,8813202290477
42.05,0,29039136459889,1984239039418,9159092556180
42.05,1,29039136573345,1624080750960,9390992837189
42.05,2,29039136686868,1769009133844,9520826777342
42.05,3,29039136800293,1502680324082,8815141305099
43.05,0,29040137896695,1984389124784,9161843072352
43.05,1,29040138011056,1624243259468,9394181907719
43.05,2,29040137139129,1769178775462,9524587485212
43.05,3,29040137255154,1502820782818,8817142072819
44.05,0,29041138560435,1984530851912,9164498648720
44.05,1,29041138672399,1624384225774,9397495248157
44.05,2,29041138783713,1769315516664,9528362230410
44.05,3,29041138895599,1502945080304,8819181953149
45.05,0,29042140245412,1984613381026,9167483766682
45.05,1,29042140357919,1624467975688,9400620216641
45.05,2,29042139467213,1769396645382,9531965778050
45.05,3,29042139578622,1503029254474,8821465885737
46.05,0,29043141434030,1984674125570,9170580853164
46.05,1,29043140547423,1624529359838,9403624803847
46.05,2,29043140659326,1769457713476,9535388032820
46.05,3,29043140770957,1503091174326,8824023116587
47.05,0,29044141798071,1984738760800,9173576257468
47.05,1,29044141910062,1624594798088,9406744653193
47.05,2,29044142021484,1769522309738,9538917894732
47.05,3,29044142133289,1503155720800,8826447233661
48.05,0,29045143326487,1984808273724,9176585105604
48.05,1,29045143438413,1624665569634,9409481173651
48.05,2,29045143550334,1769591407094,9542581376712
48.05,3,29045143662140,1503224695826,8829093622391
49.06,0,29046144329809,1984879118878,9179754079328
49.06,1,29046144443503,1624738929964,9412462682243
49.06,2,29046144557285,1769662566124,9546233929650
49.06,3,29046144670923,1503294120010,8831332758945
50.06,0,29047145659809,1984957583104,9182796148120
50.06,1,29047145772879,1624820002402,9415487686433
50.06,2,29047145886342,1769741360392,9549877658138
50.06,3,29047145999779,1503371163218,8833637071487
51.06,0,29048147158512,1985044128448,9185671636898
51.06,1,29048147271414,1624909270714,9418452119679
51.06,2,29048147384660,1769828200136,9553931265922
51.06,3,29048146498654,1503456152326,8835726205265
52.06,0,29049147613280,1985145203034,9188346352366
52.06,1,29049147724935,1625024427516,9421664855687
52.06,2,29049147836599,1769930394832,9557561075448
52.06,3,29049147948525,1503551979046,8838116458503
53.06,0,29050148904309,1985301242908,9191344490636
53.06,1,29050149016293,1625201985756,9425306599905
53.06,2,29050149128514,1770088655514,9560442245234
53.06,3,29050149240991,1503696437782,8840287024417
54.06,0,29051150124607,1985467802254,9193880496786
54.06,1,29051150242429,1625381165248,9428994705107
54.06,2,29051150356566,1770257900992,9563499298166
54.06,3,29051149470503,1503860543658,8842651697177
55.06,0,29052151276626,1985542266480,9196447402070
55.06,1,29052151389565,1625455317778,9432790435025
55.06,2,29052151502714,1770331066530,9566672661962
55.06,3,29052151615426,1503931026310,8845154799433
56.06,0,29053152148885,1985595790224,9199074576208
56.06,1,29053152262690,1625507117512,9436505397449
56.06,2,29053152376079,1770382540470,9569801485960
56.06,3,29053152489502,1503980044664,8847804267837
57.07,0,29054153621554,1985642584556,9201952880068
57.07,1,29054153734155,1625551685658,9440199338217
57.07,2,29054153845861,1770429133534,9573208797292
57.07,3,29054153957957,1504024230736,8849975642819
58.07,0,29055155125133,1985694800972,9204628342222
58.07,1,29055154236630,1625601357684,9443964946123
58.07,2,29055154348523,1770481363984,9576697604318
58.07,3,29055154459978,1504073614870,8852166220653
59.07,0,29056156190344,1985750173188,9207322070474
59.07,1,29056156305217,1625653888994,9447466444067
59.07,2,29056155415875,1770537385560,9580167099592
59.07,3,29056155529060,1504126126752,8854616855371
60.07,0,29057157260377,1985806768400,9210137000748
60.07,1,29057157371982,1625706446304,9450969730191
60.07,2,29057157483905,1770593482924,9583713268932
60.07,3,29057156597790,1504180691636,8856863696929
61.07,0,29058158400444,1985869600554,9210137000985
61.07,1,29058158513078,1625765071796,9450969730428
61.07,2,29058158625617,1770655770736,9584294522340
61.07,3,29058158738692,1504241417754,8857171712032
62.07,0,29059159462022,1985887245594,9210137004583
62.07,1,29059159571989,1625783879144,9450969734092
62.07,2,29059159682419,1770690216568,9584294526004
62.07,3,29059159790386,1504275112534,8857171715696
63.07,0,29060160367913,1985887245594,9210137004583
63.07,1,29060160477993,1625783879144,9450969734092
63.07,2,29060160587764,1770690216568,9584294526004
63.07,3,29060160696823,1504275112534,8857171715696
64.07,0,29061160817267,1985887245594,9210137004653
64.07,1,29061160925713,1625783879144,9450969734162
64.07,2,29061161033676,1770690216568,9584294526074
64.07,3,29061161141454,1504275112534,8857171715766
