ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,32097863961078,2864887374666,12672141264103
0.00,1,32097864074213,2698663517074,13032133392611
0.00,2,32097864186986,2807287997586,13069324165529
0.00,3,32097863301451,2860066281860,12280247513518
1.00,0,32098864791639,2864887374666,12674131745749
1.00,1,32098864908805,2698663517074,13034326455011
1.00,2,32098865023666,2807287997586,13072060235947
1.00,3,32098865138966,2860066281860,12283204508406
2.00,0,32099865803447,2865430296138,12676531333869
2.00,1,32099865916931,2699211287314,13036499347807
2.00,2,32099866030239,2807818691730,13074916572581
2.00,3,32099866143622,2860610468228,12285926395398
3.00,0,32100866904198,2866226241828,12678781068555
3.00,1,32100867017309,2699907059170,13038686142419
3.00,2,32100867130608,2808408227694,13077545232371
3.00,3,32100867243880,2861422349192,12288280250562
4.00,0,32101868795591,2866688696370,12681313491133
4.00,1,32101868908747,2700327654658,13041113722423
4.00,2,32101868022519,2808763653588,13080580681251
4.00,3,32101868136785,2861961400214,12290830503320
5.01,0,32102869226482,2866891119258,12683712718789
5.01,1,32102869340575,2700512284456,13043840077031
5.01,2,32102869454068,2808952750050,13084057384959
5.01,3,32102869567436,2862179788022,12293756957710
6.01,0,32103870986478,2867001642840,12686153498749
6.01,1,32103871102991,2700614686132,13046346743477
6.01,2,32103871218334,2809062719142,13087756462217
6.01,3,32103870343608,2862300064040,12296999234478
7.01,0,32104872043378,2867108500200,12688910593003
7.01,1,32104872159003,2700705687274,13048801961783
7.01,2,32104872272954,2809156968168,13090691686009
7.01,3,32104872386338,2862407078414,12300783411618
8.01,0,32105872805628,2867274003936,12691421068571
8.01,1,32105872918644,2700830879038,13051508868577
8.01,2,32105873031548,2809296831408,13093714753529
8.01,3,32105873144792,2862572463566,12304268777100
9.01,0,32106874738817,2867466498708,12693745740003
9.01,1,32106873852643,2700986446972,13054322936911
9.01,2,32106873966438,2809466812788,13096733248515
9.01,3,32106874080214,2862760683824,12307731683354
10.01,0,32107875416026,2867566449648,12696392548679
10.01,1,32107875529755,2701083031444,13056853960131
10.01,2,32107875643373,2809565522988,13099763034125
10.01,3,32107875756694,2862863694890,12311457826356
11.01,0,32108877141086,2867614847292,12699103874303
11.01,1,32108876255713,2701131142510,13059467252221
11.01,2,32108876368871,2809616504226,13102963607463
11.01,3,32108876482107,2862911561102,12315064460918
12.01,0,32109877680148,2867639563272,12702061546933
12.01,1,32109877793287,2701155314980,13061944451075
12.01,2,32109877906382,2809643109864,13106305317915
12.01,3,32109878019690,2862936572444,12318518854430
13.02,0,32110878907986,2867660989644,12704774741159
13.02,1,32110879024234,2701177328782,13063946106107
13.02,2,32110879137525,2809665914226,13109940539567
13.02,3,32110879250962,2862958793768,12322411685244
14.02,0,32111879758052,2867685540924,12707289587267
14.02,1,32111879875659,2701202499334,13066141976885
14.02,2,32111879991341,2809691968668,13113240160529
14.02,3,32111880105556,2862984220154,12326626624594
15.02,0,32112881490136,2867713570668,12710217217977
15.02,1,32112881601666,2701231235092,13068494253739
15.02,2,32112881713191,2809721667372,13115999560675
15.02,3,32112880834352,2863013099750,12330804579152
16.02,0,32113882268023,2867745484038,12713117270407
16.02,1,32113882381770,2701263955492,13070751532819
16.02,2,32113882495297,2809755659256,13119114945031
16.02,3,32113882608466,2863046081474,12334729789026
17.02,0,32114883979978,2867782431738,12716226270947
17.02,1,32114884093571,2701301807944,13073043725673
17.02,2,32114883205371,2809794802956,13122172533657
17.02,3,32114883318404,2863084112900,12338448626176
18.02,0,32115884942008,2867824594938,12719193533703
18.02,1,32115885054858,2701344930796,13075360204685
18.02,2,32115885167873,2809839360894,13125148202313
18.02,3,32115885280906,2863127508056,12342349835344
19.02,0,32116886252300,2867872532520,12722135650831
19.02,1,32116886382731,2701393810462,13077570929337
19.02,2,32116885508648,2809889844738,13128395817229
19.02,3,32116885647934,2863176613910,12346077470898
20.02,0,32117887026781,2867926434438,12725098833843
20.02,1,32117887153188,2701448657758,13079597815005
20.02,2,32117887283103,2809946366484,13131724732891
20.02,3,32117887417326,2863231714844,12349869832600
21.02,0,32118887748033,2867986461000,12728308509214
21.02,1,32118887861670,2701509643972,13081812781248
21.02,2,32118887975199,2810009062284,13134617116546
21.02,3,32118887087108,2863292836112,12353627754249
22.02,0,32119888936078,2868053149128,12730742929750
22.02,1,32119889048079,2701577568448,13084312006810
22.02,2,32119889160030,2810079070764,13138114068962
22.02,3,32119888276248,2863360833056,12357254347701
23.03,0,32120889995842,2868127356360,12733209973298
23.03,1,32120890109199,2701653099868,13087007509242
23.03,2,32120890222525,2810156553330,13141564705566
23.03,3,32120890335583,2863436417180,12360669764245
24.03,0,32121891535336,2868209522994,12735581509508
24.03,1,32121890647533,2701736557750,13089527501186
24.03,2,32121890759444,2810242052394,13144952409462
24.03,3,32121890871398,2863519838828,12364379663815
25.03,0,32122892027292,2868299726988,12738352656478
25.03,1,32122892142006,2701828371412,13091649832480
25.03,2,32122892256429,2810339069478,13148289803614
25.03,3,32122892368267,2863611722762,12368107162187
26.03,0,32123893098758,2868420633258,12740955716338
26.03,1,32123893212153,2701958458060,13093923866260
26.03,2,32123893324200,2810485964310,13151629901044
26.03,3,32123893435867,2863742049872,12371688615411
27.03,0,32124894486313,2868604813974,12743687194434
27.03,1,32124894599055,2702152522972,13096064663834
27.03,2,32124894714130,2810697870624,13154619326618
27.03,3,32124894829632,2863936428812,12375370842987
28.03,0,32125895544685,2868750871032,12746536008114
28.03,1,32125895656325,2702303595694,13098400759778
28.03,2,32125895770596,2810850377334,13157676592370
28.03,3,32125895884827,2864087659646,12378853745757
29.03,0,32126897373042,2868808925586,12749269687222
29.03,1,32126897484315,2702364159178,13100989106752
29.03,2,32126896598098,2810910088770,13161015292024
29.03,3,32126896709903,2864145805334,12382286664877
30.03,0,32127898462575,2868856074804,12752436361490
30.03,1,32127898575521,2702412432748,13103348006202
30.03,2,32127897695546,2810957009604,13164088837054
30.03,3,32127897809122,2864190844196,12385829975261
31.04,0,32128898988246,2868908593242,12755492501198
31.04,1,32128899099974,2702466281962,13105798695684
31.04,2,32128899211719,2811009630156,13166941721354
31.04,3,32128899323480,2864241481760,12389588532825
32.04,0,32129900229165,2868967032096,12758282051650
32.04,1,32129900342786,2702526148216,13108382001436
32.04,2,32129900456344,2811068222730,13169881988214
32.04,3,32129900569543,2864298124286,12393371870395
33.04,0,32130901627845,2869025459970,12761081020456
33.04,1,32130901739421,2702585600524,13111056607618
33.04,2,32130901851321,2811125822712,13172967061130
33.04,3,32130901962982,2864355244442,12396913609879
34.04,0,32131903182924,2869082223276,12763817139236
34.04,1,32131903301849,2702643521122,13113451933820
34.04,2,32131902416153,2811181554996,13176110233006
34.04,3,32131902533406,2864411533412,12400739289903
35.04,0,32132903786634,2869136453496,12766634459882
35.04,1,32132903904372,2702699542180,13115868458456
35.04,2,32132904022303,2811236192574,13178993185862
35.04,3,32132904141564,2864465852570,12404733018273
36.04,0,32133905684825,2869185990864,12769379178494
36.04,1,32133904805787,2702750555260,13118752328370
36.04,2,32133904917223,2811288556194,13181763231698
36.04,3,32133905028952,2864518050392,12408457449799
37.04,0,32134906791378,2869240744830,12772375310656
37.04,1,32134906904906,2702807127514,13121563799884
37.04,2,32134906022876,2811346615140,13184827625974
37.04,3,32134906136705,2864575840328,12411689439895
38.04,0,32135907539444,2869301446662,12775226219248
38.04,1,32135907652538,2702869779394,13124086599412
38.04,2,32135907765468,2811411032604,13187943817754
38.04,3,32135907878704,2864639899844,12415279174257
39.05,0,32136909162339,2869361284368,12777846593226
39.05,1,32136909275235,2702930815018,13126832017788
39.05,2,32136908390442,2811473740482,13191101513776
39.05,3,32136908504127,2864702771324,12418836948921
40.05,0,32137909574823,2869401820332,12780483252930
40.05,1,32137909688367,2702972198638,13129457825772
40.05,2,32137909801969,2811517833966,13194290544424
40.05,3,32137909915495,2864747581802,12422541996367
41.05,0,32138911613257,2869443370848,12783305608616
41.05,1,32138910727829,2703014175178,13131780962532
41.05,2,32138910842253,2811561932940,13197775073358
41.05,3,32138910956159,2864792748032,12426070540599
42.05,0,32139912414803,2869490466264,12786073157278
42.05,1,32139912526650,2703061775674,13134351967888
42.05,2,32139912638477,2811611929272,13201148010918
42.05,3,32139912749773,2864843964242,12429497699859
43.05,0,32140913988052,2869543584210,12788671002988
43.05,1,32140913101478,2703115406386,13136951076440
43.05,2,32140913214839,2811667869078,13204666328608
43.05,3,32140913328424,2864901097574,12432887412401
44.05,0,32141914196216,2869602666492,12791481585558
44.05,1,32141914308663,2703175176016,13139554812568
44.05,2,32141914421480,2811730030152,13208176943704
44.05,3,32141914535207,2864964550994,12436045221285
45.05,0,32142916055771,2869668357636,12794046475388
45.05,1,32142916169545,2703241690660,13142376389430
45.05,2,32142916282772,2811799338108,13211691409060
45.05,3,32142915398983,2865035467520,12439205787821
46.05,0,32143917360609,2869741694154,12796916038758
46.05,1,32143917473380,2703315852874,13145400252810
46.05,2,32143916587821,2811876235440,13214499487022
46.05,3,32143916700436,2865114128240,12442528650249
47.05,0,32144918001578,2869822548678,12799479928366
47.05,1,32144918114681,2703397518820,13148543119870
47.05,2,32144918227675,2811961033980,13217289363588
47.05,3,32144918340605,2865200627582,12446027619763
48.06,0,32145919629762,2869885137972,12801979988616
48.06,1,32145919743319,2703460672486,13151720901318
48.06,2,32145919856884,2812026363882,13220183355244
48.06,3,32145918969423,2865267151010,12449529696311
49.06,0,32146920792364,2869919291262,12804658414790
49.06,1,32146920906002,2703496947112,13154490857706
49.06,2,32146921019600,2812062826266,13223120264808
49.06,3,32146920135597,2865302990828,12453330822169
50.06,0,32147921622627,2869951682262,12807497593180
50.06,1,32147921736017,2703532377376,13157012924474
50.06,2,32147921849154,2812097711922,13226151054092
50.06,3,32147921962282,2865337051886,12457131495975
51.06,0,32148922981430,2869989146022,12810217527585
51.06,1,32148923093333,2703572892478,13159895771255
51.06,2,32148923205234,2812137612144,13229065629441
51.06,3,32148923317217,2865376192292,12460789862458
52.06,0,32149924326010,2870031862614,12813035301703
52.06,1,32149924437119,2703618907462,13162754208571
52.06,2,32149924548373,2812182874998,13232104319927
52.06,3,32149923658509,2865420549296,12464224505776
53.06,0,32150925003704,2870080332726,12815768502285
53.06,1,32150925116920,2703670964740,13165448327797
53.06,2,32150925231845,2812234333866,13235471720101
53.06,3,32150925346626,2865470883812,12467554375014
54.06,0,32151926241283,2870134804506,12818331073635
54.06,1,32151926354444,2703729068704,13168254880469
54.06,2,32151926467651,2812291788912,13238787128935
54.06,3,32151926580870,2865527129960,12470973957226
55.06,0,32152927910055,2870190839838,12820697498093
55.06,1,32152928024487,2703789288514,13171073607819
55.06,2,32152927137399,2812351300512,13242110765569
55.06,3,32152927251307,2865586014602,12474559612638
56.07,0,32153928413669,2870244392592,12823098484077
56.07,1,32153928526250,2703847134448,13174017212937
56.07,2,32153928638343,2812408210950,13245135061069
56.07,3,32153928749578,2865643848458,12478292455166
57.07,0,32154930231373,2870284193994,12825748573221
57.07,1,32154930345174,2703889451368,13176460988915
57.07,2,32154930460397,2812449077412,13248435631227
57.07,3,32154929570025,2865686174162,12482066245766
58.07,0,32155931021426,2870319293760,12828286948517
58.07,1,32155931135051,2703926990890,13178995507767
58.07,2,32155931248678,2812484803038,13251996410713
58.07,3,32155931362394,2865721762538,12485618034372
59.07,0,32156932372104,2870358178332,12830985954259
59.07,1,32156932485721,2703968107696,13181676210203
59.07,2,32156932602208,2812524258570,13255254831575
59.07,3,32156932718231,2865761016038,12489153135702
60.07,0,32157933304539,2870402322324,12833554374760
60.07,1,32157933418706,2704014717796,13184562153663
60.07,2,32157933532558,2812568994384,13258360926239
60.07,3,32157933646260,2865805523468,12492739460354
61.07,0,32158935170737,2870452443828,12833725773883
61.07,1,32158934284713,2704067700688,13184853594827
61.07,2,32158934397690,2812619833980,13258657259869
61.07,3,32158934510095,2865856361966,12493065702229
62.07,0,32159935459126,2870479835634,12833725777547
62.07,1,32159935568859,2704096350802,13184853598760
62.07,2,32159935678299,2812648109676,13258657263467
62.07,3,32159935787430,2865883945922,12493065705761
63.07,0,32160936890258,2870479835634,12833725777547
63.07,1,32160936999012,2704096350802,13184853598760
63.07,2,32160937107679,2812648109676,13258657263467
63.07,3,32160937215994,2865883945922,12493065705761
64.07,0,32161938485074,2870479835634,12833725777547
64.07,1,32161938598740,2704096350802,13184853598760
64.07,2,32161938709155,2812648109676,13258657263467
64.07,3,32161937834035,2865883945922,12493065705761
