ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,29315079853649,2146435685858,9359966545405
0.00,1,29315079988148,1880025935086,9598043153183
0.00,2,29315080123454,1976352274134,9757406154336
0.00,3,29315079715440,2043296054194,9024607258867
1.00,0,29316081086808,2146435685858,9361552350171
1.00,1,29316081200319,1880025935086,9601093668165
1.00,2,29316081314353,1976352274134,9760660737976
1.00,3,29316081428349,2043296054194,9027473788299
2.00,0,29317082285350,2148685827376,9361931373885
2.00,1,29317082402230,1882389961100,9601884751905
2.00,2,29317082516869,1979662168400,9761514632334
2.00,3,29317081625670,2044823568918,9028254462483
3.00,0,29318083523915,2149081756428,9363260563703
3.00,1,29318083641121,1883763533592,9604832944971
3.00,2,29318082750398,1980438843808,9764325794442
3.00,3,29318082864242,2045318995730,9030432219463
4.00,0,29319084576334,2149585814856,9365106600189
4.00,1,29319084689251,1884442223380,9608027841947
4.00,2,29319084802632,1980870819290,9766945298604
4.00,3,29319083925464,2045668878970,9033127230435
5.01,0,29320085900089,2150003281952,9367321688947
5.01,1,29320085011938,1884890177472,9611244672801
5.01,2,29320085124228,1981269257388,9769268573836
5.01,3,29320085236677,2045995158270,9036098541457
6.01,0,29321085197296,2150204698094,9369764740865
6.01,1,29321085309922,1885128755948,9614519119997
6.01,2,29321085422699,1981552350176,9771985073030
6.01,3,29321085535885,2046190867602,9039057361005
7.01,0,29322086948222,2150351952704,9372279442657
7.01,1,29322087059586,1885290902914,9617720840005
7.01,2,29322087170509,1981706182260,9774943687334
7.01,3,29322087281258,2046345298522,9042098897595
8.01,0,29323087747749,2150425849948,9374926609953
8.01,1,29323087859589,1885368238844,9620902269819
8.01,2,29323087971804,1981777811574,9778095654734
8.01,3,29323088083783,2046415670056,9045149132367
9.01,0,29324089376997,2150494167200,9377537443227
9.01,1,29324089491816,1885435378644,9624183388955
9.01,2,29324089606163,1981844637052,9781353079788
9.01,3,29324088737998,2046478367762,9048067045005
10.01,0,29325088875391,2150559432822,9380192662571
10.01,1,29325088994665,1885498914616,9627463709741
10.01,2,29325089114027,1981910693132,9784766979770
10.01,3,29325089233244,2046541561738,9050770996413
11.01,0,29326090508039,2150607794180,9382791740633
11.01,1,29326090621494,1885546776254,9630798086457
11.01,2,29326090735187,1981960866846,9788190879386
11.01,3,29326090848623,2046591045344,9053552459773
12.01,0,29327091614850,2150655118390,9385444879973
12.01,1,29327091728487,1885596022884,9634047194529
12.01,2,29327091845487,1982012244906,9791443014984
12.01,3,29327091963743,2046641508096,9056528829093
13.01,0,29328093053866,2150709444372,9388165815884
13.01,1,29328093167055,1885651674406,9637141405212
13.01,2,29328092288576,1982070793722,9794731255349
13.01,3,29328092402019,2046697121046,9059527497460
14.01,0,29329093779248,2150756900170,9390795268684
14.01,1,29329093891459,1885696307878,9640297601754
14.01,2,29329094003439,1982118420072,9798070092931
14.01,3,29329094114924,2046741579982,9062549542110
15.01,0,29330093651898,2150797024708,9393490448246
15.01,1,29330093765056,1885735751464,9643473168898
15.01,2,29330093878127,1982160786670,9801462509949
