ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,32390599952625,2921577206898,13170536614719
0.00,1,32390600066982,2755329487570,13506986567054
0.00,2,32390600179853,2864314543596,13612170243253
0.00,3,32390600292711,2917229096258,12778814581441
1.00,0,32391601085471,2921577206898,13173060533515
1.00,1,32391601197265,2755329487570,13509573281074
1.00,2,32391601308313,2864314543596,13614738978435
1.00,3,32391601419668,2917229096258,12781317679093
2.00,0,32392602335957,2921764275354,13175773591331
2.00,1,32392602448953,2755435969414,13512478984464
2.00,2,32392602562042,2864416870608,13617851742995
2.00,3,32392602675142,2917350928142,12784397641493
3.00,0,32393603813515,2921805272478,13178683765087
3.00,1,32393603928471,2755476663490,13515423577638
3.00,2,32393604043586,2864457247362,13621061596833
3.00,3,32393604158361,2917391975774,12787503277813
4.00,0,32394605317392,2921834882244,13181626009067
4.00,1,32394605432122,2755506356704,13518467961912
4.00,2,32394604543055,2864486784660,13624188018611
4.00,3,32394604655663,2917421928116,12790598949361
5.01,0,32395605693230,2921866536486,13184636853745
5.01,1,32395605806530,2755537292854,13521520276290
5.01,2,32395605919772,2864517022482,13627248063051
5.01,3,32395606032535,2917453391306,12793677764505
6.01,0,32396607577638,2921898300528,13187606389879
6.01,1,32396607689833,2755569127168,13524747763212
6.01,2,32396607801841,2864548867776,13630236896189
6.01,3,32396606912860,2917484776538,12796701619635
7.01,0,32397608771136,2921929101624,13190501945707
7.01,1,32397608884624,2755599351814,13527861231150
7.01,2,32397607998353,2864579642520,13633305765043
7.01,3,32397608112360,2917514759624,12799828431201
8.01,0,32398608243139,2921960649360,13193432488163
8.01,1,32398608355963,2755631465020,13531022209726
8.01,2,32398608468604,2864611488912,13636423032881
8.01,3,32398608581668,2917547000198,12802807471249
9.01,0,32399609385916,2921993244588,13196403218299
9.01,1,32399609498891,2755664231536,13534095541514
9.01,2,32399609611860,2864645289744,13639503986463
9.01,3,32399609724762,2917579562486,12805880545957
10.01,0,32400611149731,2922030893910,13199482638165
10.01,1,32400611262738,2755702170730,13536959416078
10.01,2,32400611375810,2864683499046,13642614607411
10.01,3,32400611491274,2917619195894,12809010523043
11.01,0,32401612110209,2922065384286,13202464302763
11.01,1,32401612223328,2755737377002,13539927058340
11.01,2,32401612336332,2864719512348,13645677026837
11.01,3,32401612449770,2917653143858,12812186637455
12.01,0,32402613497872,2922095719830,13205426553011
12.01,1,32402613614707,2755768305466,13542895639952
12.01,2,32402613731680,2864750402382,13648783376295
12.01,3,32402613848142,2917684075616,12815359253709
13.01,0,32403614639828,2922125648016,13208462027551
13.01,1,32403614753603,2755798727752,13546007287404
13.01,2,32403614867307,2864780506248,13651610748635
13.01,3,32403614980554,2917712987054,12818594967785
14.02,0,32404616064398,2922156442524,13211484342745
14.02,1,32404616177224,2755830127258,13549320169854
14.02,2,32404615289557,2864810584860,13654183950917
14.02,3,32404615403132,2917743703604,12821890658333
15.02,0,32405617260415,2922189393504,13214500131543
15.02,1,32405617373702,2755863709588,13552651002592
15.02,2,32405616483520,2864843466666,13656895809721
15.02,3,32405616595017,2917777082804,12825029335363
16.02,0,32406618533098,2922226198464,13217556196835
16.02,1,32406617646226,2755900381690,13555603465386
16.02,2,32406617759729,2864880974346,13659804874425
16.02,3,32406617872638,2917813580324,12828293285505
17.02,0,32407619729991,2922261006162,13220729386185
17.02,1,32407618843409,2755935986536,13558391517982
17.02,2,32407618956903,2864915497662,13662716956513
17.02,3,32407619070367,2917848525272,12831609185457
18.02,0,32408620817240,2922296469366,13223956765327
18.02,1,32408620932058,2755969937794,13561264725304
18.02,2,32408620045977,2864950755540,13665662125465
18.02,3,32408620160401,2917883585510,12834756053667
19.02,0,32409620389461,2922326664366,13227115394269
19.02,1,32409620500787,2755999820962,13564230594876
19.02,2,32409620612379,2864981020812,13668643156107
19.02,3,32409620723840,2917913441228,12837846699403
20.02,0,32410621917927,2922356718822,13230338002855
20.02,1,32410622029546,2756030305834,13567299273820
20.02,2,32410622141655,2865011754930,13671473891879
20.02,3,32410622253646,2917943288162,12840937999621
21.02,0,32411623348246,2922390735960,13233360730403
21.02,1,32411623461534,2756062920826,13570422264226
21.02,2,32411623575265,2865045846732,13674496594513
21.02,3,32411623687309,2917976957234,12843968381137
22.02,0,32412624514895,2922427984512,13236281491527
22.02,1,32412624626897,2756100122164,13573414024204
22.02,2,32412624738762,2865082668162,13677733147289
22.02,3,32412624850386,2918015371862,12846999382743
23.03,0,32413625240448,2922458970072,13239303919365
23.03,1,32413625353646,2756131338304,13576438120438
23.03,2,32413625467021,2865114705606,13680928822989
23.03,3,32413625580448,2918047953914,12849955102405
24.03,0,32414626607482,2922487429134,13242294506853
24.03,1,32414626719295,2756160725176,13579564738218
24.03,2,32414626828877,2865143721354,13684022739349
24.03,3,32414626937698,2918077306748,12852960330897
25.03,0,32415628316562,2922516999372,13245194045247
25.03,1,32415627428833,2756191414276,13582833676124
25.03,2,32415627542412,2865173987724,13687097477039
25.03,3,32415627656073,2918107731230,12855923428993
26.03,0,32416629498633,2922547696158,13247900450793
26.03,1,32416628608695,2756223306784,13586134974002
26.03,2,32416628720368,2865205712238,13690281687407
26.03,3,32416628831988,2918138284178,12858936102819
27.03,0,32417630162035,2922579790698,13250602769143
27.03,1,32417630276651,2756254907224,13589324083030
27.03,2,32417630391407,2865238045044,13693462375229
27.03,3,32417630503389,2918169322442,12862071159753
28.03,0,32418631534586,2922609056790,13253392636279
28.03,1,32418631648697,2756283983362,13592395776496
28.03,2,32418631762161,2865267261726,13696637958075
28.03,3,32418631876023,2918198050514,12865250101329
29.03,0,32419632502424,2922637689336,13256348832930
29.03,1,32419632614248,2756313115498,13595331662667
29.03,2,32419632725774,2865296132538,13699756905020
29.03,3,32419632837604,2918227252922,12868450985732
30.03,0,32420633913190,2922666846726,13259439946906
30.03,1,32420634027318,2756343277558,13598300175863
30.03,2,32420634141029,2865324957234,13702778173296
30.03,3,32420634254247,2918256860492,12871585587502
31.03,0,32421635300815,2922695547348,13262648765220
31.03,1,32421635412660,2756372116528,13601257822691
31.03,2,32421634523222,2865354728406,13705722074454
31.03,3,32421634635168,2918285326142,12874685473556
32.04,0,32422635832495,2922725282286,13265924555032
32.04,1,32422635944240,2756401592338,13604173707237
32.04,2,32422636057095,2865385532796,13708597918798
32.04,3,32422636170142,2918315140136,12877826630572
33.04,0,32423637217039,2922753617274,13268810060846
33.04,1,32423637331270,2756431091206,13607253931481
33.04,2,32423637445732,2865414468390,13711597056912
33.04,3,32423637560459,2918343761702,12881079254242
34.04,0,32424638576542,2922784092264,13271568657618
34.04,1,32424638687903,2756460831634,13610374270281
34.04,2,32424638799572,2865445080630,13714674364186
34.04,3,32424638911541,2918374657226,12884333356772
35.04,0,32425639173352,2922812436036,13274428294930
35.04,1,32425639287718,2756490119686,13613454362561
35.04,2,32425639401479,2865474427974,13717800085060
35.04,3,32425639516711,2918403865124,12887475420412
36.04,0,32426641069675,2922841396884,13277336988068
36.04,1,32426641185117,2756518925716,13616589335597
36.04,2,32426640289985,2865503707242,13720966028834
36.04,3,32426640401868,2918432779856,12890482485260
37.04,0,32427641199487,2922879188946,13280298212060
37.04,1,32427641310541,2756555901964,13619647895537
37.04,2,32427641421774,2865542183358,13724048686098
37.04,3,32427641532708,2918470863986,12893551653138
38.04,0,32428643323405,2922911343876,13283377098436
38.04,1,32428642433198,2756587213630,13622661681211
38.04,2,32428642545542,2865573851874,13727184236010
38.04,3,32428642658054,2918502469916,12896529741566
39.04,0,32429643806965,2922944148822,13286471004962
39.04,1,32429643919924,2756619342208,13625845989333
39.04,2,32429644034126,2865606858852,13730173846632
39.04,3,32429644148595,2918535008048,12899461225278
40.04,0,32430644637462,2922975022386,13289633791770
40.04,1,32430644749246,2756650477096,13629036627273
40.04,2,32430644861308,2865637225140,13733083212554
40.04,3,32430644973370,2918565371042,12902401767170
41.05,0,32431646012160,2923003470468,13292720365480
41.05,1,32431646125360,2756678492566,13632189301513
41.05,2,32431646238827,2865666132186,13736067954214
41.05,3,32431646352495,2918594330792,12905396296916
42.05,0,32432647530273,2923032235872,13295777649260
42.05,1,32432647644173,2756708789680,13635361199497
42.05,2,32432647758748,2865695446590,13738993256292
42.05,3,32432647872463,2918623548572,12908458662750
43.05,0,32433648140786,2923061454750,13298753198932
43.05,1,32433648254001,2756737986598,13638437663525
43.05,2,32433648365752,2865724926792,13741971949158
43.05,3,32433648477335,2918652391934,12911634383852
44.05,0,32434649470882,2923093002486,13301701965070
44.05,1,32434649583929,2756768405590,13641542291457
44.05,2,32434649697245,2865756219792,13744823965504
44.05,3,32434649810629,2918683198520,12914936898786
45.05,0,32435651012825,2923122371790,13304610042912
45.05,1,32435651126665,2756798101000,13644677115229
45.05,2,32435651240373,2865785392554,13747684695574
45.05,3,32435651353758,2918713240898,12918249643158
46.05,0,32436651663455,2923155057054,13307428235120
46.05,1,32436651775293,2756830737952,13647719342841
46.05,2,32436651887101,2865816447288,13750802437168
46.05,3,32436651998992,2918745964592,12921466147770
47.05,0,32437653120249,2923185326718,13310297732274
47.05,1,32437653232481,2756860678216,13650766438567
47.05,2,32437653344190,2865845808906,13753846738790
47.05,3,32437653455912,2918775392090,12924719547754
48.05,0,32438654674084,2923215079224,13313251823518
48.05,1,32438654782754,2756889717022,13653801665553
48.05,2,32438654891767,2865874740108,13756945624466
48.05,3,32438655000801,2918804663672,12927848971440
49.05,0,32439654569507,2923242876192,13316136588920
49.05,1,32439654683470,2756918330902,13656860767505
49.05,2,32439654796729,2865902902710,13760060769726
49.05,3,32439654909523,2918832555068,12930992032648
50.06,0,32440655744633,2923270789548,13319133749790
50.06,1,32440655857634,2756946720790,13659723503159
50.06,2,32440655971185,2865931288206,13763234266556
50.06,3,32440656084902,2918861730026,12934175273564
51.06,0,32441657237476,2923297709214,13322094282212
51.06,1,32441657351315,2756973753550,13662549666767
51.06,2,32441657466238,2865958823850,13766440659668
51.06,3,32441657580986,2918890011212,12937406483954
52.06,0,32442658051259,2923325793858,13325220295986
52.06,1,32442658164043,2757002707810,13665508219937
52.06,2,32442658276122,2865986520900,13769512073406
52.06,3,32442658387809,2918918470274,12940462856118
53.06,0,32443659852398,2923354599888,13328245628790
53.06,1,32443659967270,2757031878376,13668577025051
53.06,2,32443660082090,2866016008788,13772658548954
53.06,3,32443659195017,2918947955966,12943440216576
54.06,0,32444661304606,2923391146818,13331085634276
54.06,1,32444660418673,2757068347348,13671644708335
