ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,29217517398630,2108768518318,9220947724882
0.00,1,29217517516349,1841670717172,9460624312624
0.00,2,29217517633550,1939222869118,9593168543328
0.00,3,29217516757860,2005367859696,8865166360609
1.00,0,29218518349038,2108768518318,9222391856368
1.00,1,29218518462671,1841670717172,9462463924400
1.00,2,29218518575936,1939222869118,9596458577312
1.00,3,29218518689106,2005367859696,8869012577795
2.00,0,29219519267982,2111335543498,9222935127496
2.00,1,29219519381652,1844048024120,9463197030712
2.00,2,29219519494968,1940577003664,9597657791156
2.00,3,29219519607931,2007466475338,8870414981061
3.00,0,29220519690773,2112231050180,9224133068906
3.00,1,29220519802157,1845368689464,9464845456482
3.00,2,29220519913815,1941577495094,9599562032480
3.00,3,29220520025803,2008731425392,8873476114411
4.00,0,29221521695355,2113397192934,9225622118186
4.00,1,29221521809961,1846296262132,9466822109930
4.00,2,29221520935668,1942485994194,9601812856946
4.00,3,29221521050327,2009758729532,8876039280793
5.01,0,29222522482900,2114259262432,9227513390332
5.01,1,29222522597295,1847087130402,9469081126092
5.01,2,29222522711222,1943322780136,9604352326280
5.01,3,29222522824491,2010535005820,8878396162913
6.01,0,29223523626774,2114828481558,9229815751898
6.01,1,29223523740176,1847621335486,9471480582242
6.01,2,29223523853351,1943847943030,9607178099194
6.01,3,29223523967569,2011113109132,8880978571693
7.01,0,29224524354719,2115589200496,9232522099696
7.01,1,29224524469012,1848402802230,9473136822542
7.01,2,29224524582905,1944632844858,9609368983936
7.01,3,29224524696414,2011857966614,8883659071191
8.01,0,29225525520772,2116174420688,9234919035082
8.01,1,29225525632286,1848984265936,9475221123632
8.01,2,29225525743796,1945244883186,9611813713922
8.01,3,29225525855154,2012418607840,8886709898267
9.01,0,29226527635304,2116785652766,9236987280614
9.01,1,29226526749505,1849537732936,9477713670538
9.01,2,29226526865096,1945840672638,9614426897604
9.01,3,29226526979159,2012978531508,8889534157347
10.01,0,29227528240897,2117173464082,9239092237304
10.01,1,29227528352481,1849913127570,9480542324674
10.01,2,29227528464728,1946212791322,9617205340508
10.01,3,29227528577151,2013335982454,8892653267703
11.01,0,29228529900343,2117427711652,9241396939042
11.01,1,29228529011631,1850173247448,9483093896592
11.01,2,29228529122553,1946465198010,9620301512884
11.01,3,29228529233969,2013593383724,8895998376201
12.01,0,29229531095689,2117976111544,9243645478950
12.01,1,29229530206620,1850712012038,9485580636796
12.01,2,29229530317493,1947036120572,9623017838682
12.01,3,29229530427821,2014164201332,8898634241529
13.01,0,29230531391784,2118718407324,9245238608052
13.01,1,29230531506668,1851440012416,9488052506490
13.01,2,29230531621893,1947750349300,9625845140212
13.01,3,29230531735582,2014892914892,8901140636367
14.02,0,29231533333919,2119624291704,9247109221766
14.02,1,29231533447608,1852365712776,9489620906024
14.02,2,29231532562466,1948707989052,9628607641162
14.02,3,29231532675700,2015811352270,8903541019779
15.02,0,29232533876161,2120160985964,9249377405824
15.02,1,29232533987865,1852964096374,9491567546664
15.02,2,29232534101933,1949290349912,9631627809996
15.02,3,29232534216964,2016398964242,8906317040099
16.02,0,29233534898581,2120610171676,9251689046224
16.02,1,29233535011199,1853417369744,9493897384958
16.02,2,29233535124148,1949723018316,9634604224200
16.02,3,29233535237491,2016839763584,8909240823297
17.02,0,29234536833232,2121214280366,9254086685720
17.02,1,29234536945761,1854014151614,9495800880848
17.02,2,29234536064308,1950286476644,9637750416296
17.02,3,29234536178252,2017409846354,8911778055193
18.02,0,29235537538492,2121892457190,9256214700696
18.02,1,29235537650336,1854694224518,9497730717602
18.02,2,29235537761795,1951015818974,9640357926448
18.02,3,29235537873156,2018066656308,8914683266855
19.02,0,29236538907429,2122660341698,9258048796730
19.02,1,29236539018805,1855538423904,9500103265182
19.02,2,29236539129820,1951825120108,9642544255998
19.02,3,29236539241046,2018827634958,8917421319731
20.02,0,29237540068516,2123133431048,9260189850208
20.02,1,29237540184748,1855999191820,9502679884048
20.02,2,29237540300587,1952329741906,9645111288550
20.02,3,29237540412163,2019324441842,8920520309301
21.02,0,29238541561540,2123479943708,9262717158279
21.02,1,29238540678118,1856347565952,9505099432197
21.02,2,29238540791902,1952693702570,9648045758683
21.02,3,29238540909499,2019684785630,8923535997776
22.03,0,29239542082968,2124086989618,9265219488527
22.03,1,29239542196706,1856972264444,9506849470149
22.03,2,29239542310692,1953302850252,9650977837509
22.03,3,29239542424388,2020281311018,8926231202992
23.03,0,29240543255710,2124543488100,9268014995439
23.03,1,29240543367818,1857421993432,9508993100357
23.03,2,29240543479747,1953744182066,9654201466781
23.03,3,29240543591267,2020736287824,8928585418780
24.03,0,29241544097048,2125042952952,9270274014539
24.03,1,29241544211283,1857932940976,9511546751249
24.03,2,29241544325168,1954236993262,9657203369625
24.03,3,29241544440314,2021225557900,8931092664616
25.03,0,29242545414023,2125548256570,9272898097321
25.03,1,29242545526698,1858455945850,9513899808795
25.03,2,29242545639737,1954738453802,9660055861423
25.03,3,29242545752439,2021733865822,8933544867706
26.03,0,29243546767046,2126225763444,9275260247375
26.03,1,29243546882601,1859156682164,9515514400535
26.03,2,29243546998178,1955418983406,9663008991255
26.03,3,29243547113386,2022396940930,8936209683540
