ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,32292895486741,2895543398514,13009853561609
0.00,1,32292895603990,2729182049362,13338067655416
0.00,2,32292895718279,2837877444204,13435069313607
0.00,3,32292895831178,2891095852994,12638935104758
1.00,0,32293897310877,2895543398514,13012246994375
1.00,1,32293896424585,2729182049362,13340576333862
1.00,2,32293896536705,2837877444204,13438695469647
1.00,3,32293896648312,2891095852994,12641164566782
2.00,0,32294897964836,2896408868466,13014218367577
2.00,1,32294898076483,2729982377170,13342897445870
2.00,2,32294898188199,2838638841324,13441689719813
2.00,3,32294898300688,2891861536706,12642999901094
3.00,0,32295898933515,2897338707570,13016113998595
3.00,1,32295899045275,2730913129810,13345117938962
3.00,2,32295899157304,2839568469612,13444389272851
3.00,3,32295899271304,2892792500162,12644769119102
4.00,0,32296900375855,2897967456408,13018274537155
4.00,1,32296900487633,2731457744398,13347577772612
4.00,2,32296900599183,2840392045374,13447297925745
4.00,3,32296900710581,2893554695528,12646798967668
5.01,0,32297901654940,2898260194188,13020806043697
5.01,1,32297901770831,2731770036460,13350405377730
5.01,2,32297901887620,2840745895638,13450575287407
5.01,3,32297900993067,2893865979626,12649213652324
6.01,0,32298902533229,2898504994386,13023666825491
6.01,1,32298902645505,2732024808694,13353623065538
6.01,2,32298902757777,2841004685454,13454161008771
6.01,3,32298902870206,2894124333536,12650857205304
7.01,0,32299904228682,2898873657768,13026485980026
7.01,1,32299903339815,2732386805020,13356960676099
7.01,2,32299903452755,2841349880184,13457308083348
7.01,3,32299903564448,2894479656218,12652441909341
8.01,0,32300904683341,2899111363788,13029588940992
8.01,1,32300904796816,2732614731154,13360295782893
8.01,2,32300904909769,2841572296554,13460349590244
8.01,3,32300905022338,2894711262848,12654368080701
9.01,0,32301906296682,2899349089572,13032926781646
9.01,1,32301906410230,2732858042464,13363143547811
9.01,2,32301906523466,2841815685822,13463726718262
9.01,3,32301906639314,2894948949104,12656173984443
10.01,0,32302906868986,2899671393198,13035962622146
10.01,1,32302906986727,2733206109562,13366002247685
10.01,2,32302907102029,2842145465730,13466699103676
10.01,3,32302907218252,2895281400446,12658289897853
11.01,0,32303908032313,2900092908810,13038823940992
11.01,1,32303908154119,2733615569134,13368787971025
11.01,2,32303908281161,2842551584088,13469396922390
11.01,3,32303908405316,2895680503682,12660630146143
12.01,0,32304909801315,2900579610486,13041525822986
12.01,1,32304909914522,2734105161844,13371387059595
12.01,2,32304910028312,2843023979922,13472206379426
12.01,3,32304910141554,2896172479052,12662905633557
13.01,0,32305910006125,2900977119426,13044251550634
13.01,1,32305910121610,2734493681458,13374161364479
13.01,2,32305910236968,2843415369708,13475265268798
13.01,3,32305910350898,2896558129592,12665093428849
14.02,0,32306911408880,2901541802160,13046734080896
14.02,1,32306911523710,2735086792510,13377012757261
14.02,2,32306911639567,2844016531296,13477729822702
14.02,3,32306911757207,2897162875052,12667250840787
15.02,0,32307912561223,2902038207960,13048700165936
15.02,1,32307912683748,2735596099810,13380220452235
15.02,2,32307912801567,2844529464192,13480570611738
15.02,3,32307912917278,2897670153248,12669529041371
16.02,0,32308913546682,2902621859742,13050824218774
16.02,1,32308913673624,2736212426974,13383161521757
16.02,2,32308913809391,2845100664654,13483319661500
16.02,3,32308913951517,2898260960696,12671667848953
17.02,0,32309914998819,2903094522390,13053365149998
17.02,1,32309915141630,2736691998238,13386188029619
17.02,2,32309915283719,2845588484094,13485802795610
17.02,3,32309914454999,2898724724054,12674033847911
18.02,0,32310915085907,2903620418274,13055842329776
18.02,1,32310915203834,2737174035610,13388927356301
