arm,run,cls,src_vf,flow,gbps,tcp_retrans
gbn,1,rdma,0,0,0.15,
gbn,1,rdma,0,1,0.15,
gbn,1,rdma,0,2,0.15,
gbn,1,rdma,0,3,0.15,
gbn,1,tcp,0,0,0.995,419944
gbn,1,tcp,0,1,0.94,380425
gbn,1,tcp,0,2,1.078,420581
gbn,1,tcp,0,3,0.952,385631
gbn,1,rdma,1,0,0.15,
gbn,1,rdma,1,1,0.15,
gbn,1,rdma,1,2,0.15,
gbn,1,rdma,1,3,0.15,
gbn,1,tcp,1,0,1.157,473746
gbn,1,tcp,1,1,1.002,382989
gbn,1,tcp,1,2,1.101,413687
gbn,1,tcp,1,3,1.006,384241
gbn,1,rdma,2,0,0.15,
gbn,1,rdma,2,1,0.15,
gbn,1,rdma,2,2,0.15,
gbn,1,rdma,2,3,0.15,
gbn,1,tcp,2,0,0.966,376862
gbn,1,tcp,2,1,1.272,506236
gbn,1,tcp,2,2,0.954,381082
gbn,1,tcp,2,3,1.102,439718
gbn,1,rdma,3,0,0.15,
gbn,1,rdma,3,1,0.15,
gbn,1,rdma,3,2,0.15,
gbn,1,rdma,3,3,0.15,
gbn,1,tcp,3,0,1.142,437411
gbn,1,tcp,3,1,1.172,459419
gbn,1,tcp,3,2,0.953,390875
gbn,1,tcp,3,3,0.891,362615
gbn,2,rdma,0,0,0.15,
gbn,2,rdma,0,1,0.15,
gbn,2,rdma,0,2,0.15,
gbn,2,rdma,0,3,0.15,
gbn,2,tcp,0,0,1.097,439949
gbn,2,tcp,0,1,0.907,333026
gbn,2,tcp,0,2,1.248,507752
gbn,2,tcp,0,3,1.117,429080
gbn,2,rdma,1,0,0.15,
gbn,2,rdma,1,1,0.15,
gbn,2,rdma,1,2,0.15,
gbn,2,rdma,1,3,0.15,
gbn,2,tcp,1,0,1.303,484015
gbn,2,tcp,1,1,0.952,371994
gbn,2,tcp,1,2,1.213,467084
gbn,2,tcp,1,3,1.258,480470
gbn,2,rdma,2,0,0.15,
gbn,2,rdma,2,1,0.15,
gbn,2,rdma,2,2,0.15,
gbn,2,rdma,2,3,0.15,
gbn,2,tcp,2,0,1.083,407412
gbn,2,tcp,2,1,0.788,294658
gbn,2,tcp,2,2,0.943,356381
gbn,2,tcp,2,3,0.956,375130
gbn,2,rdma,3,0,0.15,
gbn,2,rdma,3,1,0.15,
gbn,2,rdma,3,2,0.15,
gbn,2,rdma,3,3,0.15,
gbn,2,tcp,3,0,0.887,332285
gbn,2,tcp,3,1,0.903,350026
gbn,2,tcp,3,2,1.074,411624
gbn,2,tcp,3,3,1.011,385545
gbn,3,rdma,0,0,0.15,
gbn,3,rdma,0,1,0.15,
gbn,3,rdma,0,2,0.15,
gbn,3,rdma,0,3,0.15,
gbn,3,tcp,0,0,0.925,354746
gbn,3,tcp,0,1,1.027,385828
gbn,3,tcp,0,2,1.15,435216
gbn,3,tcp,0,3,1.09,396688
gbn,3,rdma,1,0,0.15,
gbn,3,rdma,1,1,0.15,
gbn,3,rdma,1,2,0.15,
gbn,3,rdma,1,3,0.15,
gbn,3,tcp,1,0,1.067,384723
gbn,3,tcp,1,1,1.05,415411
gbn,3,tcp,1,2,1.313,501822
gbn,3,tcp,1,3,1.036,355314
gbn,3,rdma,2,0,0.15,
gbn,3,rdma,2,1,0.15,
gbn,3,rdma,2,2,0.15,
gbn,3,rdma,2,3,0.15,
gbn,3,tcp,2,0,1.264,488313
gbn,3,tcp,2,1,0.923,349301
gbn,3,tcp,2,2,1.105,461602
gbn,3,tcp,2,3,1.205,470595
gbn,3,rdma,3,0,0.15,
gbn,3,rdma,3,1,0.15,
gbn,3,rdma,3,2,0.15,
gbn,3,rdma,3,3,0.15,
gbn,3,tcp,3,0,0.861,329299
gbn,3,tcp,3,1,1.081,444941
gbn,3,tcp,3,2,0.835,328155
gbn,3,tcp,3,3,0.858,342672
sr1024,1,rdma,0,0,0.063,
sr1024,1,rdma,0,1,0.062,
sr1024,1,rdma,0,2,0.063,
sr1024,1,rdma,0,3,0.062,
sr1024,1,tcp,0,0,1.11,424492
sr1024,1,tcp,0,1,1.286,499229
sr1024,1,tcp,0,2,1.278,495556
sr1024,1,tcp,0,3,1.063,388894
sr1024,1,rdma,1,0,0.063,
sr1024,1,rdma,1,1,0.063,
sr1024,1,rdma,1,2,0.063,
sr1024,1,rdma,1,3,0.063,
sr1024,1,tcp,1,0,0.689,288191
sr1024,1,tcp,1,1,1.248,492159
sr1024,1,tcp,1,2,1.203,444255
sr1024,1,tcp,1,3,1.021,369644
sr1024,1,rdma,2,0,0.062,
sr1024,1,rdma,2,1,0.062,
sr1024,1,rdma,2,2,0.062,
sr1024,1,rdma,2,3,0.062,
sr1024,1,tcp,2,0,1.179,467691
