ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,107533215558317,3586361896126,13738730254472
0.00,1,107533215670042,2758204032904,13690179770624
0.00,2,107533215779058,2867209558944,13794830294702
0.00,3,107533215888136,2920225929146,12964972757995
1.00,0,107534216552626,3586361896126,13743320736758
1.00,1,107534216684706,2758204032904,13690179770624
1.00,2,107534216812491,2867209558944,13794830294702
1.00,3,107534216942832,2920225929146,12964972757995
2.00,0,107535217822107,3588525648948,13743694098804
2.00,1,107535217934057,2758204032904,13690179770624
2.00,2,107535218044390,2867209558944,13794830294702
2.00,3,107535218157610,2920225929146,12964972757995
3.00,0,107536218866697,3588962899842,13745786787694
3.00,1,107536219002724,2758204032904,13690179770624
3.00,2,107536219137303,2867209558944,13794830294702
3.00,3,107536219265018,2920225929146,12964972757995
4.00,0,107537221068491,3589305249270,13747976944636
4.00,1,107537220179174,2758204032904,13690179770624
4.00,2,107537220287553,2867209558944,13794830294702
4.00,3,107537220396447,2920225929146,12964972757995
5.01,0,107538221418729,3589644591244,13750165401356
5.01,1,107538221531814,2758204032904,13690179770624
5.01,2,107538221641262,2867209558944,13794830294702
5.01,3,107538221750083,2920225929146,12964972757995
6.01,0,107539222612272,3589987960412,13752351895932
6.01,1,107539222723922,2758204032904,13690179770624
6.01,2,107539222833651,2867209558944,13794830294702
6.01,3,107539222943128,2920225929146,12964972757995
7.01,0,107540224477877,3590328270984,13754543294354
7.01,1,107540224587033,2758204032904,13690179770624
7.01,2,107540223694027,2867209558944,13794830294702
7.01,3,107540223801667,2920225929146,12964972757995
8.01,0,107541225601632,3590685818474,13756715622432
8.01,1,107541225717420,2758204032904,13690179770624
8.01,2,107541224826966,2867209558944,13794830294702
8.01,3,107541224936465,2920225929146,12964972757995
9.01,0,107542226126442,3591021221072,13758908480350
9.01,1,107542226238352,2758204032904,13690179770624
9.01,2,107542226348295,2867209558944,13794830294702
9.01,3,107542226457982,2920225929146,12964972757995
10.01,0,107543227734933,3591361560848,13761099018918
10.01,1,107543227844885,2758204032904,13690179770624
10.01,2,107543227953778,2867209558944,13794830294702
10.01,3,107543228063395,2920225929146,12964972757995
11.01,0,107544228691582,3591695325154,13763294636956
11.01,1,107544228803903,2758204032904,13690179770624
