ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,107923638418536,3697370089876,14262665878269
0.00,1,107923638527909,2758204032904,13690179775649
0.00,2,107923638635369,2867209558944,13794830299727
0.00,3,107923638742708,2920225929146,12964972763020
1.00,0,107924639754489,3697370089876,14266956701531
1.00,1,107924639866223,2758204032904,13690179775649
1.00,2,107924639976450,2867209558944,13794830299727
1.00,3,107924640086832,2920225929146,12964972763020
2.00,0,107925641278642,3698048260792,14268810401123
2.00,1,107925641390324,2758204032904,13690179775649
2.00,2,107925641500480,2867209558944,13794830299727
2.00,3,107925640610410,2920225929146,12964972763020
3.00,0,107926641805816,3698319925756,14271066771341
3.00,1,107926641918025,2758204032904,13690179775649
3.00,2,107926642028363,2867209558944,13794830299727
3.00,3,107926642138702,2920225929146,12964972763020
4.00,0,107927643345737,3698457852124,14273458774763
4.00,1,107927643457707,2758204032904,13690179775649
4.00,2,107927643567830,2867209558944,13794830299727
4.00,3,107927643678122,2920225929146,12964972763020
5.01,0,107928644611726,3698599837798,14275846237699
5.01,1,107928644723515,2758204032904,13690179775649
5.01,2,107928644835316,2867209558944,13794830299727
5.01,3,107928644947647,2920225929146,12964972763020
6.01,0,107929645746530,3698738943418,14278236171483
6.01,1,107929645859151,2758204032904,13690179775649
6.01,2,107929645969357,2867209558944,13794830299727
6.01,3,107929646079436,2920225929146,12964972763020
7.01,0,107930646624495,3698877332044,14280626099211
7.01,1,107930646736320,2758204032904,13690179775649
7.01,2,107930646846471,2867209558944,13794830299727
7.01,3,107930646956296,2920225929146,12964972763020
8.01,0,107931648048079,3699029053684,14283004237421
8.01,1,107931648155260,2758204032904,13690179775649
8.01,2,107931648260671,2867209558944,13794830299727
8.01,3,107931648366170,2920225929146,12964972763020
9.01,0,107932649504223,3699174286144,14285388838897
9.01,1,107932649614267,2758204032904,13690179775649
9.01,2,107932648723689,2867209558944,13794830299727
9.01,3,107932648831750,2920225929146,12964972763020
10.01,0,107933650404044,3699319059640,14287772468483
10.01,1,107933650516269,2758204032904,13690179775649
10.01,2,107933650628621,2867209558944,13794830299727
10.01,3,107933650740441,2920225929146,12964972763020
11.01,0,107934651339065,3699463077712,14290157076015
11.01,1,107934651454948,2758204032904,13690179775649
11.01,2,107934651564804,2867209558944,13794830299727
11.01,3,107934651674502,2920225929146,12964972763020
12.01,0,107935652616704,3699609075478,14292540467903
12.01,1,107935652727985,2758204032904,13690179775649
12.01,2,107935652837699,2867209558944,13794830299727
12.01,3,107935652945133,2920225929146,12964972763020
13.02,0,107936653854331,3699751298320,14294927523671
13.02,1,107936653963975,2758204032904,13690179775649
13.02,2,107936654071926,2867209558944,13794830299727
13.02,3,107936654180142,2920225929146,12964972763020
14.02,0,107937654429978,3699893450890,14297312992767
14.02,1,107937654541708,2758204032904,13690179775649
14.02,2,107937654651920,2867209558944,13794830299727
14.02,3,107937654762138,2920225929146,12964972763020
15.02,0,107938656073257,3700032500512,14299704254427
15.02,1,107938656183978,2758204032904,13690179775649
15.02,2,107938656292746,2867209558944,13794830299727
15.02,3,107938656401585,2920225929146,12964972763020
16.02,0,107939657426012,3700177429924,14302088916561
16.02,1,107939657537726,2758204032904,13690179775649
16.02,2,107939657647643,2867209558944,13794830299727
16.02,3,107939656758711,2920225929146,12964972763020
17.02,0,107940658706355,3700321483132,14304474194893
17.02,1,107940658818564,2758204032904,13690179775649
17.02,2,107940657928722,2867209558944,13794830299727
17.02,3,107940658040051,2920225929146,12964972763020
18.02,0,107941659151724,3700461838276,14306861224923
18.02,1,107941659262925,2758204032904,13690179775649
18.02,2,107941659372359,2867209558944,13794830299727
18.02,3,107941659482171,2920225929146,12964972763020
19.02,0,107942660635312,3700604869246,14309248115665
19.02,1,107942660747370,2758204032904,13690179775649
19.02,2,107942660857332,2867209558944,13794830299727
19.02,3,107942660967403,2920225929146,12964972763020
20.02,0,107943661419481,3700749445102,14311631717999
20.02,1,107943661528920,2758204032904,13690179775973
20.02,2,107943661636952,2867209558944,13794830300051
20.02,3,107943661745675,2920225929146,12964972763344
21.02,0,107944662991190,3700901951812,14314009343061
21.02,1,107944663102405,2758204032904,13690179775973
21.02,2,107944663212112,2867209558944,13794830300051
21.02,3,107944663322167,2920225929146,12964972763344
22.03,0,107945664490858,3701047073374,14316394200501
22.03,1,107945664602626,2758204032904,13690179775973
22.03,2,107945663710445,2867209558944,13794830300051
22.03,3,107945663819673,2920225929146,12964972763344
23.03,0,107946665649760,3701191885300,14318778491705
