PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.176 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.165 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.093 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.084 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.067 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.103 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.087 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.118 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.084 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.210 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.192 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.100 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.084 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.083 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.166 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.100 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.069 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.115 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.156 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.244 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.092 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.103 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.083 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.094 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.168 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.090 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.165 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.161 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.191 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.143 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.070 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.173 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.157 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.068 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.071 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.084 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.155 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.082 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.079 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.229 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39894ms
rtt min/avg/max/mdev = 0.067/0.123/0.244/0.048 ms
