ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7242803884223,1288127192380,664762496319
0.00,1,7242802996010,0,64171
0.00,2,7242803105915,0,64171
0.00,3,7242803215562,0,64171
1.00,0,7243805100317,1288127192380,665297214047
1.00,1,7243804213105,0,64171
1.00,2,7243804321793,0,64171
1.00,3,7243804430631,0,64171
2.00,0,7244805986701,1288682045790,667591785955
2.00,1,7244806100540,0,64171
2.00,2,7244806212771,0,64171
2.00,3,7244806323003,0,64171
3.00,0,7245807465790,1294361562884,668706950321
3.00,1,7245806577615,0,64171
3.00,2,7245806687290,0,64171
3.00,3,7245806796293,0,64171
4.00,0,7246808256470,1299673945008,669917635561
4.00,1,7246808366756,0,64171
4.00,2,7246808475403,0,64171
4.00,3,7246808583063,0,64171
5.01,0,7247809480149,1305064396316,671097450341
5.01,1,7247809591781,0,64171
5.01,2,7247809701642,0,64171
5.01,3,7247809811373,0,64171
6.01,0,7248810338886,1310499044516,672290406711
6.01,1,7248810449966,0,64171
6.01,2,7248810559719,0,64171
6.01,3,7248810669406,0,64171
7.01,0,7249811133544,1315775426720,673591008411
7.01,1,7249811245552,0,64171
7.01,2,7249811355446,0,64171
7.01,3,7249811464977,0,64171
8.01,0,7250812638538,1321101394358,674831510367
8.01,1,7250812749691,0,64171
8.01,2,7250812858529,0,64171
8.01,3,7250812967345,0,64171
9.01,0,7251813726862,1326541334802,675974210951
9.01,1,7251813833119,0,64171
9.01,2,7251813937908,0,64171
9.01,3,7251814042674,0,64171
10.01,0,7252815038090,1331839843520,677190607097
10.01,1,7252815148685,0,64171
10.01,2,7252815257396,0,64171
10.01,3,7252815366536,0,64171
11.01,0,7253815950425,1337793682890,678359649865
11.01,1,7253816062739,0,64171
11.01,2,7253816172162,0,64171
11.01,3,7253816281844,0,64171
12.01,0,7254817679074,1343932317402,679552742523
12.01,1,7254817797199,0,64171
12.01,2,7254817914909,0,64171
12.01,3,7254817022953,0,64171
13.02,0,7255818745272,1349996055906,680806249837
13.02,1,7255818854734,0,64171
13.02,2,7255818962581,0,64171
13.02,3,7255819070317,0,64171
14.02,0,7256819344012,1355937402806,682109641937
14.02,1,7256819453419,0,64171
14.02,2,7256819561201,0,64171
14.02,3,7256819668978,0,64171
15.02,0,7257820628339,1361966087250,683232853134
15.02,1,7257820739003,0,64732
15.02,2,7257820847089,0,64732
15.02,3,7257820955211,0,64732
16.02,0,7258821956187,1368072696940,684396039750
16.02,1,7258822065627,0,64732
16.02,2,7258822173189,0,64732
16.02,3,7258822281234,0,64732
17.02,0,7259822794687,1374151335876,685557892532
17.02,1,7259822905934,0,64732
17.02,2,7259823015288,0,64732
17.02,3,7259823127059,0,64732
18.02,0,7260824652750,1380282099194,686692158622
18.02,1,7260824764557,0,64732
18.02,2,7260824874509,0,64732
18.02,3,7260823983916,0,64732
19.02,0,7261825651872,1386400533584,687741977016
19.02,1,7261825763227,0,64732
19.02,2,7261825872905,0,64732
19.02,3,7261825982559,0,64732
20.02,0,7262826842995,1392541893244,688835463614
20.02,1,7262826953369,0,64732
20.02,2,7262827061459,0,64732
20.02,3,7262827169112,0,64732
21.02,0,7263827886450,1398598650134,689910580850
21.02,1,7263827999025,0,64732
21.02,2,7263828110371,0,64732
21.02,3,7263828220676,0,64732
22.03,0,7264828690732,1404713361580,690955490758
22.03,1,7264828800684,0,64732
22.03,2,7264828908071,0,64732
22.03,3,7264829016568,0,64732
23.03,0,7265830209268,1410877334846,692020661014
23.03,1,7265830319047,0,64732
23.03,2,7265830428826,0,64732
23.03,3,7265830538612,0,64732
24.03,0,7266831071976,1416944396988,693092105286
24.03,1,7266831181879,0,64732
24.03,2,7266831290066,0,64732
24.03,3,7266831398277,0,64732
25.03,0,7267833136558,1423071943866,694216550156
25.03,1,7267832248357,0,64732
25.03,2,7267832356044,0,64732
25.03,3,7267832463734,0,64732
26.03,0,7268833508578,1429142246268,695365429374
26.03,1,7268833619540,0,64732
26.03,2,7268833726818,0,64732
26.03,3,7268833833870,0,64732
27.03,0,7269835463224,1435248006364,696520626612
27.03,1,7269834573740,0,64732
27.03,2,7269834683314,0,64732
27.03,3,7269834792704,0,64732
28.03,0,7270836178865,1441356501346,697716444470
28.03,1,7270836289609,0,64732
28.03,2,7270836398943,0,64732
28.03,3,7270836508107,0,64732
29.03,0,7271837365854,1447366532134,698978321176
29.03,1,7271837474830,0,64732
29.03,2,7271837582036,0,64732
29.03,3,7271837689277,0,64732
30.04,0,7272838979869,1453390225258,700239855718
30.04,1,7272839090986,0,64732
30.04,2,7272838201543,0,64732
30.04,3,7272838311363,0,64732
31.04,0,7273839779539,1459542979936,701404768294
31.04,1,7273839891297,0,64732
31.04,2,7273840002018,0,64732
31.04,3,7273840112583,0,64732
32.04,0,7274840653019,1465717855782,702560908754
32.04,1,7274840764323,0,64732
32.04,2,7274840873478,0,64732
32.04,3,7274840982942,0,64732
33.04,0,7275842102528,1471747342180,703800023984
33.04,1,7275842210936,0,64732
33.04,2,7275842317953,0,64732
33.04,3,7275842424960,0,64732
34.04,0,7276843301094,1477642392548,705063949132
34.04,1,7276843411513,0,64732
34.04,2,7276843520013,0,64732
34.04,3,7276843628388,0,64732
35.04,0,7277844372115,1483651328096,706341993844
35.04,1,7277844481978,0,64732
35.04,2,7277844589538,0,64732
35.04,3,7277844697306,0,64732
36.04,0,7278845526866,1489646508288,707610320190
36.04,1,7278845636652,0,64732
36.04,2,7278845744506,0,64732
36.04,3,7278845852005,0,64732
37.04,0,7279846435295,1495606487108,708855671586
37.04,1,7279846546545,0,64732
37.04,2,7279846655920,0,64732
37.04,3,7279846765209,0,64732
38.04,0,7280847852352,1501562446548,710153579978
38.04,1,7280847965279,0,64732
38.04,2,7280848076850,0,64732
38.04,3,7280848187600,0,64732
39.05,0,7281849143613,1507630026030,711355101074
39.05,1,7281849255422,0,64732
39.05,2,7281849365265,0,64732
39.05,3,7281849474898,0,64732
40.05,0,7282850247681,1513684510192,712587351828
40.05,1,7282850359885,0,64732
40.05,2,7282850469710,0,64732
40.05,3,7282849578534,0,64732
41.05,0,7283851452817,1519578058424,713904813530
41.05,1,7283851564413,0,64732
41.05,2,7283850673666,0,64732
41.05,3,7283850783874,0,64732
42.05,0,7284852421864,1525630397630,715139618558
42.05,1,7284852533567,0,64732
42.05,2,7284852643556,0,64732
42.05,3,7284852753301,0,64732
43.05,0,7285852895235,1531702672934,716358942780
43.05,1,7285853006171,0,64732
43.05,2,7285853115123,0,64732
43.05,3,7285853224170,0,64732
44.05,0,7286854944618,1537822394062,717516542736
44.05,1,7286854055245,0,64732
44.05,2,7286854164321,0,64732
44.05,3,7286854273562,0,64732
45.05,0,7287856057905,1543944856568,718685005931
45.05,1,7287856174819,0,64969
45.05,2,7287855274578,0,64969
45.05,3,7287855388542,0,64969
46.05,0,7288856412309,1550031513898,719828195635
46.05,1,7288856524122,0,64969
46.05,2,7288856633838,0,64969
46.05,3,7288856743459,0,64969
47.05,0,7289857665668,1556143915780,720974755503
47.05,1,7289857776122,0,64969
47.05,2,7289857885081,0,64969
47.05,3,7289857993741,0,64969
48.06,0,7290858877612,1562279057942,722132216171
48.06,1,7290858987278,0,64969
48.06,2,7290859095795,0,64969
48.06,3,7290859204575,0,64969
49.06,0,7291860030744,1568400910056,723278877477
49.06,1,7291860141277,0,64969
49.06,2,7291860249217,0,64969
49.06,3,7291860357867,0,64969
50.06,0,7292861061674,1574496210222,724504763375
50.06,1,7292861171600,0,64969
