PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.12 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.756 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=2.65 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.22 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=5.30 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=4.03 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=4.72 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=4.90 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=3.71 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=5.48 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=5.92 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=4.37 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=3.94 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=6.28 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=2.94 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=6.75 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=3.82 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=4.76 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=4.52 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=3.50 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=4.76 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=1.85 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.151 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=4.21 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=6.29 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=3.57 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=3.40 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=5.87 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=4.03 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=5.02 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=3.69 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=5.16 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=6.66 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=4.85 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=4.26 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=6.15 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=3.36 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=5.91 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=3.37 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 39 received, 2.5% packet loss, time 39098ms
rtt min/avg/max/mdev = 0.151/4.235/6.747/1.516 ms
