PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.282 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.094 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.143 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.091 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.140 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.170 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.179 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.130 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.138 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.104 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.102 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.107 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.197 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.190 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.241 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.100 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.173 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.099 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.126 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.140 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.103 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.090 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.138 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.094 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.214 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.118 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.139 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.181 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.101 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.150 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.085 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.268 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.099 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.406 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.102 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.114 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.087 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.123 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.125 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39894ms
rtt min/avg/max/mdev = 0.085/0.145/0.406/0.063 ms
