PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.66 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=2.78 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=1.04 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.24 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.718 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=2.68 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=2.72 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.666 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=3.39 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=1.59 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.836 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=1.41 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=2.14 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=1.57 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=4.34 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=5.62 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=6.50 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=3.70 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=6.19 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=3.67 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=3.74 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=6.19 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=5.59 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.436 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=1.33 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=1.08 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=6.04 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=5.04 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=4.32 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=1.36 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=4.80 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=6.17 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=6.73 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=3.20 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=6.14 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=5.99 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=3.67 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=3.58 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 38 received, 5% packet loss, time 39128ms
rtt min/avg/max/mdev = 0.436/3.469/6.725/1.962 ms
