ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7398147133092,1647798908440,736437253651
0.00,1,7398147242302,0,66328
0.00,2,7398146350722,0,66328
0.00,3,7398146457901,0,66328
1.00,0,7399148069611,1647798908440,736437256019
1.00,1,7399148179524,0,66328
1.00,2,7399148287499,0,66328
1.00,3,7399148395308,0,66328
2.00,0,7400148709243,1647798908440,738813807739
2.00,1,7400148820180,0,66328
2.00,2,7400148929495,0,66328
2.00,3,7400149038565,0,66328
3.00,0,7401150122449,1651162893290,740198393623
3.00,1,7401150233629,0,66328
3.00,2,7401150343071,0,66328
3.00,3,7401150452822,0,66328
4.00,0,7402151255023,1654889777010,741464305041
4.00,1,7402151366418,0,66328
4.00,2,7402151476192,0,66328
4.00,3,7402151585787,0,66328
5.01,0,7403153094171,1658583576342,742755921151
5.01,1,7403153205687,0,66328
5.01,2,7403152317050,0,66328
5.01,3,7403152427298,0,66328
6.01,0,7404153552284,1662300230630,744025323853
6.01,1,7404153662345,0,66328
6.01,2,7404153770611,0,66328
6.01,3,7404153878968,0,66328
7.01,0,7405154526585,1666234390140,745066569939
7.01,1,7405154637522,0,66328
7.01,2,7405154750013,0,66328
7.01,3,7405154862582,0,66328
8.01,0,7406155955137,1670122706588,746167487151
8.01,1,7406156066738,0,66328
8.01,2,7406156176400,0,66328
8.01,3,7406156285856,0,66328
9.01,0,7407157478113,1674011883418,747265882039
9.01,1,7407157588613,0,66328
9.01,2,7407157697386,0,66328
9.01,3,7407157806218,0,66328
10.01,0,7408158862696,1677908990984,748365429416
10.01,1,7408158977295,0,66565
10.01,2,7408158080865,0,66565
10.01,3,7408158190342,0,66565
11.01,0,7409160000069,1681744324864,749523616804
11.01,1,7409160111437,0,66565
11.01,2,7409159223463,0,66565
11.01,3,7409159332833,0,66565
12.01,0,7410161131387,1685571366460,750686609628
12.01,1,7410161247989,0,66565
12.01,2,7410160358393,0,66565
12.01,3,7410160470110,0,66565
13.02,0,7411162392839,1689407382096,751838235340
13.02,1,7411162502728,0,66565
13.02,2,7411161608853,0,66565
13.02,3,7411161716395,0,66565
14.02,0,7412163551447,1693238463806,752988044252
14.02,1,7412163662951,0,66565
14.02,2,7412162772920,0,66565
14.02,3,7412162882728,0,66565
15.02,0,7413164592569,1697110436130,754107003900
15.02,1,7413164704785,0,66565
15.02,2,7413164814568,0,66565
15.02,3,7413163923427,0,66565
16.02,0,7414165171583,1700955707142,755245133816
16.02,1,7414165285643,0,66565
16.02,2,7414165399903,0,66565
16.02,3,7414165512552,0,66565
17.02,0,7415167008183,1704811036614,756376667234
17.02,1,7415167119902,0,66565
17.02,2,7415166229138,0,66565
17.02,3,7415166339835,0,66565
18.02,0,7416166988034,1708631093430,757539305782
18.02,1,7416167098775,0,66565
18.02,2,7416167208126,0,66565
18.02,3,7416167318145,0,66565
19.02,0,7417168497825,1712450631760,758705845908
19.02,1,7417168608856,0,66565
19.02,2,7417168718329,0,66565
19.02,3,7417168827714,0,66565
20.02,0,7418170000894,1716279356330,759870664616
20.02,1,7418170111973,0,66565
20.02,2,7418170221953,0,66565
20.02,3,7418169331637,0,66565
21.02,0,7419170542310,1720105542938,761021721064
21.02,1,7419170653635,0,66565
21.02,2,7419170763183,0,66565
21.02,3,7419170873025,0,66565
22.03,0,7420172658239,1723854205866,762265193488
22.03,1,7420171766684,0,66565
22.03,2,7420171874411,0,66565
22.03,3,7420171982333,0,66565
23.03,0,7421173773835,1727650317896,763454940206
23.03,1,7421172885826,0,66565
23.03,2,7421172995377,0,66565
23.03,3,7421173104980,0,66565
24.03,0,7422174536557,1731515718780,764570909704
24.03,1,7422174647878,0,66565
24.03,2,7422174757650,0,66565
24.03,3,7422174867430,0,66565
25.03,0,7423176046076,1735339166238,765734844236
25.03,1,7423176156533,0,66565
25.03,2,7423175262842,0,66565
25.03,3,7423175369993,0,66565
26.03,0,7424177351788,1739166035796,766895915794
26.03,1,7424176463659,0,66565
26.03,2,7424176572989,0,66565
26.03,3,7424176682291,0,66565
27.03,0,7425178433912,1742996485442,768053308332
27.03,1,7425178545716,0,66565
27.03,2,7425177655400,0,66565
27.03,3,7425177764923,0,66565
28.03,0,7426178987390,1746828075804,769209678920
28.03,1,7426179096654,0,66565
