ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7471766974803,1877880025754,809335134234
0.00,1,7471767086177,0,67363
0.00,2,7471767196066,0,67363
0.00,3,7471767306029,0,67363
1.00,0,7472768203767,1877880025754,809976330660
1.00,1,7472768314007,0,67363
1.00,2,7472768422788,0,67363
1.00,3,7472768531838,0,67363
2.00,0,7473769176013,1878435922404,812276602246
2.00,1,7473769286812,0,67363
2.00,2,7473769396273,0,67363
2.00,3,7473769506109,0,67363
3.00,0,7474770059368,1879850504402,813682709072
3.00,1,7474770169163,0,67363
3.00,2,7474770279805,0,67363
3.00,3,7474770392085,0,67363
4.00,0,7475771782104,1881209386178,815044079704
4.00,1,7475771893176,0,67363
4.00,2,7475772002892,0,67363
4.00,3,7475772113386,0,67363
5.01,0,7476772718855,1882554339366,816412532828
5.01,1,7476772830113,0,67363
5.01,2,7476772939549,0,67363
5.01,3,7476773049206,0,67363
6.01,0,7477774083496,1883901411638,817782092686
6.01,1,7477774192805,0,67363
6.01,2,7477774300487,0,67363
6.01,3,7477774408815,0,67363
7.01,0,7478775094122,1885253728466,819145116606
7.01,1,7478775204644,0,67363
7.01,2,7478775312822,0,67363
7.01,3,7478775420585,0,67363
8.01,0,7479776426940,1886603090698,820509587910
8.01,1,7479776536913,0,67363
8.01,2,7479776644665,0,67363
8.01,3,7479776752203,0,67363
9.01,0,7480777639104,1887968388074,821863564166
9.01,1,7480777750949,0,67363
9.01,2,7480777861233,0,67363
9.01,3,7480777972224,0,67363
10.01,0,7481779007941,1889314177872,823235428430
10.01,1,7481779114304,0,67363
10.01,2,7481779219547,0,67363
10.01,3,7481778325801,0,67363
11.01,0,7482779480349,1890684909154,824581279146
11.01,1,7482779587259,0,67363
11.01,2,7482779692869,0,67363
11.01,3,7482779797925,0,67363
12.01,0,7483781416584,1892035777946,825949138880
12.01,1,7483781527914,0,67363
12.01,2,7483780639091,0,67363
12.01,3,7483780749316,0,67363
13.02,0,7484782078900,1893385757110,827312314200
13.02,1,7484782192554,0,67363
13.02,2,7484782302320,0,67363
13.02,3,7484782411489,0,67363
14.02,0,7485783271236,1894738091266,828675235266
14.02,1,7485783382885,0,67363
14.02,2,7485783492582,0,67363
14.02,3,7485783601921,0,67363
15.02,0,7486784630766,1896098006560,830037434154
15.02,1,7486784741990,0,67363
15.02,2,7486784851294,0,67363
15.02,3,7486784960631,0,67363
16.02,0,7487785567925,1897447869918,831403113728
16.02,1,7487785678934,0,67363
16.02,2,7487785788085,0,67363
16.02,3,7487785897411,0,67363
17.02,0,7488786652892,1898798471408,832769292922
17.02,1,7488786764193,0,67433
17.02,2,7488786874128,0,67433
17.02,3,7488786984009,0,67433
18.02,0,7489788151222,1900168567412,834118522886
18.02,1,7489788262366,0,67433
18.02,2,7489788371929,0,67433
18.02,3,7489788481568,0,67433
19.02,0,7490789812987,1901517481648,835484562792
19.02,1,7490789924252,0,67433
19.02,2,7490789032855,0,67433
19.02,3,7490789142749,0,67433
20.02,0,7491790443850,1902876538724,836841933534
20.02,1,7491790556992,0,67433
20.02,2,7491790666459,0,67433
20.02,3,7491790775639,0,67433
21.02,0,7492791484990,1904226004924,838210274720
21.02,1,7492791597331,0,67433
21.02,2,7492791707365,0,67433
21.02,3,7492791816716,0,67433
22.03,0,7493793182612,1905584635596,839570087544
22.03,1,7493793293545,0,67433
22.03,2,7493793402931,0,67433
22.03,3,7493792516361,0,67433
23.03,0,7494794152260,1906940942670,840928036634
23.03,1,7494794263525,0,67433
23.03,2,7494794371282,0,67433
23.03,3,7494794479036,0,67433
24.03,0,7495794901125,1908290217292,842293926654
24.03,1,7495795011243,0,67433
24.03,2,7495795119485,0,67433
24.03,3,7495795227462,0,67433
25.03,0,7496796470216,1909639921548,843660210314
25.03,1,7496796585665,0,67433
25.03,2,7496796700500,0,67433
25.03,3,7496796811177,0,67433
26.03,0,7497797388862,1910992423494,845020804599
26.03,1,7497797502353,0,67670
26.03,2,7497797612885,0,67670
26.03,3,7497797722409,0,67670
27.03,0,7498798598814,1912346781422,846386344885
27.03,1,7498798717612,0,67670
27.03,2,7498798837718,0,67670
27.03,3,7498798955525,0,67670
28.03,0,7499800312262,1913696645878,847753841259
28.03,1,7499800424296,0,67670
28.03,2,7499800534350,0,67670
28.03,3,7499799652738,0,67670
29.03,0,7500801536664,1915046518974,849122900081
29.03,1,7500801647903,0,67670
29.03,2,7500801757312,0,67670
29.03,3,7500800870400,0,67670
30.04,0,7501802475144,1916403953796,850479522907
30.04,1,7501802586809,0,67670
30.04,2,7501802696669,0,67670
30.04,3,7501802806707,0,67670
31.04,0,7502803617474,1917760532532,851839193415
31.04,1,7502803727285,0,67670
31.04,2,7502803835216,0,67670
31.04,3,7502803943171,0,67670
