PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=2.00 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=6.16 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.88 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.415 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=1.74 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=1.93 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=1.43 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.823 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=2.81 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=3.84 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=1.52 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.405 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=2.89 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=1.94 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=1.61 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=5.99 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.333 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=2.54 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.817 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=1.08 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=7.33 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=6.98 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=5.74 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=3.72 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=2.22 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=3.57 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=5.29 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=2.92 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=3.59 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=7.51 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=1.27 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=1.85 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=2.70 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.988 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=2.00 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=2.29 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.541 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 37 received, 7.5% packet loss, time 39218ms
rtt min/avg/max/mdev = 0.333/2.801/7.514/2.007 ms
