ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7543675782485,1961735556594,892197045375
0.00,1,7543675891414,0,68231
0.00,2,7543674998937,0,68231
0.00,3,7543675106268,0,68231
1.00,0,7544676784029,1961735556594,893337509237
1.00,1,7544676895309,0,68231
1.00,2,7544677005354,0,68231
1.00,3,7544677114651,0,68231
2.00,0,7545678069875,1963498970490,895410122479
2.00,1,7545678181576,0,68231
2.00,2,7545678291719,0,68231
2.00,3,7545678401911,0,68231
3.00,0,7546679345989,1969582164620,896554099225
3.00,1,7546679458487,0,68231
3.00,2,7546679569092,0,68231
3.00,3,7546679679228,0,68231
4.01,0,7547680610516,1975620878342,897790210581
4.01,1,7547680722123,0,68231
4.01,2,7547680831662,0,68231
4.01,3,7547680941397,0,68231
5.01,0,7548682545817,1981559206776,899061690491
5.01,1,7548682656174,0,68231
5.01,2,7548681765996,0,68231
5.01,3,7548681874495,0,68231
6.01,0,7549684029803,1987483165150,900355887971
6.01,1,7549683144177,0,68231
6.01,2,7549683252497,0,68231
6.01,3,7549683360463,0,68231
7.01,0,7550685364207,1993464932980,901519003331
7.01,1,7550685476394,0,68231
7.01,2,7550684587671,0,68231
7.01,3,7550684697722,0,68231
8.01,0,7551686234508,1999381799344,902698197371
8.01,1,7551686345426,0,68231
8.01,2,7551686454574,0,68231
8.01,3,7551686563686,0,68231
9.01,0,7552687234749,2005348711136,903942183041
9.01,1,7552687345449,0,68231
9.01,2,7552687454343,0,68231
9.01,3,7552687563393,0,68231
10.01,0,7553688481043,2011233953050,905230725829
10.01,1,7553688592759,0,68231
10.01,2,7553688704942,0,68231
10.01,3,7553688817091,0,68231
11.01,0,7554690299540,2017191773962,906510269401
11.01,1,7554690412520,0,68231
11.01,2,7554690524964,0,68231
11.01,3,7554690638503,0,68231
12.02,0,7555691329257,2023164732296,907791169517
12.02,1,7555691443338,0,68231
12.02,2,7555691557517,0,68231
12.02,3,7555691670093,0,68231
13.02,0,7556692645827,2029218133152,908891416125
13.02,1,7556692759910,0,68231
13.02,2,7556692872547,0,68231
13.02,3,7556692984688,0,68231
14.02,0,7557694038219,2035243841408,910028097380
14.02,1,7557694151837,0,68468
14.02,2,7557694264531,0,68468
14.02,3,7557694376454,0,68468
15.02,0,7558695540633,2040923618166,911152378738
15.02,1,7558695655064,0,68468
15.02,2,7558695766630,0,68468
15.02,3,7558694871527,0,68468
16.02,0,7559695543131,2046797087428,912272027256
16.02,1,7559695656348,0,68468
16.02,2,7559695767916,0,68468
16.02,3,7559695876899,0,68468
17.02,0,7560697512840,2052951645134,913390108784
17.02,1,7560697626810,0,68468
17.02,2,7560697737034,0,68468
17.02,3,7560696854286,0,68468
18.02,0,7561698844623,2059013646644,914557268136
18.02,1,7561698957816,0,68468
18.02,2,7561698069663,0,68468
18.02,3,7561698181191,0,68468
19.02,0,7562699127459,2065113421920,915772707336
19.02,1,7562699241095,0,68468
19.02,2,7562699353851,0,68468
19.02,3,7562699466269,0,68468
20.03,0,7563700307138,2071158428880,917011515224
20.03,1,7563700419955,0,68468
20.03,2,7563700530938,0,68468
20.03,3,7563700641776,0,68468
21.03,0,7564702006303,2077122067904,918333169192
21.03,1,7564702121408,0,68468
21.03,2,7564702234606,0,68468
21.03,3,7564702343360,0,68468
22.03,0,7565703398621,2083226357290,919532101348
22.03,1,7565703512285,0,68468
22.03,2,7565703622034,0,68468
22.03,3,7565703730694,0,68468
23.03,0,7566705608734,2089167832964,920692493120
23.03,1,7566704725576,0,68468
23.03,2,7566704836099,0,68468
23.03,3,7566704948041,0,68468
24.03,0,7567706297330,2095300264028,921808190098
24.03,1,7567706410335,0,68468
24.03,2,7567706521955,0,68468
24.03,3,7567706633665,0,68468
25.03,0,7568707956427,2101360782846,922872925836
25.03,1,7568707086723,0,68468
25.03,2,7568707222497,0,68468
25.03,3,7568707357615,0,68468
26.03,0,7569708759979,2107215773800,924077762592
26.03,1,7569708905103,0,68468
26.03,2,7569709032425,0,68468
26.03,3,7569709164755,0,68468
27.03,0,7570709932416,2113243301314,925268136106
27.03,1,7570710216157,0,68468
27.03,2,7570710506660,0,68468
27.03,3,7570709323057,0,68468
28.04,0,7571711431816,2119307827706,926372313058
28.04,1,7571711558221,0,68468
28.04,2,7571711689491,0,68468
28.04,3,7571710835107,0,68468
29.04,0,7572713248694,2125477636460,927362446446
29.04,1,7572712342683,0,68468
29.04,2,7572712452861,0,68468
29.04,3,7572712562172,0,68468
30.04,0,7573714158767,2131410928146,928516636874
30.04,1,7573714270480,0,68468
30.04,2,7573714380027,0,68468
30.04,3,7573714490241,0,68468
31.04,0,7574715112780,2136948818690,929683227118
31.04,1,7574715224676,0,68468
31.04,2,7574715337146,0,68468
31.04,3,7574715451243,0,68468
32.04,0,7575716706857,2142922221854,930816160986
32.04,1,7575716818142,0,68468
32.04,2,7575716927369,0,68468
32.04,3,7575717036143,0,68468
33.04,0,7576718134838,2149014194102,931999638282
33.04,1,7576718245802,0,68792
33.04,2,7576718355303,0,68792
33.04,3,7576718463923,0,68792
34.04,0,7577719679792,2155019878538,933308653378
34.04,1,7577719794823,0,68792
34.04,2,7577719905924,0,68792
34.04,3,7577720016181,0,68792
35.05,0,7578720893661,2160925815320,934536092640
35.05,1,7578721007065,0,68792
35.05,2,7578721120930,0,68792
35.05,3,7578721234082,0,68792
36.05,0,7579721751424,2166887743302,935707724348
36.05,1,7579721864851,0,68792
36.05,2,7579721973702,0,68792
36.05,3,7579722084683,0,68792
37.05,0,7580723095644,2172945488346,936855714946
37.05,1,7580723205884,0,68792
37.05,2,7580723314387,0,68792
37.05,3,7580723423325,0,68792
38.05,0,7581726119471,2179047069896,938024621454
38.05,1,7581725231355,0,68792
38.05,2,7581725341252,0,68792
38.05,3,7581725451167,0,68792
39.05,0,7582728325378,2185120790022,939196253162
39.05,1,7582727434613,0,68792
39.05,2,7582727542967,0,68792
39.05,3,7582727652368,0,68792
40.05,0,7583729374382,2191114603312,940357733500
40.05,1,7583729486265,0,68792
40.05,2,7583728600191,0,68792
40.05,3,7583728710566,0,68792
41.05,0,7584730593753,2197065410118,941512809618
41.05,1,7584730712835,0,68792
41.05,2,7584730830223,0,68792
41.05,3,7584730942636,0,68792
42.06,0,7585731876132,2203195360694,942631372598
42.06,1,7585731990087,0,68792
42.06,2,7585731095702,0,68792
42.06,3,7585731204365,0,68792
43.06,0,7586733820086,2209234168518,943860774004
