PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.216 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.153 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.265 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.141 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.154 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.158 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.142 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.193 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.150 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.141 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.133 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.156 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.126 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.129 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.136 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.150 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.434 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.149 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.110 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.274 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.098 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.093 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.109 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.147 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.128 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.135 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.136 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.129 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.145 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.106 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.116 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.142 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.146 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.140 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.125 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.126 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.125 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39881ms
rtt min/avg/max/mdev = 0.093/0.150/0.434/0.058 ms
