PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.208 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.156 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.163 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.397 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.616 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.152 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.151 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.137 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.154 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.155 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.124 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.108 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.160 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.409 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.143 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.102 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.133 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.261 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.185 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.144 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.076 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.098 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.164 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.347 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.097 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.161 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.146 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.194 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.188 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.165 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.128 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.107 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.123 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.139 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.133 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.156 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.130 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.156 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.246 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.122 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39934ms
rtt min/avg/max/mdev = 0.076/0.178/0.616/0.100 ms
