ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7808991759678,2323222493810,965267537939
0.00,1,7808990870233,0,71660
0.00,2,7808990978017,0,71660
0.00,3,7808991085497,0,71660
1.00,0,7809991862873,2323222493810,966082890501
1.00,1,7809991972361,0,71660
1.00,2,7809992080457,0,71660
1.00,3,7809992186424,0,71660
2.00,0,7810993319066,2323583757770,968455865205
2.00,1,7810993429252,0,71660
2.00,2,7810993537393,0,71660
2.00,3,7810993645306,0,71660
3.00,0,7811995540825,2325006009248,969868148817
3.00,1,7811994652519,0,71660
3.00,2,7811994762075,0,71660
3.00,3,7811994869748,0,71660
4.01,0,7812998608134,2326348787486,971297069587
4.01,1,7812997719812,0,71660
4.01,2,7812997829607,0,71660
4.01,3,7812997937526,0,71660
5.01,0,7814000006886,2327691481178,972729243943
5.01,1,7814000117415,0,71660
5.01,2,7814000226235,0,71660
5.01,3,7813999332473,0,71660
6.01,0,7815001808867,2329028023874,974158481295
6.01,1,7815000920396,0,71660
6.01,2,7815001029996,0,71660
6.01,3,7815001139629,0,71660
7.01,0,7816003888916,2330368273418,975589515609
7.01,1,7816003998576,0,71660
7.01,2,7816004106734,0,71660
7.01,3,7816004214551,0,71660
8.02,0,7817007488209,2331715842230,977016054857
8.02,1,7817007602295,0,71660
8.02,2,7817007714573,0,71660
8.02,3,7817007824701,0,71660
9.02,0,7818008994615,2333055503246,978442279193
9.02,1,7818009104334,0,71660
9.02,2,7818009212302,0,71660
9.02,3,7818009320216,0,71660
10.02,0,7819011173711,2334405376760,979862685325
10.02,1,7819011285338,0,71660
10.02,2,7819011395593,0,71660
10.02,3,7819011505914,0,71660
11.02,0,7820012773486,2335752214304,981283065719
11.02,1,7820012883352,0,71660
11.02,2,7820012991326,0,71660
11.02,3,7820013098997,0,71660
12.02,0,7821013489165,2337102232754,982687670233
12.02,1,7821013598876,0,71660
12.02,2,7821013707350,0,71660
12.02,3,7821013815636,0,71660
13.02,0,7822015052344,2338442388968,984118339673
13.02,1,7822015162348,0,71660
13.02,2,7822015271258,0,71660
13.02,3,7822015379707,0,71660
14.02,0,7823015700576,2339804206526,985526523283
14.02,1,7823015811473,0,71660
14.02,2,7823015920938,0,71660
14.02,3,7823016031296,0,71660
15.03,0,7824017808523,2341156532972,986937430579
15.03,1,7824016921165,0,71660
15.03,2,7824017029984,0,71660
15.03,3,7824017139197,0,71660
16.03,0,7825018539733,2342514646976,988333287201
16.03,1,7825018673401,0,71660
16.03,2,7825018803591,0,71660
16.03,3,7825018931169,0,71660
17.03,0,7826019501263,2343874817534,989740824333
17.03,1,7826019611265,0,71660
17.03,2,7826019719513,0,71660
17.03,3,7826019827562,0,71660
18.03,0,7827020712565,2345223318548,991157932973
18.03,1,7827020822975,0,71660
18.03,2,7827020931109,0,71660
18.03,3,7827021041829,0,71660
19.03,0,7828021757953,2346573531344,992571376456
19.03,1,7828021894011,0,71897
19.03,2,7828022034480,0,71897
19.03,3,7828022167215,0,71897
20.03,0,7829023296805,2347924837748,993987635742
20.03,1,7829023409068,0,71897
20.03,2,7829023519145,0,71897
20.03,3,7829022630217,0,71897
21.03,0,7830023919820,2349272518556,995406950280
21.03,1,7830024033566,0,71897
21.03,2,7830024146796,0,71897
21.03,3,7830024259235,0,71897
22.03,0,7831025508028,2350625703638,996813955998
22.03,1,7831025615259,0,71897
22.03,2,7831025720794,0,71897
22.03,3,7831025826274,0,71897
23.28,0,7832028001834,2351976528020,998223939754
23.28,1,7832028115002,0,72221
23.28,2,7832027226836,0,72221
23.28,3,7832027338307,0,72221
24.29,0,7833030124382,2353322845112,999646415524
24.29,1,7833030235451,0,72221
24.29,2,7833030344940,0,72221
24.29,3,7833030454290,0,72221
25.29,0,7834031749471,2354667510812,1001055383386
25.29,1,7834031868934,0,72221
25.29,2,7834031991193,0,72221
25.29,3,7834032108635,0,72221
26.29,0,7835034450180,2356043617742,1002431950134
26.29,1,7835034561462,0,72221
26.29,2,7835034671407,0,72221
26.29,3,7835034781461,0,72221
27.29,0,7836036412415,2357392565642,1003847923274
27.29,1,7836036523686,0,72221
27.29,2,7836036632613,0,72221
27.29,3,7836036743085,0,72221
28.29,0,7837038884596,2358741594794,1005264524724
28.29,1,7837038996043,0,72221
28.29,2,7837039105420,0,72221
28.29,3,7837039214471,0,72221
29.30,0,7838040357111,2360085729062,1006679993702
29.30,1,7838040470661,0,72221
29.30,2,7838040582128,0,72221
29.30,3,7838040692071,0,72221
30.30,0,7839041965530,2361426381572,1008111674592
30.30,1,7839042075875,0,72221
30.30,2,7839042184457,0,72221
30.30,3,7839042292992,0,72221
31.30,0,7840042770687,2362776281438,1009532559148
31.30,1,7840042881558,0,72221
31.30,2,7840042990605,0,72221
31.30,3,7840043100305,0,72221
32.30,0,7841043181145,2364120841730,1010951348328
32.30,1,7841043290988,0,72221
32.30,2,7841043399749,0,72221
32.30,3,7841043508592,0,72221
33.30,0,7842044815762,2365457598536,1012378164736
33.30,1,7842044924806,0,72221
33.30,2,7842045037122,0,72221
33.30,3,7842045152038,0,72221
34.30,0,7843045394501,2366809728440,1013793335456
34.30,1,7843045505389,0,72221
34.30,2,7843045614429,0,72221
34.30,3,7843045723671,0,72221
35.30,0,7844046607264,2368145569514,1015220003492
35.30,1,7844046718183,0,72221
35.30,2,7844046826967,0,72221
35.30,3,7844046934724,0,72221
36.30,0,7845047934994,2369498396648,1016620747306
36.30,1,7845048047809,0,72221
36.30,2,7845048158849,0,72221
36.30,3,7845048268414,0,72221
37.30,0,7846049011459,2370856342658,1018017822750
37.30,1,7846049121664,0,72221
37.30,2,7846049229664,0,72221
37.30,3,7846049339978,0,72221
38.31,0,7847051034733,2372198394020,1019441499122
38.31,1,7847050146826,0,72221
38.31,2,7847050256783,0,72221
38.31,3,7847050367306,0,72221
39.31,0,7848051398508,2373545315012,1020862342800
39.31,1,7848051507469,0,72221
39.31,2,7848051615289,0,72221
39.31,3,7848051723511,0,72221
40.31,0,7849053013088,2374909270376,1022268138832
40.31,1,7849053124312,0,72221
40.31,2,7849053234275,0,72221
40.31,3,7849053344071,0,72221
41.31,0,7850054243207,2376263572124,1023685991002
41.31,1,7850054355149,0,72221
41.31,2,7850054466426,0,72221
41.31,3,7850054577392,0,72221
42.31,0,7851055611130,2377613674022,1025108942168
42.31,1,7851055724151,0,72221
42.31,2,7851054832339,0,72221
42.31,3,7851054942230,0,72221
43.31,0,7852056058694,2378961489884,1026526315758
43.31,1,7852056167895,0,72221
43.31,2,7852056275745,0,72221
43.31,3,7852056384426,0,72221
44.31,0,7853057687798,2380303193180,1027956855092
44.31,1,7853057798559,0,72221
44.31,2,7853057907944,0,72221
44.31,3,7853058017592,0,72221
45.31,0,7854059169210,2381646564338,1029378078784
45.31,1,7854059279087,0,72221
45.31,2,7854058389035,0,72221
45.31,3,7854058496890,0,72221
46.32,0,7855059500776,2382992378546,1030792012566
46.32,1,7855059607753,0,72221
46.32,2,7855059712608,0,72221
46.32,3,7855059817371,0,72221
47.32,0,7856061547690,2384353202414,1032198535318
47.32,1,7856060657995,0,72221
47.32,2,7856060765465,0,72221
47.32,3,7856060873002,0,72221
48.32,0,7857062145084,2385707397656,1033612640182
48.32,1,7857062254866,0,72221
48.32,2,7857062363678,0,72221
48.32,3,7857062472490,0,72221
49.32,0,7858063973332,2387061345848,1035025131359
49.32,1,7858063082739,0,72458
49.32,2,7858063192124,0,72458
49.32,3,7858063301790,0,72458
50.32,0,7859064426146,2388405678854,1036449218025
50.32,1,7859064536435,0,72458
50.32,2,7859064644184,0,72458
50.32,3,7859064752294,0,72458
51.32,0,7860065885050,2389758105218,1037876553637
51.32,1,7860065994764,0,72458
51.32,2,7860066102634,0,72458
51.32,3,7860066210528,0,72458
52.32,0,7861066555413,2391107616392,1039278284481
52.32,1,7861066666047,0,72458
52.32,2,7861066775211,0,72458
52.32,3,7861066884525,0,72458
53.32,0,7862068626675,2392467452060,1040682162177
53.32,1,7862067735338,0,72458
