PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.184 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.091 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.098 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.180 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.106 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.089 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.083 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.070 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.115 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.096 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.079 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.140 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.130 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.212 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.163 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.123 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.147 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.188 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.197 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.155 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.147 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.143 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.131 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.073 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.145 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.152 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.145 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.106 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.112 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.099 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.195 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.157 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.132 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.120 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.259 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.101 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39864ms
rtt min/avg/max/mdev = 0.070/0.133/0.259/0.040 ms
