ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7881803297982,2405765196104,1051399890372
0.00,1,7881803409669,0,72458
0.00,2,7881803519540,0,72458
0.00,3,7881803629220,0,72458
1.00,0,7882804297120,2405765196104,1051645944712
1.00,1,7882804406439,0,72458
1.00,2,7882804514170,0,72458
1.00,3,7882804622453,0,72458
2.00,0,7883805708287,2405765196104,1054113959320
2.00,1,7883805818671,0,72458
2.00,2,7883805927444,0,72458
2.00,3,7883806035877,0,72458
3.00,0,7884806331248,2407326443402,1055604127312
3.00,1,7884806442835,0,72458
3.00,2,7884806552339,0,72458
3.00,3,7884806661586,0,72458
4.00,0,7885807584397,2408673060248,1057025643108
4.00,1,7885807691297,0,72458
4.00,2,7885807796126,0,72458
4.00,3,7885807901106,0,72458
5.01,0,7886808935413,2410011442094,1058442259600
5.01,1,7886809046173,0,72458
5.01,2,7886809155617,0,72458
5.01,3,7886809265244,0,72458
6.01,0,7887810712178,2411362444352,1059845922545
6.01,1,7887809823618,0,72695
6.01,2,7887809933185,0,72695
6.01,3,7887810042687,0,72695
7.01,0,7888811527863,2412719506472,1061248192373
7.01,1,7888811637651,0,72695
7.01,2,7888811745694,0,72695
7.01,3,7888811853820,0,72695
8.01,0,7889811907277,2414071841702,1062652347131
8.01,1,7889812019636,0,72695
8.01,2,7889812130439,0,72695
8.01,3,7889812240283,0,72695
9.01,0,7890813213473,2415430187384,1064036886505
9.01,1,7890813327989,0,72695
9.01,2,7890813439493,0,72695
9.01,3,7890813551216,0,72695
10.01,0,7891815050730,2416780927220,1065428671981
10.01,1,7891815160882,0,72695
10.01,2,7891815268703,0,72695
10.01,3,7891814380407,0,72695
11.01,0,7892815508033,2418124534448,1066834732963
11.01,1,7892815617930,0,72695
11.01,2,7892815728241,0,72695
11.01,3,7892815838314,0,72695
12.01,0,7893817640080,2419476664352,1068242860555
12.01,1,7893816751305,0,72695
12.01,2,7893816861003,0,72695
12.01,3,7893816970919,0,72695
13.02,0,7894818673084,2420827632572,1069651436193
13.02,1,7894818787807,0,72695
13.02,2,7894817906129,0,72695
13.02,3,7894818018905,0,72695
14.02,0,7895820038319,2422178408642,1071065536515
14.02,1,7895819147523,0,73019
14.02,2,7895819257227,0,73019
14.02,3,7895819367115,0,73019
15.02,0,7896821174416,2423534983250,1072464175869
15.02,1,7896820286953,0,73019
15.02,2,7896820396200,0,73019
15.02,3,7896820505912,0,73019
16.02,0,7897821613874,2424894029456,1073855566191
16.02,1,7897821726467,0,73019
16.02,2,7897821835662,0,73019
16.02,3,7897821944629,0,73019
17.02,0,7898822668320,2426250833546,1075260101061
17.02,1,7898822779453,0,73019
17.02,2,7898822889347,0,73019
17.02,3,7898822999290,0,73019
18.02,0,7899823532631,2427610590158,1076653745729
18.02,1,7899823646052,0,73019
18.02,2,7899823755650,0,73019
18.02,3,7899823864552,0,73019
19.02,0,7900824971103,2428971182348,1078059136009
19.02,1,7900825080242,0,73019
19.02,2,7900824189629,0,73019
19.02,3,7900824296775,0,73019
20.02,0,7901825578973,2430331815164,1079462314335
20.02,1,7901825690221,0,73019
20.02,2,7901825800024,0,73019
20.02,3,7901825909760,0,73019
21.02,0,7902826650522,2431683565160,1080878394969
21.02,1,7902826762088,0,73019
21.02,2,7902826871747,0,73019
21.02,3,7902826981565,0,73019
22.03,0,7903828215262,2433042543290,1082285936643
22.03,1,7903828325867,0,73019
22.03,2,7903828435009,0,73019
22.03,3,7903828544650,0,73019
23.03,0,7904828958046,2434409132756,1083683884099
23.03,1,7904829068200,0,73019
23.03,2,7904829176875,0,73019
23.03,3,7904829285866,0,73019
24.03,0,7905830868740,2435755233542,1085108750475
24.03,1,7905830975873,0,73019
24.03,2,7905830092918,0,73019
24.03,3,7905830198837,0,73019
25.03,0,7906831978341,2437124820548,1086494847853
25.03,1,7906832091236,0,73019
25.03,2,7906832201574,0,73019
25.03,3,7906831314967,0,73019
26.03,0,7907832503141,2438462897150,1087905381191
26.03,1,7907832610349,0,73019
26.03,2,7907832715254,0,73019
26.03,3,7907832820162,0,73019
27.03,0,7908834506174,2439810994100,1089324936455
27.03,1,7908833617406,0,73019
27.03,2,7908833726870,0,73019
27.03,3,7908833836383,0,73019
28.03,0,7909835125187,2441159113010,1090745931533
28.03,1,7909835236237,0,73019
28.03,2,7909835345354,0,73019
