PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=0.175 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.139 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.187 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.169 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.120 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.150 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.146 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.120 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.178 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.204 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.174 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.137 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.109 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.213 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.253 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.121 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.132 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.161 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.142 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.118 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.117 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.109 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.175 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.140 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.155 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.158 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.116 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.224 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.105 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=0.151 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=0.151 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=0.244 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=0.088 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=0.150 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=0.143 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=0.163 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=0.126 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39943ms
rtt min/avg/max/mdev = 0.088/0.150/0.253/0.037 ms
