ts,vport_idx,t_ns,rx_ib,rx_eth
0.00,0,7954433201305,2488764707024,1136857966671
0.00,1,7954433319203,0,73493
0.00,2,7954433432017,0,73493
0.00,3,7954433544207,0,73493
1.00,0,7955434450702,2488764707024,1137476741875
1.00,1,7955434590826,0,73493
1.00,2,7955434734564,0,73493
1.00,3,7955433828308,0,73493
2.00,0,7956433761392,2488764876116,1139933783335
2.00,1,7956432609803,0,73493
2.00,2,7956432810070,0,73493
2.00,3,7956433126188,0,73493
3.00,0,7957436767122,2492523298274,1141234354297
3.00,1,7957436877273,0,73493
3.00,2,7957436985563,0,73493
3.00,3,7957437093585,0,73493
4.00,0,7958438050961,2494536056348,1142603476609
4.00,1,7958438160776,0,73493
4.00,2,7958438269026,0,73493
4.00,3,7958438377111,0,73493
5.01,0,7959439343507,2495883022358,1144019505669
5.01,1,7959439455761,0,73817
5.01,2,7959439565026,0,73817
5.01,3,7959438671194,0,73817
6.01,0,7960440399645,2497234856900,1145417713435
6.01,1,7960440509238,0,73817
6.01,2,7960440617045,0,73817
6.01,3,7960440724490,0,73817
7.01,0,7961441910734,2498567720198,1146836428331
7.01,1,7961441015579,0,73817
7.01,2,7961441120721,0,73817
7.01,3,7961441226264,0,73817
8.01,0,7962442542484,2499905271956,1148244171269
8.01,1,7962442655630,0,73817
8.01,2,7962442766978,0,73817
8.01,3,7962442879103,0,73817
9.01,0,7963443802418,2501247474842,1149659965659
9.01,1,7963443914452,0,73817
9.01,2,7963444023764,0,73817
9.01,3,7963444135512,0,73817
10.01,0,7964444916143,2502594320072,1151073526997
10.01,1,7964445028563,0,73817
10.01,2,7964445139522,0,73817
10.01,3,7964445249390,0,73817
11.01,0,7965446433817,2503946426918,1152484414611
11.01,1,7965446546468,0,73817
11.01,2,7965446656443,0,73817
11.01,3,7965445762854,0,73817
12.01,0,7966446953140,2505295087142,1153900626865
12.01,1,7966447065949,0,73817
12.01,2,7966447178533,0,73817
12.01,3,7966447290582,0,73817
13.02,0,7967448680695,2506633517300,1155319364569
13.02,1,7967448795159,0,73817
13.02,2,7967448906102,0,73817
13.02,3,7967449016672,0,73817
14.02,0,7968448690432,2507987960690,1156717371071
14.02,1,7968448804209,0,73817
14.02,2,7968448916034,0,73817
14.02,3,7968449026021,0,73817
15.02,0,7969450026288,2509326332654,1158138578109
15.02,1,7969450138556,0,73817
15.02,2,7969450248819,0,73817
15.02,3,7969450358567,0,73817
16.02,0,7970451345353,2510675502350,1159550442253
16.02,1,7970451459719,0,73817
16.02,2,7970451571288,0,73817
16.02,3,7970451681345,0,73817
17.02,0,7971452107863,2512019759594,1160959411629
17.02,1,7971452220204,0,73817
17.02,2,7971452330918,0,73817
17.02,3,7971452442244,0,73817
18.02,0,7972453767650,2513361719822,1162370344663
18.02,1,7972453883252,0,73817
18.02,2,7972453997023,0,73817
18.02,3,7972454110595,0,73817
19.02,0,7973455266783,2514715742678,1163777083917
19.02,1,7973455380315,0,73817
19.02,2,7973454503945,0,73817
19.02,3,7973454618031,0,73817
20.02,0,7974456530487,2516070087248,1165185945799
20.02,1,7974455641769,0,73817
20.02,2,7974455752978,0,73817
20.02,3,7974455864231,0,73817
21.02,0,7975457208596,2517416227562,1166597520769
21.02,1,7975457321178,0,73817
21.02,2,7975457432136,0,73817
21.02,3,7975457548521,0,73817
22.03,0,7976458652405,2518758570992,1168013937511
22.03,1,7976458764229,0,73817
22.03,2,7976458874112,0,73817
22.03,3,7976457984284,0,73817
23.03,0,7977459446149,2520099392594,1169430118306
23.03,1,7977459559117,0,74054
23.03,2,7977459669172,0,74054
23.03,3,7977459778949,0,74054
24.03,0,7978460984559,2521447244690,1170840624392
24.03,1,7978461098047,0,74054
24.03,2,7978461208742,0,74054
24.03,3,7978460320010,0,74054
25.03,0,7979461680057,2522792127794,1172262252322
25.03,1,7979461791977,0,74054
25.03,2,7979461903149,0,74054
25.03,3,7979462013677,0,74054
26.03,0,7980462967407,2524141924448,1173673383690
26.03,1,7980463085301,0,74054
26.03,2,7980463191576,0,74054
26.03,3,7980463302727,0,74054
27.03,0,7981463250583,2525487831986,1175086053282
27.03,1,7981463367107,0,74054
27.03,2,7981463482514,0,74054
27.03,3,7981463599437,0,74054
28.03,0,7982464580046,2526826313750,1176495672164
28.03,1,7982464693924,0,74054
28.03,2,7982464805848,0,74054
28.03,3,7982464918065,0,74054
29.03,0,7983466525579,2528180030264,1177896715750
29.03,1,7983465638403,0,74054
29.03,2,7983465749312,0,74054
29.03,3,7983465859370,0,74054
30.03,0,7984467527168,2529521215304,1179317612418
30.03,1,7984467640528,0,74054
30.03,2,7984467750591,0,74054
30.03,3,7984466871961,0,74054
31.04,0,7985468790964,2530859202968,1180737555266
31.04,1,7985468901999,0,74054
31.04,2,7985468015073,0,74054
31.04,3,7985468125442,0,74054
32.04,0,7986469920424,2532197724260,1182159711582
32.04,1,7986470031237,0,74054
32.04,2,7986470139992,0,74054
32.04,3,7986469257338,0,74054
33.04,0,7987470813856,2533541196434,1183570216154
33.04,1,7987470926454,0,74054
33.04,2,7987471036726,0,74054
33.04,3,7987471147504,0,74054
34.04,0,7988470985940,2534880018578,1184984962954
34.04,1,7988471098213,0,74054
34.04,2,7988471208801,0,74054
34.04,3,7988471319540,0,74054
35.04,0,7989472244607,2536222532198,1186398456318
35.04,1,7989472357182,0,74054
35.04,2,7989472471051,0,74054
35.04,3,7989472585420,0,74054
36.04,0,7990473858723,2537560237676,1187812107034
36.04,1,7990473971899,0,74054
36.04,2,7990474081114,0,74054
36.04,3,7990474190208,0,74054
37.04,0,7991474905317,2538907463912,1189221515470
37.04,1,7991475016027,0,74054
37.04,2,7991475124734,0,74054
37.04,3,7991475234022,0,74054
38.04,0,7992476612889,2540254813124,1190642107824
38.04,1,7992475722140,0,74054
38.04,2,7992475828901,0,74054
38.04,3,7992475936373,0,74054
39.04,0,7993477072439,2541594118388,1192056489750
39.04,1,7993477182443,0,74054
39.04,2,7993477290762,0,74054
