h_pct,size,metric,x,value
4,,goodput_gbps,,176.28
4,4096,fct_cdf,3.7269,0.0010
4,4096,fct_cdf,4.1712,0.5010
4,4096,fct_cdf,4.2912,1.0010
4,4096,fct_cdf,4.3874,1.5010
4,4096,fct_cdf,4.4703,2.0011
4,4096,fct_cdf,4.5508,2.5011
4,4096,fct_cdf,4.6341,3.0011
4,4096,fct_cdf,4.7179,3.5011
4,4096,fct_cdf,4.8098,4.0011
4,4096,fct_cdf,4.8960,4.5011
4,4096,fct_cdf,4.9875,5.0012
4,4096,fct_cdf,5.0770,5.5012
4,4096,fct_cdf,5.1670,6.0012
4,4096,fct_cdf,5.2594,6.5012
4,4096,fct_cdf,5.3480,7.0012
4,4096,fct_cdf,5.4351,7.5012
4,4096,fct_cdf,5.5251,8.0012
4,4096,fct_cdf,5.6128,8.5013
4,4096,fct_cdf,5.6890,9.0013
4,4096,fct_cdf,5.7737,9.5013
4,4096,fct_cdf,5.8571,10.0013
4,4096,fct_cdf,5.9318,10.5013
4,4096,fct_cdf,6.0104,11.0013
4,4096,fct_cdf,6.0899,11.5013
4,4096,fct_cdf,6.1714,12.0014
4,4096,fct_cdf,6.2557,12.5014
4,4096,fct_cdf,6.3338,13.0004
4,4096,fct_cdf,6.4180,13.5004
4,4096,fct_cdf,6.5000,14.0004
4,4096,fct_cdf,6.5757,14.5004
4,4096,fct_cdf,6.6490,15.0005
4,4096,fct_cdf,6.7300,15.5005
4,4096,fct_cdf,6.8119,16.0005
4,4096,fct_cdf,6.8909,16.5005
4,4096,fct_cdf,6.9657,17.0005
4,4096,fct_cdf,7.0428,17.5005
4,4096,fct_cdf,7.1171,18.0005
4,4096,fct_cdf,7.1924,18.5006
4,4096,fct_cdf,7.2695,19.0006
4,4096,fct_cdf,7.3424,19.5006
4,4096,fct_cdf,7.4205,20.0006
4,4096,fct_cdf,7.4962,20.5006
4,4096,fct_cdf,7.5686,21.0006
4,4096,fct_cdf,7.6415,21.5006
4,4096,fct_cdf,7.7143,22.0007
4,4096,fct_cdf,7.7867,22.5007
4,4096,fct_cdf,7.8639,23.0007
4,4096,fct_cdf,7.9448,23.5007
4,4096,fct_cdf,8.0191,24.0007
4,4096,fct_cdf,8.0939,24.5007
4,4096,fct_cdf,8.1691,25.0008
4,4096,fct_cdf,8.2439,25.5008
4,4096,fct_cdf,8.3153,26.0008
4,4096,fct_cdf,8.3910,26.5008
4,4096,fct_cdf,8.4629,27.0008
4,4096,fct_cdf,8.5382,27.5008
4,4096,fct_cdf,8.6091,28.0008
4,4096,fct_cdf,8.6801,28.5009
4,4096,fct_cdf,8.7563,29.0009
4,4096,fct_cdf,8.8244,29.5009
4,4096,fct_cdf,8.8963,30.0009
4,4096,fct_cdf,8.9630,30.5009
4,4096,fct_cdf,9.0368,31.0009
4,4096,fct_cdf,9.1087,31.5009
4,4096,fct_cdf,9.1873,32.0010
4,4096,fct_cdf,9.2573,32.5010
4,4096,fct_cdf,9.3339,33.0010
4,4096,fct_cdf,9.4073,33.5010
4,4096,fct_cdf,9.4849,34.0010
4,4096,fct_cdf,9.5625,34.5010
4,4096,fct_cdf,9.6340,35.0011
4,4096,fct_cdf,9.7102,35.5011
4,4096,fct_cdf,9.7849,36.0011
4,4096,fct_cdf,9.8659,36.5011
4,4096,fct_cdf,9.9492,37.0011
4,4096,fct_cdf,10.0302,37.5001
4,4096,fct_cdf,10.1059,38.0001
4,4096,fct_cdf,10.1883,38.5002
4,4096,fct_cdf,10.2726,39.0002
4,4096,fct_cdf,10.3564,39.5002
4,4096,fct_cdf,10.4474,40.0002
4,4096,fct_cdf,10.5278,40.5002
4,4096,fct_cdf,10.6088,41.0002
4,4096,fct_cdf,10.6912,41.5002
4,4096,fct_cdf,10.7817,42.0003
4,4096,fct_cdf,10.8674,42.5003
4,4096,fct_cdf,10.9521,43.0003
4,4096,fct_cdf,11.0393,43.5003
4,4096,fct_cdf,11.1188,44.0003
4,4096,fct_cdf,11.2036,44.5003
4,4096,fct_cdf,11.2912,45.0004
4,4096,fct_cdf,11.3765,45.5004
4,4096,fct_cdf,11.4627,46.0004
4,4096,fct_cdf,11.5598,46.5004
4,4096,fct_cdf,11.6503,47.0004
4,4096,fct_cdf,11.7427,47.5004
4,4096,fct_cdf,11.8408,48.0004
4,4096,fct_cdf,11.9341,48.5005
4,4096,fct_cdf,12.0317,49.0005
4,4096,fct_cdf,12.1222,49.5005
4,4096,fct_cdf,12.2213,50.0005
4,4096,fct_cdf,12.3199,50.5005
4,4096,fct_cdf,12.4184,51.0005
4,4096,fct_cdf,12.5213,51.5005
4,4096,fct_cdf,12.6375,52.0006
4,4096,fct_cdf,12.7370,52.5006
4,4096,fct_cdf,12.8461,53.0006
4,4096,fct_cdf,12.9656,53.5006
4,4096,fct_cdf,13.0690,54.0006
4,4096,fct_cdf,13.1899,54.5006
4,4096,fct_cdf,13.3085,55.0007
4,4096,fct_cdf,13.4209,55.5007
4,4096,fct_cdf,13.5466,56.0007
4,4096,fct_cdf,13.6619,56.5007
4,4096,fct_cdf,13.7809,57.0007
4,4096,fct_cdf,13.9009,57.5007
4,4096,fct_cdf,14.0290,58.0007
4,4096,fct_cdf,14.1576,58.5008
4,4096,fct_cdf,14.3000,59.0008
4,4096,fct_cdf,14.4462,59.5008
4,4096,fct_cdf,14.5938,60.0008
4,4096,fct_cdf,14.7372,60.5008
4,4096,fct_cdf,14.8781,61.0008
4,4096,fct_cdf,15.0229,61.5008
4,4096,fct_cdf,15.1781,62.0009
4,4096,fct_cdf,15.3320,62.5009
