rx_agent[E]: bridge=underlay-p1 rules_added=none T=1ms local=sgpu02 V=1200Mbit log=/tmp/fs_bypass.jsonl meter_only=True vport_meter=/dev/shm/hpft_vpm
rx_agent: downlink 100000 Mbps -> C_root 97.0G
t=1s ticks/s=969 dump_ms=1.0 | idle
t=2s ticks/s=977 dump_ms=1.0 | idle
t=3s ticks/s=979 dump_ms=1.0 | idle
t=4s ticks/s=980 dump_ms=0.9 | idle
t=5s ticks/s=981 dump_ms=1.3 | idle
t=6s ticks/s=981 dump_ms=1.3 | idle
t=7s ticks/s=981 dump_ms=1.4 | idle
t=8s ticks/s=981 dump_ms=1.2 | idle
t=9s ticks/s=981 dump_ms=1.2 | idle
t=10s ticks/s=981 dump_ms=1.2 | idle
t=11s ticks/s=976 dump_ms=1.1 | idle
t=12s ticks/s=977 dump_ms=1.1 | idle
t=13s ticks/s=977 dump_ms=1.2 | idle
t=14s ticks/s=977 dump_ms=1.2 | idle
t=15s ticks/s=978 dump_ms=1.2 | idle
t=16s ticks/s=979 dump_ms=1.2 | idle
t=17s ticks/s=979 dump_ms=1.1 | idle
t=18s ticks/s=980 dump_ms=1.1 | idle
t=19s ticks/s=980 dump_ms=1.1 | idle
t=20s ticks/s=981 dump_ms=1.0 | idle
t=21s ticks/s=981 dump_ms=1.0 | idle
t=22s ticks/s=981 dump_ms=1.0 | idle
t=23s ticks/s=982 dump_ms=1.0 | idle
t=24s ticks/s=982 dump_ms=1.1 | idle
t=25s ticks/s=982 dump_ms=1.1 | idle
t=26s ticks/s=982 dump_ms=1.0 | idle
t=27s ticks/s=982 dump_ms=1.1 | idle
t=28s ticks/s=982 dump_ms=1.1 | idle
t=29s ticks/s=982 dump_ms=1.1 | idle
t=30s ticks/s=983 dump_ms=1.1 | idle
t=31s ticks/s=983 dump_ms=1.2 | idle
t=32s ticks/s=983 dump_ms=1.7 | idle
t=33s ticks/s=983 dump_ms=3.3 | idle
t=34s ticks/s=982 dump_ms=1.2 | idle
t=35s ticks/s=982 dump_ms=1.2 | idle
t=36s ticks/s=983 dump_ms=1.2 | idle
t=37s ticks/s=983 dump_ms=1.2 | idle
t=38s ticks/s=983 dump_ms=1.2 | idle
t=39s ticks/s=983 dump_ms=1.3 | idle
t=40s ticks/s=983 dump_ms=1.3 | idle
t=41s ticks/s=982 dump_ms=3.8 | idle
t=42s ticks/s=982 dump_ms=3.6 | idle
t=43s ticks/s=982 dump_ms=2.4 | idle
t=44s ticks/s=982 dump_ms=1.5 | idle
t=45s ticks/s=982 dump_ms=2.0 | idle
t=46s ticks/s=982 dump_ms=3.1 | idle
t=47s ticks/s=982 dump_ms=4.1 | idle
t=48s ticks/s=982 dump_ms=3.3 | idle
t=49s ticks/s=982 dump_ms=3.0 | idle
