t rcv4_vf0 rx_vf0 rcv4_vf1 rx_vf1 rcv4_vf2 rx_vf2 rcv4_vf3 rx_vf3
1783943406.979728 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.000499 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.021225 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.041955 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.062681 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.083415 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.104140 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.124872 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.146519 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.167240 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.187968 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.208749 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.229484 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.250191 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.270901 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.292179 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.312918 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.333660 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.354360 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.375069 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.395774 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.416512 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.437239 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.457943 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.478673 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.499384 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.520100 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.540812 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.561531 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.582275 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.602995 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.623727 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.644432 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.665137 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.685858 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.706611 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.727321 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.748050 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.769065 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.789785 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.810555 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.831279 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.851995 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.872702 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.893411 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.914124 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.934822 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.955541 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.976283 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943407.997001 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.017723 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.038441 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.059157 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.079922 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.100646 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.121365 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.142074 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.163887 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.184598 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.205323 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.226061 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.246791 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.268592 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.289329 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.310246 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.330954 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.351668 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.372396 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.393096 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.413819 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.434539 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.455245 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.475957 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.496673 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.517406 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.538140 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.558860 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.579583 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.600307 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.621017 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.641732 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.662449 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.683188 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
1783943408.703914 14232616729078 26512709591243 3149867038927 5802629553278 2804179381820 4933596453171 2073845061652 4203357960588
