h_pct,size,metric,x,value
3,,goodput_gbps,,186.18
3,4096,fct_cdf,3.6595,0.0010
3,4096,fct_cdf,3.9638,0.5010
3,4096,fct_cdf,4.0519,1.0010
3,4096,fct_cdf,4.1190,1.5010
3,4096,fct_cdf,4.1800,2.0011
3,4096,fct_cdf,4.2405,2.5011
3,4096,fct_cdf,4.2967,3.0011
3,4096,fct_cdf,4.3500,3.5011
3,4096,fct_cdf,4.3995,4.0011
3,4096,fct_cdf,4.4538,4.5011
3,4096,fct_cdf,4.5076,5.0012
3,4096,fct_cdf,4.5591,5.5012
3,4096,fct_cdf,4.6095,6.0012
3,4096,fct_cdf,4.6629,6.5012
3,4096,fct_cdf,4.7148,7.0012
3,4096,fct_cdf,4.7719,7.5012
3,4096,fct_cdf,4.8276,8.0012
3,4096,fct_cdf,4.8791,8.5013
3,4096,fct_cdf,4.9338,9.0013
3,4096,fct_cdf,4.9890,9.5013
3,4096,fct_cdf,5.0457,10.0013
3,4096,fct_cdf,5.1038,10.5013
3,4096,fct_cdf,5.1600,11.0013
3,4096,fct_cdf,5.2171,11.5013
3,4096,fct_cdf,5.2719,12.0014
3,4096,fct_cdf,5.3219,12.5014
3,4096,fct_cdf,5.3767,13.0004
3,4096,fct_cdf,5.4295,13.5004
3,4096,fct_cdf,5.4833,14.0004
3,4096,fct_cdf,5.5395,14.5004
3,4096,fct_cdf,5.5938,15.0005
3,4096,fct_cdf,5.6505,15.5005
3,4096,fct_cdf,5.7043,16.0005
3,4096,fct_cdf,5.7595,16.5005
3,4096,fct_cdf,5.8124,17.0005
3,4096,fct_cdf,5.8624,17.5005
3,4096,fct_cdf,5.9119,18.0005
3,4096,fct_cdf,5.9662,18.5006
3,4096,fct_cdf,6.0195,19.0006
3,4096,fct_cdf,6.0709,19.5006
3,4096,fct_cdf,6.1233,20.0006
3,4096,fct_cdf,6.1752,20.5006
3,4096,fct_cdf,6.2281,21.0006
3,4096,fct_cdf,6.2809,21.5006
3,4096,fct_cdf,6.3352,22.0007
3,4096,fct_cdf,6.3857,22.5007
3,4096,fct_cdf,6.4367,23.0007
3,4096,fct_cdf,6.4900,23.5007
3,4096,fct_cdf,6.5405,24.0007
3,4096,fct_cdf,6.5895,24.5007
3,4096,fct_cdf,6.6395,25.0008
3,4096,fct_cdf,6.6900,25.5008
3,4096,fct_cdf,6.7409,26.0008
3,4096,fct_cdf,6.7900,26.5008
3,4096,fct_cdf,6.8386,27.0008
3,4096,fct_cdf,6.8871,27.5008
3,4096,fct_cdf,6.9390,28.0008
3,4096,fct_cdf,6.9905,28.5009
3,4096,fct_cdf,7.0376,29.0009
3,4096,fct_cdf,7.0886,29.5009
3,4096,fct_cdf,7.1362,30.0009
3,4096,fct_cdf,7.1886,30.5009
3,4096,fct_cdf,7.2352,31.0009
3,4096,fct_cdf,7.2829,31.5009
3,4096,fct_cdf,7.3295,32.0010
3,4096,fct_cdf,7.3810,32.5010
3,4096,fct_cdf,7.4314,33.0010
3,4096,fct_cdf,7.4814,33.5010
3,4096,fct_cdf,7.5300,34.0010
3,4096,fct_cdf,7.5781,34.5010
3,4096,fct_cdf,7.6295,35.0011
3,4096,fct_cdf,7.6776,35.5011
3,4096,fct_cdf,7.7271,36.0011
3,4096,fct_cdf,7.7743,36.5011
3,4096,fct_cdf,7.8219,37.0011
3,4096,fct_cdf,7.8700,37.5001
3,4096,fct_cdf,7.9195,38.0001
3,4096,fct_cdf,7.9667,38.5002
3,4096,fct_cdf,8.0143,39.0002
3,4096,fct_cdf,8.0610,39.5002
3,4096,fct_cdf,8.1095,40.0002
3,4096,fct_cdf,8.1562,40.5002
3,4096,fct_cdf,8.2005,41.0002
3,4096,fct_cdf,8.2500,41.5002
3,4096,fct_cdf,8.3010,42.0003
3,4096,fct_cdf,8.3486,42.5003
3,4096,fct_cdf,8.3981,43.0003
3,4096,fct_cdf,8.4471,43.5003
3,4096,fct_cdf,8.4943,44.0003
3,4096,fct_cdf,8.5452,44.5003
3,4096,fct_cdf,8.5905,45.0004
3,4096,fct_cdf,8.6410,45.5004
3,4096,fct_cdf,8.6905,46.0004
3,4096,fct_cdf,8.7386,46.5004
3,4096,fct_cdf,8.7871,47.0004
3,4096,fct_cdf,8.8352,47.5004
3,4096,fct_cdf,8.8848,48.0004
3,4096,fct_cdf,8.9338,48.5005
3,4096,fct_cdf,8.9814,49.0005
3,4096,fct_cdf,9.0310,49.5005
3,4096,fct_cdf,9.0791,50.0005
3,4096,fct_cdf,9.1286,50.5005
3,4096,fct_cdf,9.1795,51.0005
3,4096,fct_cdf,9.2286,51.5005
3,4096,fct_cdf,9.2771,52.0006
3,4096,fct_cdf,9.3224,52.5006
3,4096,fct_cdf,9.3714,53.0006
3,4096,fct_cdf,9.4233,53.5006
3,4096,fct_cdf,9.4743,54.0006
3,4096,fct_cdf,9.5281,54.5006
3,4096,fct_cdf,9.5829,55.0007
3,4096,fct_cdf,9.6338,55.5007
3,4096,fct_cdf,9.6829,56.0007
3,4096,fct_cdf,9.7338,56.5007
3,4096,fct_cdf,9.7843,57.0007
3,4096,fct_cdf,9.8319,57.5007
3,4096,fct_cdf,9.8800,58.0007
3,4096,fct_cdf,9.9352,58.5008
3,4096,fct_cdf,9.9867,59.0008
3,4096,fct_cdf,10.0371,59.5008
3,4096,fct_cdf,10.0857,60.0008
3,4096,fct_cdf,10.1371,60.5008
3,4096,fct_cdf,10.1895,61.0008
3,4096,fct_cdf,10.2424,61.5008
3,4096,fct_cdf,10.2943,62.0009
3,4096,fct_cdf,10.3490,62.5009
3,4096,fct_cdf,10.4038,62.9999
3,4096,fct_cdf,10.4581,63.4999
3,4096,fct_cdf,10.5124,63.9999
3,4096,fct_cdf,10.5652,64.4999
3,4096,fct_cdf,10.6167,64.9999
3,4096,fct_cdf,10.6686,65.5000
3,4096,fct_cdf,10.7214,66.0000
3,4096,fct_cdf,10.7733,66.5000
3,4096,fct_cdf,10.8238,67.0000
3,4096,fct_cdf,10.8776,67.5000
3,4096,fct_cdf,10.9310,68.0000
3,4096,fct_cdf,10.9867,68.5001
3,4096,fct_cdf,11.0438,69.0001
3,4096,fct_cdf,11.1029,69.5001
3,4096,fct_cdf,11.1590,70.0001
3,4096,fct_cdf,11.2148,70.5001
3,4096,fct_cdf,11.2714,71.0001
3,4096,fct_cdf,11.3333,71.5001
3,4096,fct_cdf,11.3971,72.0002
3,4096,fct_cdf,11.4567,72.5002
3,4096,fct_cdf,11.5181,73.0002
3,4096,fct_cdf,11.5790,73.5002
3,4096,fct_cdf,11.6467,74.0002
3,4096,fct_cdf,11.7143,74.5002
3,4096,fct_cdf,11.7795,75.0003
3,4096,fct_cdf,11.8495,75.5003
3,4096,fct_cdf,11.9176,76.0003
3,4096,fct_cdf,11.9848,76.5003
3,4096,fct_cdf,12.0519,77.0003
3,4096,fct_cdf,12.1233,77.5003
3,4096,fct_cdf,12.1933,78.0003
3,4096,fct_cdf,12.2633,78.5004
3,4096,fct_cdf,12.3424,79.0004
3,4096,fct_cdf,12.4176,79.5004
3,4096,fct_cdf,12.4881,80.0004
3,4096,fct_cdf,12.5676,80.5004
3,4096,fct_cdf,12.6471,81.0004
3,4096,fct_cdf,12.7295,81.5004
3,4096,fct_cdf,12.8114,82.0005
3,4096,fct_cdf,12.8948,82.5005
3,4096,fct_cdf,12.9876,83.0005
3,4096,fct_cdf,13.0795,83.5005
3,4096,fct_cdf,13.1724,84.0005
3,4096,fct_cdf,13.2652,84.5005
3,4096,fct_cdf,13.3633,85.0006
3,4096,fct_cdf,13.4619,85.5006
3,4096,fct_cdf,13.5648,86.0006
3,4096,fct_cdf,13.6705,86.5006
3,4096,fct_cdf,13.7867,87.0006
3,4096,fct_cdf,13.9005,87.4996
3,4096,fct_cdf,14.0157,87.9996
3,4096,fct_cdf,14.1443,88.4997
3,4096,fct_cdf,14.2771,88.9997
3,4096,fct_cdf,14.4100,89.4997
3,4096,fct_cdf,14.5443,89.9997
3,4096,fct_cdf,14.6862,90.4997
3,4096,fct_cdf,14.8538,90.9997
3,4096,fct_cdf,15.0138,91.4997
3,4096,fct_cdf,15.1824,91.9998
3,4096,fct_cdf,15.3781,92.4998
3,4096,fct_cdf,15.5910,92.9998
3,4096,fct_cdf,15.8262,93.4998
3,4096,fct_cdf,16.0881,93.9998
3,4096,fct_cdf,16.3571,94.4998
3,4096,fct_cdf,16.6905,94.9998
3,4096,fct_cdf,17.0733,95.4999
3,4096,fct_cdf,17.5595,95.9999
3,4096,fct_cdf,18.2043,96.4999
3,4096,fct_cdf,19.0819,96.9999
3,4096,fct_cdf,20.3667,97.4999
3,4096,fct_cdf,22.7629,97.9999
3,4096,fct_cdf,27.5895,98.5000
3,4096,fct_cdf,36.8157,99.0000
3,4096,fct_cdf,56.9257,99.5000
3,4096,fct_cdf,23511.1000,100.0000
3,4096,fct_p50,,9.079
3,4096,fct_p99,,36.829
3,4096,fct_p999,,105.051
3,4096,samples,,99997
3,65536,fct_cdf,13.8534,0.0040
3,65536,fct_cdf,14.6558,0.5041
3,65536,fct_cdf,14.9587,1.0041
3,65536,fct_cdf,15.3044,1.5042
3,65536,fct_cdf,15.5672,2.0042
3,65536,fct_cdf,15.7677,2.5043
3,65536,fct_cdf,15.9572,3.0044
3,65536,fct_cdf,16.1243,3.5044
3,65536,fct_cdf,16.3172,4.0045
3,65536,fct_cdf,16.4634,4.5045
3,65536,fct_cdf,16.5939,5.0046
3,65536,fct_cdf,16.7229,5.5047
3,65536,fct_cdf,16.8472,6.0047
3,65536,fct_cdf,16.9705,6.5048
3,65536,fct_cdf,17.0991,7.0048
3,65536,fct_cdf,17.2048,7.5049
3,65536,fct_cdf,17.3229,8.0050
3,65536,fct_cdf,17.4367,8.5050
3,65536,fct_cdf,17.5357,9.0051
3,65536,fct_cdf,17.6491,9.5051
3,65536,fct_cdf,17.7581,10.0052
3,65536,fct_cdf,17.8281,10.5053
3,65536,fct_cdf,17.9281,11.0053
3,65536,fct_cdf,18.0162,11.5054
3,65536,fct_cdf,18.1200,12.0054
3,65536,fct_cdf,18.2110,12.5015
3,65536,fct_cdf,18.3052,13.0016
3,65536,fct_cdf,18.3995,13.5016
3,65536,fct_cdf,18.4943,14.0017
3,65536,fct_cdf,18.6000,14.5017
3,65536,fct_cdf,18.6824,15.0018
3,65536,fct_cdf,18.7624,15.5019
3,65536,fct_cdf,18.8386,16.0019
3,65536,fct_cdf,18.9252,16.5020
3,65536,fct_cdf,19.0176,17.0020
3,65536,fct_cdf,19.0976,17.5021
3,65536,fct_cdf,19.1752,18.0022
3,65536,fct_cdf,19.2452,18.5022
3,65536,fct_cdf,19.3347,19.0023
3,65536,fct_cdf,19.4081,19.5023
3,65536,fct_cdf,19.4890,20.0024
3,65536,fct_cdf,19.5623,20.5025
3,65536,fct_cdf,19.6362,21.0025
3,65536,fct_cdf,19.7047,21.5026
3,65536,fct_cdf,19.7776,22.0026
3,65536,fct_cdf,19.8600,22.5027
3,65536,fct_cdf,19.9447,23.0028
3,65536,fct_cdf,20.0123,23.5028
3,65536,fct_cdf,20.0871,24.0029
3,65536,fct_cdf,20.1652,24.5029
3,65536,fct_cdf,20.2514,25.0030
3,65536,fct_cdf,20.3257,25.5031
3,65536,fct_cdf,20.3966,26.0031
3,65536,fct_cdf,20.4790,26.5032
3,65536,fct_cdf,20.5604,27.0032
3,65536,fct_cdf,20.6395,27.5033
3,65536,fct_cdf,20.7137,28.0034
3,65536,fct_cdf,20.7895,28.5034
3,65536,fct_cdf,20.8647,29.0035
3,65536,fct_cdf,20.9356,29.5035
3,65536,fct_cdf,21.0114,30.0036
3,65536,fct_cdf,21.0804,30.5037
3,65536,fct_cdf,21.1566,31.0037
3,65536,fct_cdf,21.2356,31.5038
3,65536,fct_cdf,21.3047,32.0038
