arm,metric,bin_lo,bin,count,value
hpft,buffer,0,0:4031,17444486,
hpft,buffer,4032,4032:397247,7475304,
hpft,buffer,397248,397248:790463,1502054,
hpft,buffer,790464,790464:1183679,433866,
hpft,buffer,1183680,1183680:1576895,275799,
hpft,buffer,1576896,1576896:1970111,199423,
hpft,buffer,1970112,1970112:2363327,78058,
hpft,buffer,2363328,2363328:2756543,25287,
hpft,buffer,2756544,2756544:3149759,11022,
hpft,buffer,3149760,3149760:*,13217,
hpft,latency,0,0:2047,29062589,
hpft,latency,2048,2048:18431,138540170,
hpft,latency,18432,18432:34815,22791997,
hpft,latency,34816,34816:51199,7806902,
hpft,latency,51200,51200:67583,5099818,
hpft,latency,67584,67584:83967,3065880,
hpft,latency,83968,83968:100351,861699,
hpft,latency,100352,100352:116735,321036,
hpft,latency,116736,116736:133119,165847,
hpft,latency,133120,133120:*,141885,
hpft,probe_rtt_us,,,,6.69
hpft,probe_iters,,,,298952
hpft,goodput_gbps,,,,174.75
hpft,ecn_marked,,,,727605
hpft,queue_drops,,,,0
hpft,snapshots,,,,28
cc,buffer,0,0:4031,16269407,
cc,buffer,4032,4032:397247,4120,
cc,buffer,397248,397248:790463,1264,
cc,buffer,790464,790464:1183679,1075,
cc,buffer,1183680,1183680:1576895,1199,
cc,buffer,1576896,1576896:1970111,1759,
cc,buffer,1970112,1970112:2363327,571,
cc,buffer,2363328,2363328:2756543,313,
cc,buffer,2756544,2756544:3149759,494,
cc,buffer,3149760,3149760:*,11180408,
cc,latency,0,0:2047,197005,
cc,latency,2048,2048:18431,54079,
cc,latency,18432,18432:34815,26797,
cc,latency,34816,34816:51199,23913,
cc,latency,51200,51200:67583,28145,
cc,latency,67584,67584:83967,35417,
cc,latency,83968,83968:100351,10517,
cc,latency,100352,100352:116735,7543,
cc,latency,116736,116736:133119,8436,
cc,latency,133120,133120:*,181234100,
cc,probe_rtt_us,,,,1056.53
cc,probe_iters,,,,1893
cc,goodput_gbps,,,,182.16
cc,ecn_marked,,,,5933348
cc,queue_drops,,,,0
cc,snapshots,,,,28
