ts_ns,gbps
1783088359038508589,9.752
1783088359043488771,9.711
1783088359048488573,9.708
1783088359053504903,9.672
1783088359058487973,9.737
1783088359063489860,9.700
1783088359068486133,9.704
1783088359073500492,9.683
1783088359078486610,9.731
1783088359083486949,9.703
1783088359088487878,9.702
1783088359093486024,9.704
1783088359098492227,9.702
1783088359103492065,9.704
1783088359108488839,9.710
1783088359113485977,9.709
1783088359118491701,9.700
1783088359123485669,9.702
1783088359128486616,9.709
1783088359133487054,9.703
1783088359138492881,9.699
1783088359143487838,9.707
1783088359148486384,9.707
1783088359153501410,9.682
1783088359158492585,9.728
1783088359163486898,9.701
1783088359168485905,9.706
1783088359173485847,9.704
1783088359178494619,9.708
1783088359183486257,9.706
1783088359188489505,9.705
1783088359193497068,9.682
1783088359198491961,9.728
1783088359203492850,9.695
1783088359208489288,9.711
1783088359213496072,9.691
1783088359218493802,9.722
1783088359223492443,9.700
1783088359228491402,9.699
1783088359233721505,9.707
1783088359238488485,9.706
1783088359243490833,9.706
1783088359248494607,9.703
1783088359253499725,9.694
1783088359258503299,9.718
1783088359263491946,9.698
1783088359268498531,9.712
1783088359273497797,9.685
1783088359278492110,9.729
1783088359283489382,9.695
1783088359288489520,9.704
1783088359293497106,9.689
1783088359298495060,9.722
1783088359303495962,9.702
1783088359308493659,9.701
1783088359313500609,9.690
1783088359318497677,9.723
1783088359323499933,9.706
1783088359328488657,9.705
1783088359333496222,9.689
1783088359338496293,9.718
1783088359343491200,9.707
1783088359348500018,9.701
1783088359353502236,9.693
1783088359358499742,9.723
1783088359363491000,9.700
1783088359368496143,9.708
1783088359373496205,9.690
1783088359378495685,9.719
1783088359383499577,9.696
1783088359388493201,9.709
1783088359393511809,9.689
1783088359398498687,9.722
1783088359403495818,9.703
1783088359408493456,9.702
1783088359413506010,9.688
1783088359418504290,1.606
1783088359423498463,0.967
1783088359428517808,0.973
1783088359433503188,0.969
1783088359438498312,0.967
1783088359443494426,0.967
1783088359448493819,0.977
1783088359453506257,0.964
1783088359458507050,0.976
1783088359463493596,0.969
1783088359468493152,0.966
1783088359473503192,0.964
1783088359478500454,0.977
1783088359483499800,0.966
1783088359488492234,0.968
1783088359493503032,0.964
1783088359498499903,0.977
1783088359503498688,0.966
1783088359508498497,0.966
1783088359513506708,0.975
1783088359518500307,0.967
1783088359523503297,0.966
1783088359528494816,0.978
1783088359533520141,0.961
1783088359538501240,0.970
1783088359543503738,0.976
1783088359548492760,0.968
1783088359553508022,0.963
1783088359558503216,0.978
1783088359563495966,0.968
1783088359568496968,0.966
1783088359573504615,0.965
1783088359578502781,0.977
1783088359583496891,0.967
1783088359588494841,0.967
1783088359593504887,0.975
1783088359598504901,0.966
1783088359603503895,0.966
1783088359608496349,0.968
1783088359613504240,0.975
1783088359618501871,0.967
1783088359623504056,0.966
1783088359628504314,0.977
1783088359633512344,0.965
1783088359638505347,0.968
1783088359643512441,0.977
1783088359648500453,0.969
1783088359653514292,0.964
1783088359658503503,0.968
1783088359663506017,0.976
1783088359668499365,0.968
1783088359673506636,0.965
1783088359678503928,0.977
1783088359683505658,0.968
1783088359688501260,0.967
1783088359693508030,0.965
1783088359698505776,0.977
1783088359703511270,0.965
1783088359708500629,0.968
1783088359713510467,0.964
1783088359718505716,0.978
1783088359723501277,0.967
1783088359728499994,0.966
1783088359733505107,0.976
1783088359738508530,0.966
1783088359743498416,0.968
1783088359748499886,0.976
1783088359753511636,0.964
1783088359758512650,0.966
1783088359763502581,0.968
1783088359768501650,0.977
1783088359773509881,0.965
1783088359778504897,0.967
1783088359783499385,0.978
1783088359788498027,0.966
1783088359793512737,0.963
1783088359798506331,0.978
1783088359803505181,0.966
1783088359808503275,0.967
1783088359813510713,0.965
1783088359818509230,0.977
1783088359823501874,0.968
1783088359828501108,0.966
1783088359833512756,0.974
1783088359838509022,0.967
1783088359843504063,0.967
1783088359848502657,0.977
1783088359853517587,0.963
1783088359858507889,0.968
1783088359863513300,0.976
1783088359868504913,0.968
1783088359873512720,0.965
1783088359878508794,0.977
1783088359883514858,0.965
1783088359888504866,0.968
1783088359893512762,0.965
1783088359898510920,0.977
1783088359903508758,0.967
1783088359908506277,0.967
1783088359913511220,0.976
1783088359918505735,0.967
1783088359923506003,0.966
1783088359928505355,0.966
1783088359933520289,0.974
1783088359938506696,0.969
1783088359943505010,0.967
1783088359948514967,0.975
1783088359953519311,0.965
1783088359958505568,0.969
1783088359963510326,0.977
1783088359968505770,0.967
1783088359973513594,0.965
1783088359978511996,0.967
1783088359983508419,0.977
1783088359988506849,0.967
1783088359993510727,0.965
1783088359998507094,0.977
1783088360003508783,0.966
1783088360008510457,0.966
1783088360013517592,0.965
1783088360018508450,0.978
1783088360023508674,0.966
1783088360028515110,0.965
1783088360033510365,0.978
1783088360038508841,0.967
1783088360043508193,0.966
1783088360048505417,0.977
1783088360053516253,0.964
1783088360058516551,0.966
1783088360063507865,0.968
1783088360068508411,0.977
1783088360073510042,0.966
1783088360078506088,0.967
1783088360083515224,0.975
1783088360088506422,0.968
1783088360093516440,0.964
1783088360098518600,0.976
1783088360103512777,0.969
1783088360108511368,0.967
1783088360113512666,0.966
1783088360118518129,0.976
1783088360123514663,0.967
1783088360128507261,0.968
1783088360133520144,0.976
1783088360138517853,0.967
1783088360143511091,0.968
1783088360148510073,0.966
1783088360153523300,0.974
1783088360158511530,0.969
1783088360163509260,0.968
1783088360168509746,0.966
1783088360173515192,0.976
1783088360178515967,0.966
1783088360183518840,0.966
1783088360188509595,0.968
1783088360193510785,0.976
1783088360198511151,0.966
1783088360203519917,0.975
1783088360208513787,0.967
1783088360213518395,0.965
1783088360218513900,0.967
1783088360223520794,0.975
1783088360228512684,0.970
1783088360233518036,0.965
1783088360238563426,0.968
1783088360243518954,0.975
1783088360248512712,0.967
1783088360253517903,0.965
1783088360258517389,0.977
1783088360263539757,0.962
1783088360268514995,0.971
1783088360273521955,0.965
1783088360278514210,0.978
1783088360283521983,0.965
1783088360288514461,0.968
1783088360293521626,0.975
1783088360298512972,0.968
1783088360303523570,0.964
1783088360308521048,0.977
1783088360313519693,0.967
1783088360318516631,0.967
1783088360323520481,0.976
1783088360328513771,0.968
1783088360333524261,0.964
1783088360338515443,0.968
1783088360343523527,0.975
1783088360348514895,0.968
1783088360353520657,0.965
1783088360358523735,0.976
1783088360363519262,0.967
1783088360368516992,0.967
1783088360373520784,0.967
1783088360378518822,0.977
1783088360383521391,0.966
1783088360388516053,0.967
1783088360393527387,0.974
1783088360398518557,0.968
1783088360403527699,0.964
1783088360408516129,0.968
1783088360413519863,0.978
1783088360418516833,0.967
1783088360423523438,0.965
1783088360428517336,0.967
1783088360433516460,0.979
1783088360438515002,0.966
1783088360443525176,0.964
1783088360448519223,0.978
1783088360453525060,0.965
1783088360458520623,0.967
1783088360463530416,0.975
1783088360468516951,0.969
1783088360473522005,0.965
1783088360478516861,0.967
1783088360483523837,0.975
1783088360488516996,0.968
1783088360493519045,0.966
1783088360498517356,0.977
1783088360503527782,0.964
1783088360508520785,0.968
1783088360513518972,0.967
1783088360518521825,0.976
1783088360523525848,0.965
1783088360528517697,0.968
1783088360533525803,0.975
1783088360538516605,0.968
1783088360543521803,0.965
1783088360548517552,0.977
1783088360553521804,0.965
1783088360558521637,0.968
1783088360563527919,0.965
1783088360568517530,0.979
1783088360573520752,0.966
1783088360578519706,0.966
1783088360583525333,0.976
1783088360588519317,0.967
1783088360593521269,0.966
1783088360598529571,0.975
1783088360603528841,0.966
1783088360608520915,0.968
1783088360613524461,0.966
1783088360618522395,0.977
1783088360623528842,0.965
1783088360628521667,0.968
1783088360633524463,0.976
1783088360638530166,0.965
1783088360643533510,0.966
1783088360648529500,0.977
1783088360653534975,0.967
1783088360658525333,0.968
1783088360663530677,0.965
1783088360668524221,0.978
1783088360673525483,0.966
1783088360678523365,0.967
1783088360683522640,0.966
1783088360688521114,0.977
1783088360693524648,0.966
1783088360698524458,0.966
1783088360703526344,0.976
1783088360708525682,0.966
1783088360713528330,0.966
1783088360718526210,0.977
1783088360723525112,0.966
1783088360728524154,0.966
1783088360733523781,0.966
1783088360738523461,0.977
1783088360743522509,0.966
1783088360748522991,0.966
1783088360753530041,0.975
1783088360758540281,0.964
1783088360763535041,0.967
1783088360768550288,0.975
1783088360773525301,0.971
1783088360778523432,0.967
