phase,ts_ns,rate
sweep_1g,1783000133605160011,5242
sweep_2g,1783000141613286117,10485
sweep_4g,1783000149621416763,20971
sweep_8g,1783000157629541570,41943
sweep_12g,1783000165637687106,62914
sweep_16g,1783000173645815879,83886
sweep_32g,1783000181653945462,167772
sweep_64g,1783000189662075849,335544
wave10hz,1783000197670212865,41943
wave10hz,1783000197770364795,20971
wave10hz,1783000197870488329,41943
wave10hz,1783000197970605255,20971
wave10hz,1783000198070724125,41943
wave10hz,1783000198170847976,20971
wave10hz,1783000198270966359,41943
wave10hz,1783000198371081130,20971
wave10hz,1783000198471199370,41943
wave10hz,1783000198571313681,20971
wave10hz,1783000198671501197,41943
wave10hz,1783000198771642606,20971
wave10hz,1783000198871778126,41943
wave10hz,1783000198971895425,20971
wave10hz,1783000199072098143,41943
wave10hz,1783000199172306435,20971
wave10hz,1783000199272520729,41943
wave10hz,1783000199372722805,20971
wave10hz,1783000199472934077,41943
wave10hz,1783000199573137492,20971
wave10hz,1783000199673323321,41943
wave10hz,1783000199773501756,20971
wave10hz,1783000199873700154,41943
wave10hz,1783000199973870860,20971
wave10hz,1783000200074043001,41943
wave10hz,1783000200174246049,20971
wave10hz,1783000200274389181,41943
wave10hz,1783000200374570126,20971
wave10hz,1783000200474722323,41943
wave10hz,1783000200574849968,20971
wave10hz,1783000200674976423,41943
wave10hz,1783000200775093401,20971
wave10hz,1783000200875273011,41943
wave10hz,1783000200975417272,20971
wave10hz,1783000201075540902,41943
wave10hz,1783000201175715559,20971
wave10hz,1783000201275894058,41943
wave10hz,1783000201376087606,20971
wave10hz,1783000201476263480,41943
wave10hz,1783000201576457493,20971
wave10hz,1783000201676609832,41943
wave10hz,1783000201776734271,20971
wave10hz,1783000201876918944,41943
wave10hz,1783000201977064195,20971
wave10hz,1783000202077241937,41943
wave10hz,1783000202177431854,20971
wave10hz,1783000202277577977,41943
wave10hz,1783000202377755029,20971
wave10hz,1783000202477898203,41943
wave10hz,1783000202578076182,20971
wave10hz,1783000202678222919,41943
wave10hz,1783000202778360680,20971
wave10hz,1783000202878532727,41943
wave10hz,1783000202978670796,20971
wave10hz,1783000203078796155,41943
wave10hz,1783000203178975714,20971
wave10hz,1783000203279191797,41943
wave10hz,1783000203379389943,20971
wave10hz,1783000203479569342,41943
wave10hz,1783000203579738918,20971
wave10hz,1783000203679912700,41943
wave10hz,1783000203780087287,20971
wave10hz,1783000203880278509,41943
wave10hz,1783000203980424656,20971
wave10hz,1783000204080573907,41943
wave10hz,1783000204180773453,20971
wave10hz,1783000204280982432,41943
wave10hz,1783000204381159993,20971
wave10hz,1783000204481361803,41943
wave10hz,1783000204581564887,20971
wave10hz,1783000204681731036,41943
wave10hz,1783000204781890684,20971
wave10hz,1783000204882090744,41943
wave10hz,1783000204982239417,20971
wave10hz,1783000205082362308,41943
wave10hz,1783000205182490816,20971
wave10hz,1783000205282615288,41943
wave10hz,1783000205382788951,20971
wave10hz,1783000205482937948,41943
wave10hz,1783000205583060085,20971
wave10hz,1783000205683211353,41943
wave10hz,1783000205783331694,20971
wave10hz,1783000205883504232,41943
wave10hz,1783000205983644221,20971
wave10hz,1783000206083776044,41943
wave10hz,1783000206183894763,20971
wave10hz,1783000206284009525,41943
wave10hz,1783000206384169255,20971
wave10hz,1783000206484313059,41943
