on	0	1	1783766866.209799442
on	1	1	1783766866.210084978
on	2	1	1783766866.210397864
on	3	1	1783766866.210405614
off	0	1	1783766872.219651429
off	1	1	1783766874.220112550
off	2	1	1783766876.221363931
on	0	2	1783766876.224414373
off	3	1	1783766878.221262050
on	1	2	1783766878.223907885
on	2	2	1783766881.226432859
off	0	2	1783766882.233934120
on	3	2	1783766884.226172291
off	1	2	1783766886.234047087
on	0	3	1783766886.239615583
on	1	3	1783766890.238972312
off	2	2	1783766891.236506642
off	0	3	1783766892.249563318
off	3	2	1783766896.236499896
on	2	3	1783766896.241456458
on	0	4	1783766896.254652782
off	1	3	1783766898.249444916
on	3	3	1783766902.241587688
on	1	4	1783766902.254445218
off	0	4	1783766902.264476723
off	2	3	1783766906.252016531
on	0	5	1783766906.269470526
off	1	4	1783766910.264323707
on	2	4	1783766911.257042362
off	0	5	1783766912.279815291
off	3	3	1783766914.251935462
on	1	5	1783766914.269343439
on	0	6	1783766916.284869136
on	3	4	1783766920.256855292
off	2	4	1783766921.267787502
off	1	5	1783766922.279506831
off	0	6	1783766922.294682767
on	2	5	1783766926.272858939
on	1	6	1783766926.284511619
on	0	7	1783766926.299461606
off	3	4	1783766932.267273934
off	0	7	1783766932.309257830
off	1	6	1783766934.293612216
off	2	5	1783766936.283479022
on	0	8	1783766936.313933940
on	3	5	1783766938.272290820
on	1	7	1783766938.298418613
on	2	6	1783766941.288593806
off	0	8	1783766942.324712281
off	1	7	1783766946.308693056
on	0	9	1783766946.329607305
off	3	5	1783766950.282860876
on	1	8	1783766950.313639671
off	2	6	1783766951.298558889
off	0	9	1783766952.339583763
on	3	6	1783766956.287938370
on	2	7	1783766956.303280738
on	0	10	1783766956.344392810
off	1	8	1783766958.324174793
on	1	9	1783766962.329347130
off	0	10	1783766962.354181523
off	2	7	1783766966.313353103
on	0	11	1783766966.358917481
off	3	6	1783766968.298191788
off	1	9	1783766970.339670211
on	2	8	1783766971.318385375
off	0	11	1783766972.369289348
on	3	7	1783766974.303048298
on	1	10	1783766974.344629339
on	0	12	1783766976.374249618
off	2	8	1783766981.329514551
off	1	10	1783766982.354645879
off	0	12	1783766982.384601771
off	3	7	1783766986.313204163
on	2	9	1783766986.334546239
on	1	11	1783766986.359514465
on	0	13	1783766986.389322683
on	3	8	1783766992.318086635
off	0	13	1783766992.398959468
off	1	11	1783766994.369773722
off	2	9	1783766996.353767676
on	0	14	1783766996.403981293
on	1	12	1783766998.375341209
on	2	10	1783767001.358869211
off	0	14	1783767002.414120529
off	3	8	1783767004.328680280
off	1	12	1783767006.385424880
on	0	15	1783767006.418972565
on	3	9	1783767010.333687018
on	1	13	1783767010.390325049
off	2	10	1783767011.369196247
off	0	15	1783767012.428025791
on	2	11	1783767016.374175280
on	0	16	1783767016.433061508
off	1	13	1783767018.400511740
off	3	9	1783767022.344420696
on	1	14	1783767022.405500582
off	0	16	1783767022.442856383
off	2	11	1783767026.384421159
on	0	17	1783767026.447749084
on	3	10	1783767028.349456934
off	1	14	1783767030.415913081
on	2	12	1783767031.389548690
off	0	17	1783767032.457876029
on	1	15	1783767034.420909077
on	0	18	1783767036.463098774
off	3	10	1783767040.360210071
off	2	12	1783767041.399883649
off	1	15	1783767042.431417458
off	0	18	1783767042.473308362
