HPFT_RSP ft=0x74249a41 bud=978360 lvl=978360 avg16=1 r=0 s16=1048576 ep=0 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=386435 r=386435 s16=373252 ep=206 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=466512 r=466512 s16=466749 ep=1223 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=485066 r=485066 s16=421636 ep=2216 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=413319 r=413319 s16=459617 ep=3231 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=403256 r=403256 s16=511905 ep=4234 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=435526 r=435526 s16=478401 ep=5235 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=452816 r=452816 s16=459591 ep=6236 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=442659 r=442659 s16=459995 ep=7237 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=418806 r=418806 s16=439524 ep=8238 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=384727 r=384727 s16=487328 ep=9241 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=456909 r=456909 s16=464727 ep=10243 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=390055 r=390055 s16=477423 ep=11244 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=395882 r=395882 s16=495263 ep=12247 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=417279 r=417279 s16=360925 ep=13247 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=460637 r=460637 s16=448709 ep=14243 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446021 r=446021 s16=441008 ep=15260 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=455775 r=455775 s16=408873 ep=16261 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=345600 r=345600 s16=470980 ep=17255 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=462681 r=462681 s16=412199 ep=18275 evb32=0
